Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.64790,0.00780,0.64010,1.66430,1.68990,-1.04980,0.03570,-1.01410,-1.01410,-1.01410,-1.01410,-0.99090,-1.04980,5.94460,5.94460,-0.17000,-0.17000,5.42980,0.00230,0.05700,98.79760,-162.04220,-162.04220,-156.53630,-156.53630,0.14980,2.83270,14.29440,6.29620,-29.10820,-29.10820,-23.45300,-29.04050,0.58290,-0.1405,-0.1405
2024-06-30,0.63910,0.06190,0.57710,1.58860,1.61440,-1.03720,-0.28250,-1.31970,-1.31970,-1.31970,-1.31970,-0.67510,-1.03720,5.01000,5.01000,-0.26000,-0.26000,5.36050,0.00200,0.05450,90.30650,-162.30060,-162.30060,-206.50010,-206.50010,0.11710,16.19530,123.32250,0.72980,-30.12420,-30.12420,-24.18300,-30.06490,0.73750,-0.1787,-0.1786
2024-03-31,0.82900,0.00770,0.82130,1.03350,1.05850,-0.23710,-0.04520,-0.28230,-0.28230,-0.28230,-0.28230,-0.13960,-0.23710,4.61780,4.61780,-0.06000,-0.06000,0.41330,-0.86130,-0.97420,99.06590,-28.60300,-28.60300,-34.05500,-34.05500,1.03720,0.13860,109.74700,0.82010,73.69090,73.69090,-35.32100,137.16070,-0.08300,-0.04620,-0.04860
2023-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0.0533,0.0565
2023-09-30,0.86930,0.02020,0.84900,1.33460,1.36070,-0.51160,-0.00350,-0.51510,-0.51510,-0.51510,-0.51510,-0.49370,-0.51160,4.52120,4.52120,-0.11000,-0.11000,,,,97.67350,-58.85380,-58.85380,-59.26210,-59.26210,,,,,,,,,,0.0084,0.0084
2023-06-30,0.97950,0.05950,0.92000,1.49510,1.52130,-0.60130,0.00490,-0.59640,-0.59640,-0.59640,-0.59640,-0.54490,-0.60130,4.45590,4.45590,-0.13000,-0.13000,,,,93.92490,-61.38500,-61.38500,-60.88670,-60.88670,,,,,,,,,,-0.0994,-0.0997
2023-03-31,1.16030,0.04860,1.11170,1.29150,1.31700,-0.20520,0.02420,-0.18100,-0.18100,-0.18100,-0.18100,-0.14750,-0.20520,4.43460,4.43460,-0.04000,-0.04000,,,,95.80950,-17.68480,-17.68480,-15.59700,-15.59700,,,,,,,,,,0.03770,0.03480
