Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.42640,0.34110,0.08530,1.18690,1.63920,-0.94950,3.77560,-3.69020,-0.21210,-3.90230,-3.90230,-3.90230,-3.90230,-3.56180,-3.69020,37.82300,37.82300,-0.10000,-0.10000,0.06970,-1.84290,-1.28420,20.00010,-865.39310,-865.39310,-915.12130,-915.12130,0.01610,0.65420,137.57610,39.14180,39.14180,-14.69430,111.27600,-0.26360,-0.0774,-0.0783
2024-06-30,0.61890,0.43840,0.18040,2.02920,1.59420,-11.69300,15.31650,-15.13600,-0.14420,-15.28020,-15.28020,-15.28020,-15.28020,-15.00610,-15.13600,37.82300,37.82300,-0.40000,-0.40000,0.10280,2.74950,-1.57160,29.15240,-2445.81300,-2445.81300,-2469.11100,-2469.11100,0.02310,0.94490,95.25280,242.55140,242.55160,-56.97290,-424.33760,-0.16660,-0.127,-0.1265
2024-03-31,1.12670,0.51200,0.61470,2.12330,5.98510,,8.10840,-7.49370,0.02560,-7.46810,-7.46810,-7.46810,-7.46810,-7.25020,-7.49370,37.22400,37.22400,-0.20000,-0.20000,0.46290,0.48630,0.94670,54.56120,-665.09120,-665.09120,-662.81900,-662.81900,0.03700,1.24650,72.20080,-85.44100,-85.44110,-24.54370,-43.89090,0.23110,-0.09680,-0.10030
2023-12-31,1.32400,1.07140,0.25260,2.13640,7.13610,-1.74830,11.02080,-10.76820,0.08770,-10.68050,-10.68050,-10.68050,-10.68050,-10.49360,-10.76820,35.92900,35.92900,-0.30000,-0.30000,0.73210,0.31890,0.46830,19.08190,-813.30620,-813.30620,-806.68540,-806.68520,0.04640,0.86210,104.39420,-79.34000,-79.34000,-37.45760,-54.03480,0.37370,-0.1083,-0.2118
2023-09-30,0.85310,0.67830,0.17480,1.66740,1.50990,-2.07530,5.25270,-5.07790,0.13920,-4.93860,-4.93860,-4.93860,-4.93860,-4.80040,-5.07790,35.92700,35.92700,-0.14000,-0.14000,2.55660,0.20970,0.26530,20.48720,-595.22530,-595.22530,-578.90390,-578.90390,0.02400,1.20140,74.91140,-20.69240,-20.69240,-13.86620,-16.35330,0.66430,-0.1555,-0.1729
2023-06-30,0.62280,0.50240,0.12040,1.61670,1.58790,-1.42640,4.63090,-4.51050,0.20610,-4.30440,-4.30440,-4.30440,-4.30440,-4.22620,-4.51050,35.91100,35.91100,-0.12000,-0.12000,4.36310,0.18200,0.22250,19.33260,-724.22440,-724.22440,-691.13210,-691.13220,0.01580,0.88070,102.19700,-15.05800,-15.05800,-10.90190,-12.31760,0.79570,-0.2614,-0.3048
2023-03-31,0.04190,0.02940,0.01250,2.25580,3.11730,,5.37310,-5.36060,0.28990,-5.07070,-5.07070,-5.07070,-5.07070,-5.06170,-5.36060,35.88400,35.88400,-0.14000,-0.14000,6.62120,0.16370,0.19580,29.92380,-12798.92000,-12798.92000,-12106.79000,-12106.79000,0.00100,0.16570,543.07280,-15.54520,-15.54520,-11.64750,-13.00000,0.90890,-0.10140,-0.10980
2022-12-31,1.34150,1.07320,0.26830,2.93000,3.00550,,5.93560,-5.66720,0.24850,-5.41870,-5.41870,-5.41870,-5.41870,-5.40610,-5.66720,35.82200,35.82200,-0.15000,-0.15000,11.52420,0.14620,0.17130,20.00000,-422.44890,-422.44890,-403.92560,-403.92550,0.02870,3.21170,28.02240,-14.47760,-14.47760,-11.57620,-12.36070,1.04330,-0.1058,-0.1079
2022-09-30,1.80900,1.44720,0.36180,2.64880,1.73270,,4.38150,-4.01970,0.10550,-3.91420,-3.91420,-3.91420,-3.91420,-3.85530,-4.01970,35.83500,35.83500,-0.11000,-0.11000,12.51900,0.13160,0.15150,20.00000,-222.20010,-222.20010,-216.37040,-216.37040,0.03520,5.08790,17.68910,-9.19790,-9.19790,-7.62210,-7.98760,1.18750,-0.0645,-0.3483
2022-06-30,0.45400,0.28720,0.16680,1.96990,1.70800,,3.67790,-3.51110,0.00050,-3.51060,-3.51060,-3.51060,-3.51060,-3.36150,-3.51110,35.81400,35.81400,-0.10000,-0.10000,30.25500,,,36.74010,-773.36500,-773.36500,-773.25130,-773.25130,0.00960,1.30860,68.77550,-7.60430,-7.60430,-7.40490,-7.60430,1.28870,-0.0751,-0.0754
2022-03-31,3.11750,1.32810,1.78950,1.78970,1.88060,,3.67030,-1.88080,-0.17640,-2.05720,-2.05720,-2.05720,-2.05720,-1.73800,-1.88080,35.77800,35.77800,-0.06000,-0.06000,26.74270,,,57.39990,-60.32990,-60.32990,-65.98810,-65.98810,0.06120,5.63740,15.96470,-4.16450,-4.16450,-4.03720,-4.16450,1.38070,-0.04450,-0.04520
