Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2211.20000,,2211.20000,1888.90000,,,-150.70020,104.50000,-46.20000,9.50000,-55.70000,-55.70000,-92.90000,-18.20020,-150.70010,509.50000,510.30000,-0.20000,-0.20300,1.62630,0.47790,0.91530,100.00000,-6.81530,-6.81530,-2.08940,-4.20130,0.06810,1.49500,60.20220,-0.42060,-2.49830,-0.17160,-0.21960,25.29240,1.1047,0.965
2024-06-30,2122.90000,,2122.90000,1816.40000,,,222.50000,77.60000,300.10000,68.10000,232.00000,232.00000,166.50000,350.50000,222.50000,516.50000,517.20000,0.32000,0.32000,1.70990,0.48170,0.92940,100.00000,10.48100,10.48100,14.13630,7.84300,0.06380,1.35170,66.58110,1.70150,10.69670,0.69760,0.88190,26.11810,1.0208,0.9312
2024-03-31,2152.80000,,2152.80000,1938.90000,,,129.30030,108.80000,238.10000,62.80000,175.30000,175.30000,117.00000,260.60030,129.30030,518.40000,519.20000,0.23000,0.23000,1.81920,0.47260,0.89620,100.00000,6.00610,6.00610,11.06000,5.43480,0.06540,1.48510,60.60200,1.29070,8.54500,0.53270,0.68070,25.81170,0.2942,0.2164
2023-12-31,1991.10000,,1991.10000,1698.80000,,,206.49990,124.70000,331.20000,74.90000,256.30000,256.30000,241.60000,331.39990,206.49990,487.00000,487.90000,0.50000,0.50000,1.92070,0.46280,0.86140,100.00000,10.37120,10.37120,16.63400,12.13400,0.06670,1.35490,66.42760,2.02810,14.22860,0.85820,1.08950,25.54420,-0.51630,-0.55630
2023-09-30,1986.10000,,1986.10000,1561.30000,,,338.29990,73.90000,412.20000,75.00000,337.20000,337.20000,284.70000,463.59990,338.29980,490.00000,490.80000,0.58000,0.58190,1.88040,0.47350,0.89930,100.00000,17.03340,17.03340,20.75420,14.33460,0.06590,1.47290,61.10270,2.68730,20.53840,1.11950,1.41490,25.30120,1.5584,1.5026
2023-06-30,1969.00000,,1969.00000,1568.70000,,,314.89990,15.80000,330.70000,84.10000,246.60000,246.60000,217.30000,437.89990,314.89990,490.70000,491.40000,0.44000,0.44000,1.88550,0.47510,0.90500,100.00000,15.99290,15.99290,16.79530,11.03610,0.06510,1.46730,61.33620,1.96660,16.09660,0.81560,1.03240,25.12800,1.3315,1.1713
2023-03-31,1927.20000,,1927.20000,1586.10000,,,255.10000,110.90000,366.00000,92.90000,273.10000,273.10000,185.20000,381.50000,255.10000,490.70000,491.40000,0.38000,0.38000,2.08780,0.45810,0.84530,100.00000,13.23680,13.23680,18.99130,9.60980,0.06630,1.48160,60.74720,2.19490,20.00730,0.93890,1.18940,24.83990,-0.1479,-0.1791
2022-12-31,1967.10000,,1967.10000,1689.90000,,,194.00010,35.10000,229.10000,60.30000,168.80000,168.80000,157.90000,314.70010,194.00010,489.60000,490.20000,0.32000,0.32000,1.98250,0.43160,0.75940,100.00000,9.86220,9.86220,11.64660,8.02700,0.06710,1.52280,59.10330,1.34440,11.57750,0.57540,0.76410,25.09770,-0.52280,-0.57870
2022-09-30,1939.00000,,1939.00000,1509.00000,,,348.49910,-94.30000,254.20000,48.50000,205.70000,205.70000,224.20000,472.19910,348.49910,488.70000,489.30000,0.46000,0.46970,1.95040,0.41800,0.71830,100.00000,17.97310,17.97310,13.10990,11.56270,0.06910,1.53300,58.70660,1.67250,14.30260,0.73310,0.97340,24.61870,1.7643,1.6937
2022-06-30,2031.30000,,2031.30000,1544.80000,,,404.70020,-91.60000,313.10000,89.50000,223.60000,223.60000,245.20000,527.20020,404.70020,487.50000,487.90000,0.50000,0.50000,1.99210,0.41950,0.72270,100.00000,19.92320,19.92320,15.41380,12.07110,0.07360,1.43580,62.68500,1.82010,17.19210,0.81030,1.05650,24.65130,1.6832,1.6559
2022-03-31,2081.00000,,2081.00000,1557.60000,,,463.00000,3.20000,466.20000,107.10000,359.10000,359.10000,334.50000,560.30000,463.00000,490.00000,490.50000,0.68000,0.68000,2.13180,0.41050,0.69630,100.00000,22.24890,22.24890,22.40270,16.07400,0.08060,1.51820,59.28060,2.94600,13.06060,1.39010,1.73670,24.36100,0.2123,0.1597
2021-12-31,2224.00000,,2224.00000,1608.00000,,,557.70010,138.20000,695.90000,151.10000,544.80000,544.80000,433.90000,656.80000,557.70010,489.80000,490.60000,0.89000,0.88000,1.89140,0.38300,0.62090,100.00000,25.07640,25.07640,31.29050,19.50990,0.08900,1.55020,58.05890,4.46690,20.27160,2.17960,2.75590,24.27050,0.33920,0.30510
2021-09-30,2181.00000,,2181.00000,1591.60000,,,531.50000,206.49990,737.99990,-4.80000,742.79970,742.79970,638.90000,616.50000,531.49980,489.90000,490.60000,1.31000,1.30000,1.72390,0.37450,0.59860,100.00000,24.36960,24.36950,33.83770,29.29390,0.09020,1.52710,58.93540,6.28930,28.10760,3.07340,3.93410,23.53610,1.0294,0.9391
2021-06-30,2172.90000,,2172.90000,1636.80000,,,478.09990,77.30000,555.40000,83.80000,471.60000,471.60000,419.00000,582.59990,478.09990,489.20000,489.90000,0.86000,0.86000,2.13560,0.36800,0.58220,100.00000,22.00290,22.00290,25.56030,19.28300,0.09390,1.59640,56.37580,4.12570,21.80610,2.03900,2.60750,22.73110,0.3962,0.3673
2021-03-31,2076.50000,,2076.50000,1562.30000,,,456.29990,157.20000,613.50000,128.10000,485.40000,485.40000,364.90000,556.59990,456.29990,490.50000,490.90000,0.74000,0.74000,1.73330,0.30990,0.44910,100.00000,21.97450,21.97450,29.54490,17.57280,0.09490,1.60360,56.12380,4.15540,20.61060,2.21950,2.86760,23.16150,0.5207,0.5059
2020-12-31,1995.10000,,1995.10000,1527.80000,,,409.10000,128.20000,537.30000,142.50000,394.80000,394.80000,330.70000,508.10000,409.10000,491.10000,491.70000,0.67000,0.67000,2.09940,0.31000,0.44920,100.00000,20.50520,20.50520,26.93100,16.57560,0.09400,1.62190,55.49050,3.45690,19.37190,1.85970,2.38540,22.59390,0.59220,0.56460
2020-09-30,1705.00000,,1705.00000,1561.30000,,,103.60010,96.00000,199.60000,73.10000,126.50000,126.50000,73.80000,179.90010,103.60000,491.90000,492.40000,0.15000,0.15000,1.47980,0.34860,0.53530,100.00000,6.07630,6.07620,11.70680,4.32840,0.07860,1.38270,65.09030,1.16390,8.69950,0.58340,0.75810,21.95260,0.7682,0.7314
2020-06-30,1161.10000,,1161.10000,923.90000,,,232.50000,37.30000,269.80000,16.10000,253.70000,253.70000,286.20000,273.30000,232.50000,490.40000,490.70000,0.58000,0.58000,4.19560,0.11160,0.12570,100.00000,20.02410,20.02410,23.23660,24.64900,0.07430,1.25150,71.91630,2.30560,3.20780,1.62450,2.04820,22.21310,1.1451,1.1207
2020-03-31,1311.20000,,1311.20000,966.90000,,,339.90000,-237.00000,102.90000,44.10000,58.80000,58.80000,77.30000,384.50000,339.90000,491.50000,491.80000,0.16000,0.16000,3.90380,0.10870,0.12190,100.00000,25.92280,25.92280,7.84780,5.89540,0.08940,1.94190,46.34530,0.54680,0.76020,0.40090,0.48740,21.71170,0.2227,0.1252
2019-12-31,1389.20000,,1389.20000,1011.50000,,,372.90000,72.70000,445.60000,97.50000,348.10000,348.10000,346.30000,420.00000,372.90000,494.70000,495.30000,0.70000,0.70000,3.57650,0.06850,0.07350,100.00000,26.84280,26.84280,32.07600,24.92800,0.09260,1.76410,51.01860,3.21290,4.46160,2.32040,2.99290,21.77330,0.06400,0.01210
2019-09-30,1347.40000,,1347.40000,1031.70000,,,301.00020,94.80000,395.80000,86.50000,309.30000,309.30000,304.40010,352.70030,301.00010,503.60000,504.30000,0.61000,0.61000,3.04960,0.06570,0.07040,100.00000,22.33930,22.33930,29.37510,22.59170,0.09270,1.60600,56.04130,2.91130,4.05390,2.12840,2.71990,21.27810,0.1954,0.1353
2019-06-30,1476.70000,,1476.70000,1101.80000,,,374.89990,38.60000,413.50000,158.90000,254.60000,254.60000,243.30000,420.79990,374.89990,501.60000,502.30000,0.48000,0.48000,3.35050,0.06450,0.06900,100.00000,25.38770,25.38770,28.00160,16.47590,0.10210,1.73690,51.81690,2.40970,3.37110,1.76030,2.25420,20.95890,-0.5424,-0.8028
2019-03-31,1433.80000,,1433.80000,1054.30000,,,379.50000,113.00000,492.50000,110.90000,381.60000,381.60000,363.70000,419.10000,379.50000,504.70000,505.10000,0.72000,0.72000,3.53660,0.06510,0.06960,100.00000,26.46810,26.46810,34.34930,25.36620,0.10070,1.70490,52.78980,3.63460,5.10760,2.68000,3.39810,20.67920,0.3806,0.288
2018-12-31,1411.50000,,1411.50000,1000.00000,,,411.49990,-65.50000,346.00000,86.00000,260.00000,260.00000,273.40000,453.49990,411.49990,510.30000,510.80000,0.54000,0.54000,3.93120,0.06760,0.07250,100.00000,29.15340,29.15340,24.51290,19.36950,0.10120,1.75210,51.36660,2.58020,3.35460,1.86370,2.40580,19.70100,0.49880,0.44850
2018-09-30,1412.60000,,1412.60000,1022.50000,,,388.30020,95.00000,483.30000,7.00000,476.30000,476.30000,489.20000,426.20020,388.30020,537.40000,538.00000,0.91000,0.92000,3.40730,0.06660,0.07140,100.00000,27.48830,27.48830,34.21350,34.63120,0.09820,1.66600,54.02170,4.66600,6.04860,3.31140,4.35520,19.66370,1.3168,1.253
