Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.50000,12.50000,70.97100,31.10600,-89.57700,5.45100,-84.12600,-84.12600,-84.12600,-84.12600,-92.63300,-89.57700,85.43400,85.43400,-0.98000,-0.98000,6.98600,0.00000,0.00000,100.00000,-716.61600,-716.61600,-673.00810,-673.00800,0.02940,3.56430,25.25040,-22.95820,-22.95820,-19.75670,-22.95800,4.28220,-0.7261,-0.7261
2024-06-30,3.50000,3.50000,48.65500,29.06100,-74.21600,6.15300,-68.06300,-68.06300,-68.06300,-68.06300,-77.86200,-74.21600,85.27480,85.27480,-0.80000,-0.80000,10.50240,0.00000,0.00000,100.00000,-2120.45700,-2120.45700,-1944.65700,-1944.65700,0.00730,0.36530,246.39430,-15.67050,-15.67050,-14.27060,-15.67040,5.10810,-0.8394,-0.8394
2024-03-31,,,56.49200,23.02200,-79.51400,7.11400,-72.40000,-72.40000,-72.40000,-72.40000,-83.33200,-79.51400,85.21320,85.21320,-0.85000,-0.85000,8.93410,0.00000,0.00000,,,,,,,,,-14.71880,-14.71880,-13.33270,-14.71860,5.78830,-0.98050,-0.98050
2023-12-31,,,55.12700,22.77900,-77.90600,5.43300,-72.47300,-72.47300,-72.47300,-72.47300,-81.36200,-77.90600,70.37050,70.37050,-1.02000,-1.02000,9.99860,0.00000,0.00000,,,,,,,,,-13.07710,-13.07710,-11.82500,-13.07690,6.53320,-0.5751,-0.5751
2023-09-30,,,39.08700,17.26800,-56.35500,5.20900,-51.14600,-51.14600,-51.14600,-51.14600,-60.01100,-56.35500,69.85600,69.85600,-0.73000,-0.73000,9.72520,0.00000,0.00010,,,,,,,,,-14.23940,-14.23940,-12.81140,-14.23890,5.15790,-0.6359,-0.6359
2023-06-30,,,34.76400,14.91400,-49.67800,5.06300,-44.61500,-44.61500,-44.61500,-44.61500,-53.39300,-49.67800,69.63840,69.63840,-0.64000,-0.64000,13.56010,0.00000,0.00010,,,,,,,,,-11.15260,-11.15260,-10.34340,-11.15220,5.76170,-0.5063,-0.5063
2023-03-31,,,34.05400,11.96100,-46.01500,4.88900,-41.12600,-41.12600,-41.12600,-41.12600,-49.97900,-46.01500,69.43890,69.43890,-0.59000,-0.59000,18.61270,0.00000,0.00000,,,,,,,,,-9.44330,-9.44330,-8.94380,-9.44300,6.35820,-0.56490,-0.56490
2022-12-31,,,31.84200,10.19200,-42.03400,2.84000,-39.19400,-39.19400,-39.19400,-39.19400,-44.05600,-42.03400,60.76090,60.76090,-0.63000,-0.63000,16.85140,0.00000,0.00000,,,,,,,,,-8.38470,-8.38470,-7.88240,-8.38440,6.86300,-0.374,-0.3741
2022-09-30,,,26.90100,8.24000,-35.14100,-0.26200,-35.40300,-35.40300,-35.40300,-35.40300,-36.17000,-35.14100,60.67030,60.67030,-0.58000,-0.58000,17.19130,0.00000,0.00010,,,,,,,,,-10.47110,-10.47110,-9.84270,-10.47070,5.62350,-0.459,-0.4552
2022-06-30,,,29.73400,7.99000,-37.72400,0.15200,-37.57200,-37.57200,-37.57200,-37.57200,-37.98000,-37.72400,60.15670,60.15670,-0.62000,-0.62000,12.68510,0.03470,0.05590,,,,,,,,,-10.38070,-10.38070,-9.24420,-10.02080,6.41740,-0.656,-0.656
2022-03-31,,,30.02200,6.83600,-36.85800,-0.31100,-37.16900,-37.16900,-37.16900,-37.16900,-36.90000,-36.85800,58.97860,58.97860,-0.63000,-0.63000,13.74930,0.04210,0.05350,,,,,,,,,-9.92370,-9.92370,-8.80320,-9.50550,6.80610,-0.71100,-0.71100
2021-12-31,126.57600,126.57600,23.90100,6.92600,95.74900,0.44900,96.19800,96.19800,96.19800,96.19800,95.93000,95.74900,52.06480,53.62290,1.86000,1.84000,21.67950,0.04650,0.04870,100.00000,75.64550,75.64550,76.00020,76.00020,0.28150,,,23.55670,23.55670,21.39360,22.46240,7.42720,1.9208,1.9184
2021-09-30,12.37500,12.37500,25.60600,6.80100,-20.03200,-0.60700,-20.63900,-20.63900,-20.63900,-20.63900,-19.85100,-20.03200,51.96230,51.96230,-0.40000,-0.40000,8.29800,0.05230,0.10290,100.00000,-161.87480,-161.87480,-166.77980,-166.77980,0.05170,,,-10.37120,-10.37120,-8.61740,-9.82840,4.07370,-0.4738,1.9785
2021-06-30,0.37900,0.37900,16.87100,5.84200,-22.33400,-0.57600,-22.91000,-22.91000,-22.91000,-22.91000,-22.13800,-22.33400,51.60330,51.60330,-0.44000,-0.44000,10.80830,0.05850,0.09490,100.00000,-5892.87600,-5892.87600,-6044.85500,-6044.85400,0.00140,,,-10.67750,-10.67750,-8.70910,-10.05330,4.41330,-0.4651,-2.9174
2021-03-31,0.37900,0.37900,21.87000,5.67200,-27.16300,-0.56000,-27.72300,-27.72300,-27.72300,-27.72300,-27.03400,-27.16300,51.49980,51.49980,-0.54000,-0.54000,11.35410,0.06400,0.08870,100.00000,-7167.01800,-7167.01800,-7314.77500,-7314.77500,0.00140,,,-12.14830,-12.14830,-9.91270,-11.37090,4.72970,-0.43860,-0.43860
2020-12-31,0.38000,0.38000,15.52200,4.71800,-19.86000,-0.56300,-20.42300,-20.42300,-20.42300,-20.42800,-19.77400,-19.86000,41.30820,41.30820,-0.43000,-0.43000,15.83640,0.06600,0.07980,100.00000,-5226.31600,-5226.31600,-5374.47500,-5375.79100,0.00130,,,-8.09830,-8.09830,-6.79380,-7.56350,5.26700,-0.4653,-0.4653
2020-09-30,0.37900,0.37900,14.40800,5.82400,-19.85300,-0.58400,-20.43700,-20.43700,-20.43700,-20.50100,-19.83200,-19.85300,44.15680,44.15680,-0.46000,-0.46000,11.70630,0.13160,0.15160,100.00000,-5238.25900,-5238.25900,-5392.34800,-5409.23400,0.00210,,,-15.48530,-15.48530,-11.39760,-13.44690,3.39850,-0.3405,-0.3405
2020-06-30,0.37900,0.37900,10.94300,6.04600,-16.61000,-0.45200,-17.06200,-17.06200,-17.06200,-16.99300,-16.67100,-16.61000,40.60920,40.60920,-0.42000,-0.42000,15.38520,0.11880,0.13480,100.00000,-4382.58600,-4382.58600,-4501.84700,-4483.64100,0.00200,,,-11.55590,-11.55590,-8.85750,-10.18370,3.83370,-0.4554,-0.4554
2020-03-31,0.37900,0.37900,9.56200,5.91700,-15.10000,-0.13600,-15.23600,-15.23600,-15.23600,-19.14200,-15.18700,-15.10000,34.32900,34.32900,-0.56000,-0.56000,5.54580,0.27000,0.36990,100.00000,-3984.16900,-3984.16900,-4020.05300,-5050.66000,0.00360,,,-28.47370,-28.47370,-14.48910,-20.78550,1.76940,-0.46390,-0.46390
2019-12-31,0.38000,0.38000,9.50200,5.08300,-14.20500,0.20500,-14.00000,-14.00000,-14.00000,-14.00000,-14.31300,-14.20500,30.49080,30.49080,-0.43000,-0.43000,3.39350,,,100.00000,-3738.15800,-3738.15700,-3684.21100,-3684.21100,0.00600,,,-44.30380,-44.30380,-22.03860,-44.30380,1.16430,-0.4622,-0.4622
2019-09-30,0.37900,0.37900,9.92300,3.60500,-13.14900,0.32000,-12.82900,-12.82900,-12.82900,-12.82900,-13.32500,-13.14900,31.63100,31.63100,-0.41000,-0.41000,4.09150,,,100.00000,-3469.39300,-3469.39300,-3384.96000,-3384.96000,0.00500,,,-29.12840,-29.12840,-16.79610,-29.12840,1.62280,-0.2689,-0.2689
2019-06-30,0.37900,0.37900,12.29000,3.46300,-15.37400,0.45800,-14.91600,-14.91600,-14.91600,-14.91600,-15.59800,-15.37400,31.60500,31.60500,-0.47000,-0.47000,4.90400,,,100.00000,-4056.46400,-4056.46400,-3935.62000,-3935.62000,0.00430,,,-26.98510,-26.98510,-17.06830,-26.98510,2.03830,-0.306,-0.306
2019-03-31,0.37900,0.37900,11.27900,3.91100,-14.81100,0.50900,-14.30200,-14.30200,-14.30200,-14.30200,-14.99100,-14.81100,27.02300,27.02300,-0.53000,-0.53000,6.23530,,,100.00000,-3907.91600,-3907.91600,-3773.61500,-3773.61500,0.00380,,,-20.84050,-20.84050,-14.38950,-20.84050,2.53270,-0.62280,-0.62280
2018-12-31,0.38000,0.38000,15.82100,3.89200,-19.33300,0.49600,-18.83700,-18.83700,-18.83700,-18.83700,-19.53100,-19.33300,25.37200,25.37200,-0.71000,-0.71000,5.17520,,,100.00000,-5087.63100,-5087.63100,-4957.10500,-4957.10500,0.00450,,,-35.51000,-35.51000,-22.44160,-35.51000,2.13590,-0.6015,-0.6021
2018-09-30,0.37900,0.37900,14.09500,4.12500,-17.84100,0.50300,-17.33800,-17.33800,-17.33800,-17.33800,-17.98600,-17.84100,25.47600,25.47600,-0.68000,-0.68000,5.63270,,,100.00000,-4707.38800,-4707.38800,-4574.67000,-4574.67000,0.00390,,,-26.97510,-26.97510,-17.97300,-26.97510,2.67240,-0.682,-0.6818
2018-06-30,0.37900,0.37900,14.85100,4.47900,-18.95100,0.56300,-18.38800,-18.38800,-18.38800,-18.38800,-19.02600,-18.95100,24.70500,24.70500,-0.74000,-0.74000,5.42520,,,100.00000,-5000.26400,-5000.26400,-4851.71500,-4851.71500,0.00360,,,-26.13710,-26.13710,-17.45090,-26.13710,3.09840,-0.6058,-0.6057
2018-03-31,0.37900,0.37900,15.33900,4.79100,-19.75100,0.35300,-19.39800,-19.39800,-19.39800,-19.39800,-19.81300,-19.75100,24.47800,24.47800,-0.79000,-0.79000,7.05660,,,100.00000,-5211.34500,-5211.34500,-5118.20500,-5118.20600,0.00320,,,-22.30940,-22.30940,-16.17080,-22.30940,3.52050,-0.81170,-0.81880
2017-12-31,1.19300,1.19300,16.59900,4.08300,-19.48900,0.38500,-19.10400,-19.10400,-19.10400,-19.10400,-19.42300,-19.48900,20.99700,20.99700,-0.81000,-0.81000,8.44680,,,100.00000,-1633.61300,-1633.61300,-1601.34100,-1601.34100,0.00870,,,-18.31310,-18.31310,-13.92560,-18.31310,4.27710,-0.6981,-0.7003
2017-09-30,0.30500,0.30500,12.18800,3.56300,-15.44600,0.35800,-15.08800,-15.08800,-15.08800,-15.08800,-15.29200,-15.44600,22.24000,22.24000,-0.68000,-0.68000,8.72610,,,100.00000,-5064.26200,-5064.26200,-4946.88500,-4946.88500,0.00240,,,-15.60060,-15.60060,-12.11960,-15.60060,4.33440,-0.3031,-0.3049
2017-06-30,0.30500,0.30500,9.86200,4.28500,-13.84200,0.20300,-13.63900,-13.63900,-13.63900,-13.63900,-13.76900,-13.84200,19.49800,19.49800,-0.70000,-0.70000,11.66160,,,100.00000,-4538.36000,-4538.36000,-4471.80300,-4471.80300,0.00230,,,-12.47430,-12.47430,-10.12800,-12.47430,4.92070,-0.5601,-0.5601
2017-03-31,0.30500,0.30500,9.55200,3.93000,-13.17700,0.20600,-12.97100,-12.97100,-12.97100,-12.97100,-13.17100,-13.17700,18.23200,18.23200,-0.71000,-0.71000,8.83220,,,100.00000,-4320.32800,-4320.32800,-4252.78700,-4252.78700,0.00310,,,-17.86270,-17.86270,-13.28080,-17.86270,3.98000,-0.69480,-0.69480
2016-12-31,0.30500,0.30500,8.47400,2.97200,-11.14100,0.32600,-10.81500,-10.81500,-10.81500,-10.81500,-11.16600,-11.14100,14.62000,14.62000,0.94000,0.94000,10.46790,,,100.00000,-3652.78700,-3652.78700,-3545.90200,-3545.90100,0.00280,,,-12.85370,-12.85370,-9.92080,-12.85370,4.61920,-1.0225,-1.0258
2016-09-30,0.30500,0.30500,12.27400,3.26900,-15.23800,0.26900,-14.96900,-14.96900,-14.96900,-14.96900,-15.30700,-15.23800,17.90000,17.90000,-0.84000,-0.84000,12.82030,,,100.00000,-4996.06500,-4996.06500,-4907.86900,-4907.86900,0.00260,,,-15.95260,-15.95260,-12.71480,-15.95260,5.16140,-0.6341,-0.6371
2016-06-30,0.30500,0.30500,6.13100,2.80800,-8.63400,0.27600,-8.35800,-8.35800,-8.35800,-8.35800,-8.63000,-8.63400,17.77000,17.77000,-0.47000,-0.47000,19.43830,,,100.00000,-2830.82000,-2830.82000,-2740.32800,-2740.32800,0.00240,,,-7.86700,-7.86700,-6.53700,-7.86700,5.97870,0.6616,0.6793
2016-03-31,0.30500,0.30500,4.78600,4.27200,-8.75300,-1.57700,-10.33000,-10.33000,-10.33000,-12.92800,-8.70000,-8.75300,4.54200,4.54200,-2.85000,-2.85000,19.29880,,,100.00000,-2869.83600,-2869.83600,-3386.88500,-4238.68800,0.00220,,,-9.07370,-9.07370,-7.58120,-9.07370,6.40700,-1.40970,-1.43900
2015-12-31,0.31000,0.31000,2.59000,2.41000,-4.69000,-0.59000,-5.26000,-5.26000,-5.26000,-5.26000,-4.06700,-4.69000,0.06800,0.06800,-81.60010,-81.60010,18.15700,,,100.00000,-1512.90300,-1512.90300,-1696.77400,-1696.77400,0.00340,,,2.02580,-7.88630,-5.85080,-7.88630,784.68230,-61.6636,-62.0005
2015-09-30,0.30500,0.30500,2.96800,3.19500,-5.85800,-1.87300,-7.73100,-7.73100,-7.73100,-56.65600,-5.66800,-5.85800,0.07160,0.07160,-790.85000,-790.85000,,,,100.00000,-1920.65600,-1920.65600,-2534.75400,-18575.74000,,,,,,,,,-91.4079,-91.576
2015-06-30,0.01700,0.01700,2.27100,3.28800,-5.54200,-0.67200,-6.21400,-6.21400,-6.21400,-6.21400,-5.37100,-5.54200,0.06000,0.06000,-440.52000,-440.52000,,,,100.00000,-32600.00000,-32600.00000,-36552.94000,-36552.94000,,,,,,,,,-69.7201,-69.8034
2015-03-31,,,1.72300,2.71100,-4.43400,-0.47700,-4.91100,-4.91100,-4.91100,-4.91100,-4.33800,-4.43400,0.05900,0.05900,-206.30000,-206.30000,,,,,,,,,,,,,,,,,187.20340,187.20340
2014-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
