Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.25400,2.42500,-0.01300,,-2.75500,-0.35300,-3.10800,-3.10800,-3.10800,,-3.10800,-2.69200,-2.75500,58.43500,58.43500,-0.05000,-0.05000,0.59960,0.00010,0.00010,,,,,,,,,,-2.34510,-2.34510,-2.16600,-2.34490,2.23040,0.0259,0.0214
2024-06-30,,,,0.28100,2.48900,0.00600,,-2.82600,-0.98100,-3.80700,-3.80700,-3.80700,,-3.81900,-2.76400,-2.82600,57.42700,57.42700,-0.07000,-0.07000,0.98670,0.00010,0.00010,,,,,,,,,,-2.82170,-2.82170,-2.63860,-2.82150,2.33250,-0.0407,-0.0524
2024-03-31,,,,0.32600,2.60500,,,-2.99300,0.09500,-2.89800,-2.89800,-2.89800,,-2.89800,-2.93100,-2.99300,56.08900,56.08900,-0.05000,-0.05000,0.95590,0.00010,0.00010,,,,,,,,,,-2.09540,-2.09540,-1.96900,-2.09520,2.42590,-0.04950,-0.09390
2023-12-31,,,,0.29100,2.20400,-0.02200,,-2.57900,4.36600,1.78700,1.78700,1.78700,,1.78700,-2.52100,-2.57900,52.03700,52.03700,0.04000,0.04000,1.49380,0.00010,0.00010,,,,,,,,,,1.27240,1.27240,1.19270,1.27230,2.53560,0.0103,-0.0665
2023-09-30,,,,1.12400,2.49900,-0.01200,,-3.69100,0.16900,-3.52200,-3.52200,-3.52200,,-3.52200,-3.63500,-3.69100,52.99000,52.99000,-0.07000,-0.07000,1.36010,0.00010,0.00020,,,,,,,,,,-2.57210,-2.57210,-2.38760,-2.57180,2.56510,-0.0555,-0.0845
2023-06-30,,,,1.26500,2.67500,,,-3.99500,0.36900,-3.62600,-3.62600,-3.62600,,-3.62600,-3.93600,-3.99500,51.12100,51.12100,-0.07000,-0.07000,2.96740,0.00010,0.00020,,,,,,,,,,-2.60960,-2.60960,-2.47270,-2.60930,2.67490,-0.1147,-0.4423
2023-03-31,,,,0.55600,2.40200,,,-3.00600,0.61600,-2.39000,-2.39000,-2.39000,,-2.39000,-2.95800,-3.00600,49.44300,49.44300,-0.05000,-0.05000,2.27240,0.00010,0.00020,,,,,,,,,,-1.69670,-1.69670,-1.49290,-1.69640,2.81730,-0.05980,-0.74660
2022-12-31,,,,0.40000,2.43600,-0.02300,,-2.90600,1.20200,-1.70400,-1.70400,-1.70400,,-1.70400,-2.85900,-2.90600,44.91000,44.91000,-0.03000,-0.03000,3.03600,,,,,,,,,,,,-1.20030,-1.20030,-1.01180,-1.20030,2.93290,-0.1124,-0.6143
2022-09-30,,,,0.49200,2.61100,-0.01100,,-3.15700,-0.29600,-3.45300,-3.45300,-3.45300,,-3.45300,-3.11400,-3.15700,47.46300,47.46300,-0.07000,-0.07000,4.85410,,,,,,,,,,,,-2.41370,-2.41370,-2.09010,-2.41370,2.97620,-0.0555,-0.2011
2022-06-30,,,,0.56800,2.64400,,,-3.24600,0.09100,-3.15500,-3.15500,-3.15500,,-3.15500,-3.21200,-3.24600,47.08400,47.08400,-0.07000,-0.07000,15.47690,,,,,,,,,,,,-2.17420,-2.17420,-2.05410,-2.17420,3.07320,-0.052,-0.2501
2022-03-31,,,,0.44100,2.21100,-0.14200,,-2.81600,0.00700,-2.80900,-2.80900,-2.80900,,-2.80900,-2.79400,-2.81600,36.75700,36.75700,-0.08000,-0.08000,14.27670,,,,,,,,,,,,-2.02120,-2.02120,-1.89060,-2.02120,3.24590,-0.07350,-0.40330
2021-12-31,,,,0.38600,2.40400,-0.01800,,-2.82500,0.11900,-2.70600,-2.70600,-2.70600,,-2.70600,-2.80800,-2.82500,32.65300,32.65300,-0.06000,-0.06000,21.71540,,,,,,,,,,,,-2.14420,-2.14420,-2.03480,-2.14420,3.57700,-0.1383,-0.2374
2021-09-30,,,,2.18200,2.18900,-0.73800,,-5.11000,0.54200,-4.56800,-4.56800,-4.56800,,-4.56800,-5.10900,-5.11000,34.33200,34.33200,-0.13000,-0.13000,20.65150,,,,,,,,,,,,-3.61560,-3.61560,-3.41520,-3.61560,3.64770,-0.0982,-0.1017
2021-06-30,,,,2.49300,2.19800,-0.01300,,-4.70500,1.22500,-3.48000,-3.48000,-3.48000,,-3.48000,-4.70400,-4.70500,32.43200,32.43200,-0.11000,-0.11000,23.66560,,,,,,,,,,,,-2.74860,-2.74860,-2.63760,-2.74860,3.77530,-0.112,-0.112
2021-03-31,,,,1.96800,2.08400,-1.53200,,-5.58500,0.19500,-5.39000,-5.39000,-5.39000,,-5.39000,-5.58400,-5.58500,28.59800,28.59800,-0.19000,-0.19000,23.04180,,,,,,,,,,,,-4.33890,-4.33890,-4.15800,-4.33890,3.84170,-0.16960,-0.16960
2020-12-31,,,,2.10100,1.55400,-0.61200,,-4.29900,-2.65300,-6.95200,-6.95200,-6.95200,-1.11700,-8.06900,-4.39500,-4.29900,8.79900,8.79900,-0.20000,-0.20000,12.36810,,,,,,,,,,,,-12.09650,-12.09650,-11.22430,-12.09650,2.99770,-0.4435,-0.4392
2020-09-30,,,,1.64100,1.53600,-0.18300,,-3.34100,-0.02100,-3.36200,-3.36200,-3.36200,-6.38900,-9.75100,-3.33000,-3.34100,7.90500,7.90500,-1.23000,-1.23000,1.53720,,,,,,,,,,,,-22.03290,-22.03290,-13.23470,-22.03290,1.46240,-0.2338,-0.2322
2020-06-30,,,,0.18100,1.22600,-0.02800,,-1.43700,0.00100,-1.43600,-1.43600,-1.43600,-1.03100,-2.46700,-1.42000,-1.43700,5.78600,5.78600,-0.43000,-0.43000,0.80290,0.01040,0.01880,,,,,,,,,,-8.14570,-8.14570,-5.20030,-8.06110,2.64500,-0.1855,-0.2006
2020-03-31,,,,0.12600,1.36200,-0.66900,,-2.15900,-0.00300,-2.16200,-2.16200,-2.16200,-1.12500,-3.28700,-2.14600,-2.15900,4.00500,4.00500,-0.82000,-0.82000,0.43480,,,,,,,,,,,,-13.30630,-13.30630,-8.21930,-13.30630,3.41130,-0.86270,-0.86270
2019-12-31,,,,0.08100,0.06600,0.54300,,0.43500,0.67400,1.10900,1.10900,1.11500,-3.89700,-2.78200,0.43700,0.43500,1.96100,1.96100,-0.48000,-0.48000,0.56630,,,,,,,,,,,,6.53420,6.53420,4.13280,6.53420,5.11050,-1.3999,-1.3999
2019-09-30,,,,0.01900,1.00300,-0.15800,,-1.17700,0.01300,-1.16400,-1.16400,-1.17000,-0.66400,-1.83400,-1.15400,-1.17700,1.93100,1.93100,-0.95000,-0.95000,0.34160,,,,,,,,,,,,-7.32160,-7.32170,-4.47800,-7.32170,7.52000,-0.9039,-1.8824
2019-06-30,,,,0.01600,1.70000,-1.19200,,-2.93300,0.15800,-2.77500,-2.77500,-2.77500,,-2.77500,-3.08400,-2.93300,1.53300,1.53300,-1.81000,-1.81000,0.56000,,,,,,,,,,,,-17.23600,-17.23600,-9.83480,-17.23600,9.71050,-0.9667,-0.3265
2019-03-31,,,,,1.70500,-0.89100,,-2.61900,-0.55500,-3.17400,-3.17400,-3.17400,,-3.17400,-2.71900,-2.61900,1.47800,1.47800,-2.15000,-2.15000,0.82870,,,,,,,,,,,,-17.50690,-17.50690,-11.25290,-17.50690,12.13520,-1.85390,-1.51560
