Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,743.30800,431.70500,311.60300,14.40400,63.97600,-41.60800,334.57200,-22.96900,-22.96900,10.11800,-33.08700,-33.08700,,-63.18800,193.84500,32.38100,9.21300,9.21300,-6.86000,-6.86000,1.87610,0.84460,5.43500,41.92110,-3.09010,4.35630,-3.09010,-8.50090,0.16320,3.04310,1.93210,46.58240,-7.18370,-7.18370,-0.72660,-1.11640,48.23880,15.5679,1.7041
2024-06-30,742.97900,440.22500,302.75400,14.36200,62.15400,-12.07900,300.22900,2.52500,2.52500,15.55400,-13.02900,-13.02900,,-39.53800,216.42000,54.01800,9.20700,9.20700,-4.29000,-4.29000,1.82390,0.83370,5.01230,40.74870,0.33990,7.27050,0.33980,-5.32160,0.16100,2.97950,2.01600,44.64390,-2.59750,-2.59750,-0.28230,-0.43200,52.52360,19.6912,5.8957
2024-03-31,743.90500,437.07700,306.82800,13.86300,61.75100,-16.10800,299.78590,7.04210,7.04200,16.04400,-9.00200,-9.00200,,-41.61600,217.37210,57.42110,9.17600,9.17600,-4.54000,-4.54000,1.78340,0.82770,4.80500,41.24560,0.94660,7.71890,0.94660,-5.59430,0.16020,2.91800,1.78450,50.43460,-1.72180,-1.72180,-0.19380,-0.29660,54.79750,11.68690,0.28470
2023-12-31,737.84290,424.76900,313.07390,13.92600,57.00300,-7.87800,289.97310,23.10080,23.10100,19.24400,3.85700,3.85700,,8.12900,236.60680,73.03900,9.15900,9.15900,-3.31000,-3.03000,1.35560,0.82250,5.79540,42.43100,3.13090,9.89900,3.13090,1.10170,0.13980,2.87400,2.12120,42.42820,0.71160,0.71160,0.07310,0.12630,57.69130,19.8027,5.2086
2023-09-30,744.14300,447.75100,296.39200,14.01600,62.18200,-35.54600,317.12300,-20.73100,-20.73100,10.51300,-31.24400,-31.24400,,-57.25600,186.80200,23.31100,9.14800,9.14800,-6.26000,-6.26000,1.81680,0.82020,4.56310,39.83000,-2.78590,3.13260,-2.78590,-7.69420,0.15740,3.06150,2.28990,39.30330,-5.69970,-5.69970,-0.66100,-1.02460,57.86680,14.7653,-1.0366
2023-06-30,778.81000,455.53100,323.27900,13.28100,63.23200,1.77500,280.60000,42.67900,42.67900,26.44800,16.23100,16.23100,,-2.82500,250.76000,88.84300,9.19500,9.19500,-0.31000,-0.31000,1.79720,0.80880,4.23080,41.50940,5.48000,11.40750,5.48000,-0.36270,0.17450,2.99230,2.61880,34.36640,2.74320,2.74320,0.36370,0.52440,61.98760,19.4625,2.8407
2023-03-31,789.00500,462.32900,326.67600,15.07400,61.73000,42.37500,242.60090,84.07510,84.07500,23.01500,61.06000,61.06000,,40.16800,294.26710,129.21610,9.16000,9.86700,4.39000,4.11000,1.87470,0.81480,4.39970,41.40350,10.65580,16.37710,10.65580,5.09100,0.16790,3.20570,2.57000,35.01940,10.48450,10.48450,1.29920,1.94170,61.04630,15.61270,3.57920
2022-12-31,769.34200,457.18400,312.15810,13.91100,59.03100,-58.12400,344.15200,-31.99400,-31.99400,26.16000,-58.15400,-58.15400,,-66.49100,181.21810,12.25100,8.89800,8.89800,-6.80000,-6.80000,1.67780,0.82540,4.72720,40.57470,-4.15860,1.59240,-4.15860,-8.64260,0.16270,3.57320,2.34990,38.29990,-10.83360,-10.83360,-1.22950,-1.89160,57.01450,23.2232,11.1558
2022-09-30,698.94900,432.31100,266.63800,13.40900,57.59400,25.95400,258.74700,7.89100,7.89100,12.35200,-4.46100,-4.46100,,-13.78300,223.57200,51.73200,9.09900,9.09900,-1.80000,-1.80000,1.72740,0.81260,4.33690,38.14840,1.12900,7.40140,1.12900,-1.97200,0.14660,3.34820,2.30700,39.01100,-0.74830,-0.74830,-0.09360,-0.14020,63.30730,15.2356,3.0506
2022-06-30,631.76500,403.79700,227.96800,10.94100,58.16700,-14.52800,288.55000,-60.58200,-60.58200,9.35300,-69.93500,-69.93500,,-85.49100,145.37600,-17.68300,9.08100,9.08100,-9.41000,-9.41000,1.76200,0.81240,4.33010,36.08430,-9.58930,-2.79900,-9.58930,-13.53210,0.13160,3.34780,2.27160,39.61930,-11.64030,-11.64030,-1.45670,-2.18390,63.78620,12.8802,5.3011
