Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,53.47200,53.47200,2.88300,-4.13500,36.41300,,36.41300,36.41300,36.41300,35.14000,36.41300,36.41300,40.16700,40.16700,0.87000,0.87000,14.21370,100.00000,68.09730,68.09730,68.09730,65.71660,0.13260,1.81370,49.62190,9.18450,9.18450,9.02760,9.18450,8.37480,1.0856,1.0856
2024-06-30,37.36000,37.36000,2.55100,-3.51500,23.62800,,23.62800,23.62800,23.62800,22.80200,23.62800,23.62800,40.08800,40.08800,0.57000,0.57000,12.53760,100.00000,63.24410,63.24410,63.24410,61.03320,0.21220,1.68020,53.56640,13.85430,13.85430,13.42260,13.85430,4.25430,0.7255,0.7255
2024-03-31,30.97900,30.97900,3.26900,-2.62300,18.16700,,18.16700,18.16700,18.16700,17.56200,18.16700,18.16700,39.60500,39.60500,0.44000,0.44000,13.06910,100.00000,58.64300,58.64300,58.64300,56.69000,0.16760,1.48470,60.61690,10.12920,10.12920,9.83000,10.12920,4.47400,0.70610,0.70610
2023-12-31,50.41900,50.41900,2.90400,-3.02500,36.78000,,36.78000,36.78000,36.78000,35.49700,36.78000,36.78000,38.78300,38.78300,0.91000,0.91000,15.60490,100.00000,72.94870,72.94870,72.94870,70.40400,0.26390,2.22290,40.48830,19.82140,19.82140,19.25000,19.82140,4.68780,0.9783,0.9783
2023-09-30,42.59400,42.59400,2.79800,-3.71400,29.46300,,29.46300,29.46300,29.46300,28.43400,29.46300,29.46300,38.79200,38.79200,0.73000,0.73000,8.15270,100.00000,69.17170,69.17170,69.17170,66.75590,0.22150,2.17120,41.45230,16.06160,16.06160,15.32240,16.06160,4.63430,0.8533,0.8533
2023-06-30,30.61900,30.61900,2.72400,-2.75400,19.80400,,19.80400,19.80400,19.80400,19.14800,19.80400,19.80400,38.37200,38.37200,0.50000,0.50000,7.76470,100.00000,64.67880,64.67880,64.67880,62.53630,0.20000,1.90620,47.21480,13.62670,13.62670,12.93320,13.62670,3.78740,0.7645,0.7645
2023-03-31,40.16700,40.16700,2.73800,-2.71800,28.07000,,28.07000,28.07000,28.07000,27.31000,28.07000,28.07000,38.37200,38.37200,0.71000,0.71000,17.69770,100.00000,69.88320,69.88320,69.88320,67.99110,0.23730,2.33900,38.47860,17.05990,17.05990,16.58050,17.05990,4.28800,1.00970,1.00970
2022-12-31,38.88300,38.88300,2.19800,-2.63000,28.45800,,28.45800,28.45800,28.45800,27.59500,28.45800,28.45800,37.62400,37.62400,0.71000,0.71000,18.30800,100.00000,73.18880,73.18880,73.18880,70.96930,0.22060,1.79080,50.25770,16.59180,16.59180,16.14700,16.59180,4.46990,0.8901,0.8901
2022-09-30,44.05700,44.05700,2.42500,-3.18400,34.20100,,34.20100,34.20100,34.20100,32.91300,34.20100,34.20100,37.56400,37.56400,0.88000,0.88000,13.73150,100.00000,77.62900,77.62900,77.62900,74.70550,0.22580,1.86760,48.18990,18.17000,18.17000,17.52880,18.17000,4.90530,1.2225,1.2225
2022-06-30,47.45900,47.45900,1.55500,-3.80700,37.32400,,37.32400,37.32400,37.32400,36.07100,37.32400,37.32400,37.55500,37.55500,0.96000,0.96000,16.62430,100.00000,78.64470,78.64470,78.64470,76.00460,0.26780,1.59950,56.26920,21.77940,21.77940,21.06380,21.77940,4.56330,1.0277,1.0277
2022-03-31,40.40100,40.40100,2.04300,-3.26800,30.62400,,30.62400,30.62400,30.62400,29.54200,30.62400,30.62400,36.99100,36.99100,0.80000,0.80000,18.57400,100.00000,75.80010,75.80010,75.80010,73.12200,0.24050,1.57620,57.09960,18.75010,18.75010,18.22800,18.75010,4.34900,0.76820,0.76820
2021-12-31,30.30400,30.30400,1.38600,-2.30500,23.83300,,23.83300,23.83300,23.83300,23.06400,23.83300,23.83300,35.05200,35.05200,0.66000,0.66000,16.64680,100.00000,78.64640,78.64640,78.64640,76.10880,0.20640,1.65100,54.51260,16.73550,16.73550,16.23420,16.73550,3.85050,0.6652,0.6653
2021-09-30,23.96900,23.96900,0.91000,-2.12600,18.03100,,18.03100,18.03100,18.03100,17.40000,18.03100,18.03100,35.40500,35.40500,0.49000,0.49000,13.47750,100.00000,75.22630,75.22630,75.22630,72.59380,0.21730,1.68490,53.41650,17.02190,17.02190,16.34640,17.02190,2.99190,0.5272,0.5271
2021-06-30,21.36100,21.36100,0.72400,-1.64400,16.50900,,16.50900,16.50900,16.50900,15.95800,16.50900,16.50900,34.68800,34.68800,0.46000,0.46000,14.94590,100.00000,77.28570,77.28570,77.28570,74.70620,0.19520,1.80050,49.98640,15.64660,15.64660,15.08860,15.64660,2.98010,0.5103,0.5102
2021-03-31,17.78900,17.78900,2.16900,-1.52100,11.80100,,11.80100,11.80100,11.80100,11.40400,11.80100,11.80100,34.68000,34.68000,0.33000,0.33000,13.21930,100.00000,66.33880,66.33880,66.33880,64.10700,0.19490,1.73590,51.84780,13.45860,13.45860,12.92860,13.45860,2.52840,0.30300,0.31060
2020-12-31,12.11200,12.11200,1.99500,-1.37100,6.29500,,6.29500,6.29500,6.29500,6.08000,6.29500,6.29500,34.68000,34.68000,0.17000,0.17000,9.70230,100.00000,51.97330,51.97330,51.97330,50.19810,0.13710,1.73300,51.93280,7.44410,7.44410,7.12690,7.44410,2.43840,0.2122,0.2297
2020-09-30,12.54500,12.54500,2.23300,-1.53200,5.61900,,5.61900,5.61900,5.61900,5.42700,5.61900,5.61900,34.68000,34.68000,0.16000,0.16000,7.59170,100.00000,44.79080,44.79080,44.79080,43.26030,0.13260,1.93180,46.58910,6.25310,6.25310,5.93790,6.25310,2.59110,0.1625,0.3216
2020-06-30,6.79500,6.79500,1.31300,-1.35000,1.19200,,1.19200,1.19200,1.19200,1.13200,1.19200,1.19200,34.68000,34.68000,0.03000,0.03000,4.95630,100.00000,17.54230,17.54230,17.54230,16.65930,0.06980,1.96500,45.80130,1.29160,1.29160,1.22390,1.29160,2.66120,0.2472,0.2472
