Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.91130,0.47790,-4.42920,0.08470,-4.34450,0.00120,-4.34570,-4.34570,-4.34570,-4.38920,-4.42920,12.39870,12.39870,-0.35000,-0.35000,7.93650,-80.48540,-80.48540,-68.36350,-80.48540,0.43550,-0.3082,-0.3081
2024-06-30,0.92340,0.65310,-1.61080,0.12650,-1.48430,-0.00290,-1.48140,-1.48140,-1.48720,-1.57650,-1.61080,12.39870,12.39870,-0.12000,-0.12000,18.47660,-15.27420,-15.27420,-14.10970,-15.27420,0.78220,-0.1897,-0.2035
2024-03-31,0.41450,0.66290,-1.10680,0.14430,-0.96240,,-0.96240,-0.96240,-0.96240,-1.07740,-1.10680,12.39870,12.39870,-0.08000,-0.08000,15.73610,-8.64970,-8.64970,-7.93360,-8.64970,0.89740,-0.0377,-0.0378
2023-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0.00000,
2023-11-30,2.21930,0.79660,-3.03940,0.17450,-2.86490,,-2.86990,-2.87010,-2.86990,-3.01590,-3.03940,11.48000,11.48000,-0.26000,-0.26000,,,,,,,-0.2644,-0.2707
2023-09-30,2.50600,0.82270,-3.34690,0.18620,-3.16070,,-3.16070,-3.16070,-3.16070,-3.32880,-3.34690,12.39770,12.39770,-0.25000,-0.25000,34.71930,-19.92900,-19.92900,-18.94450,-19.92900,1.27910,-0.1782,-0.1992
2023-06-30,0.62130,2.42660,-3.05320,0.13380,-2.91930,,-2.91930,-2.91930,-2.91930,-3.04790,-3.05320,11.72620,11.72620,-0.25000,-0.25000,,,,,,,-0.0894,-0.1474
2023-05-31,0.20400,2.15960,-2.36880,0.06710,-2.30180,,-2.30180,-2.30180,-2.30180,-2.36360,-2.36880,10.97500,10.97500,-0.21000,-0.21000,16.31890,-13.12800,-13.12800,-12.16640,-13.12800,1.42020,-0.2438,-0.2438
2023-03-31,0.12520,0.89130,-1.02160,-0.00270,-1.02430,,-1.02430,-1.02430,-1.02430,-1.01650,-1.02160,10.13500,10.13500,-0.10000,-0.10000,,,,,,,-0.0455,-0.0455
2023-02-28,,0.89130,-0.89640,,-0.89640,0.00000,-0.89640,-1.02400,-1.02430,-0.89130,-0.89640,,,,0.00000,,,,,,,0.00000,
2022-11-30,,,,,,,,,,,,,,,0.00000,,,,,,,0.0719,0.0719
2022-09-30,0.09650,0.38140,-0.48280,-0.00120,-0.48410,,-0.48410,-0.48410,-0.48410,-0.48280,-0.48280,9.50000,9.50000,-0.05000,-0.05000,,,,,,,-0.0719,-0.0719
2022-08-31,,0.38140,-0.38630,,-0.38630,0.00000,-0.38630,-0.48400,-0.48410,-0.38630,-0.38630,,,,0.00000,,,,,,,0.0333,0.0333
2022-05-31,0.03680,0.22100,-0.26260,0.00000,-0.26250,,-0.26250,-0.26250,-0.26250,-0.26260,-0.26260,9.50000,9.50000,-0.03000,-0.03000,,,,,,,-0.0333,-0.0333
2021-11-30,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2020-11-30,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
