Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-03-31,,0.33000,-0.33000,0.60000,1.29200,0.00100,1.89100,-2.22100,-0.13900,-2.36000,-2.36000,-2.36000,-2.36000,-2.22100,-2.22100,1.68570,1.68570,-1.40000,-1.40000,3.83000,0.53520,1.29890,,,,,,,0.31340,,,-55.54240,-55.54250,-17.24640,-25.81490,0.00000,
2022-09-30,,0.35600,-0.35600,0.99900,1.24800,0.01200,2.23500,-2.59100,-0.18000,-2.77100,-2.77100,-2.77100,-2.77100,-2.59100,-2.59100,1.53940,1.53940,-1.80000,-1.80000,4.98970,0.41460,0.84310,,,,,,,0.49790,,,-42.42840,-42.42840,-17.55460,-24.83870,0.1371,-0.0098
2022-03-31,0.02000,0.50000,-0.48000,1.32100,1.45200,0.05000,2.72300,-3.20300,0.14800,-3.05500,-3.05500,-3.05500,-3.05500,-3.00300,-3.20300,1.38860,1.38860,-2.20000,-2.20000,1.58300,0.26020,0.68200,-2400.00000,-16015.00000,-16015.00000,-15275.00000,-15275.00000,0.00210,5.37630,0.02200,4095.00000,-116.78150,-116.78130,-31.65150,-86.39710,-2.21520,-2.22810
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,1.5375,1.6054
2021-09-30,0.04500,0.79900,-0.75400,0.81400,0.75000,,1.56400,-2.31800,0.06200,-2.25600,-2.25600,-2.25600,-2.25600,-2.31800,-2.31800,1.25330,1.25330,-1.80000,-1.80000,,,,-1675.55500,-5151.11000,-5151.11000,-5013.33300,-5013.33300,,,,,,,,,0.1421,0.1457
2021-03-31,,2.16400,-2.16400,0.86100,0.75200,0.00200,1.61100,-3.77500,0.64300,-3.13200,-3.13200,-3.13200,-3.13200,-3.61300,-3.77500,1.16000,0.97880,-2.70000,-3.20000,,,,,,,,,,,,,,,,,-1.67960,-1.75110
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
