Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1063.12400,928.13100,134.99300,134.99300,1.71100,136.70400,36.39000,100.31400,100.31400,,100.31400,171.60400,134.99300,23.62480,23.69010,4.25000,4.23000,1.03960,0.08300,0.13810,12.69780,12.69780,12.69780,12.85870,9.43580,0.44040,2.43780,36.91920,7.67460,11.01500,4.15520,7.03760,55.71090,3.8071,0.9874
2024-06-30,1077.83100,1028.98600,48.84510,48.84510,0.38200,49.22700,2.30300,46.92400,46.92400,,46.92400,85.12110,48.84510,23.61830,23.91960,1.99000,1.96000,1.18790,0.10530,0.16530,4.53180,4.53180,4.53180,4.56720,4.35360,0.44750,2.44210,36.85380,3.81020,5.63960,1.94820,3.40890,51.99000,5.5869,3.4095
2024-03-31,1036.41900,1013.98400,22.43490,22.43490,-27.11200,-4.67700,-1.76500,-2.91200,-2.91200,0.60000,-2.31200,59.26790,22.43490,23.56130,23.56130,-0.10000,-0.10000,1.22620,0.10860,0.17350,2.16470,2.16470,2.16470,-0.45130,-0.22310,0.43970,2.32850,38.65190,-0.23820,-0.35510,-0.12350,-0.21230,52.12490,0.27450,-2.16140
2023-12-31,1089.53500,1025.28200,64.25270,64.25270,3.55300,67.80600,19.01600,48.79000,48.79000,,48.79000,101.63970,64.25280,24.01880,24.63460,2.08000,2.03000,1.26120,0.11530,0.18430,5.89730,5.89730,5.89730,6.22340,4.47810,0.43840,2.25930,39.83550,3.92720,5.83290,1.96330,3.47420,52.72300,5.1368,1.4668
2023-09-30,1128.35000,1083.25900,45.09090,45.09090,1.79900,46.89000,11.96300,34.92700,34.92700,-0.01000,34.91700,82.23090,45.09090,24.00430,24.52530,1.45000,1.42000,1.33180,0.12620,0.19920,3.99620,3.99620,3.99620,4.15560,3.09450,0.46290,2.34840,38.32380,2.86120,4.30300,1.43290,2.50010,51.29130,3.7357,1.8427
2023-06-30,1103.46400,1061.34800,42.11600,42.11600,6.55800,48.67400,9.07400,39.60000,39.60000,0.84300,40.44300,77.92800,42.11600,24.06490,24.67300,1.68000,1.64000,1.34920,0.12190,0.19230,3.81670,3.81670,3.81670,4.41100,3.66510,0.45710,2.50370,35.94650,3.26910,4.95530,1.64040,2.87070,50.42090,3.3807,1.2961
2023-03-31,1106.09400,1084.93500,21.15890,21.15890,2.38600,23.54500,4.69800,18.84700,18.84700,52.43600,71.28300,56.54890,21.15890,24.28810,25.05770,2.93000,2.84000,1.33280,0.13360,0.20770,1.91290,1.91290,1.91290,2.12870,6.44460,0.45490,2.29520,39.21300,1.56300,2.38420,0.77510,1.35410,49.98380,0.82460,-0.63020
2022-12-31,1163.49500,1113.28600,50.20910,50.20910,1.57800,51.78700,15.30200,36.48500,36.48500,0.85200,37.33700,85.38810,50.20900,24.58520,25.50450,1.54000,1.51000,1.28800,0.14700,0.22980,4.31540,4.31540,4.31540,4.45100,3.20900,0.46650,2.20150,40.88190,3.16870,4.97810,1.46270,2.70300,47.52160,4.6482,1.9284
2022-09-30,1275.73000,1160.39400,115.33590,115.33590,-0.81700,114.51900,25.90600,88.61300,88.61300,0.22900,88.84200,150.04290,115.33590,24.60520,25.37280,3.61000,3.50000,1.31780,0.14420,0.22490,9.04080,9.04080,9.04080,8.97670,6.96400,0.52280,1.99780,45.04930,7.86770,12.62080,3.63150,6.73310,46.14630,6.599,5.5202
2022-06-30,1321.69200,1185.65400,136.03800,136.03800,-4.31700,131.72100,30.17900,101.54200,101.54200,0.91900,102.46100,171.36800,136.03800,24.60740,25.59600,4.16000,4.00000,1.25050,0.13740,0.21200,10.29270,10.29270,10.29270,9.96610,7.75230,0.57620,1.94860,46.18740,9.55050,15.76760,4.42700,8.23820,43.38580,7.6473,6.4484
