Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,99.22900,74.82400,24.40500,8.04800,18.02500,-14.03600,40.10900,-15.70400,-0.04400,-15.74800,1.99500,-17.74300,-17.74300,-17.74300,-15.70400,-15.70400,126.53000,126.53000,-0.14000,-0.14000,1.09220,0.24450,24.59460,-15.82600,-15.82600,-15.87040,-17.88090,0.11990,3.88040,23.19360,-3.70110,-4.05120,-2.14360,-3.70110,,-1.6304,-2.0133
2024-03-31,119.50600,85.37500,34.13100,21.16400,16.65900,4.19300,33.63000,0.50100,0.15100,0.65200,0.04600,0.60600,0.60600,0.60600,0.50100,0.50100,114.84300,117.04100,0.01000,0.01000,1.03510,0.24990,28.56010,0.41920,0.41920,0.54560,0.50710,0.17300,4.16720,21.59740,0.15480,0.15670,0.08770,0.15480,,0.00000,
2023-12-31,114.84800,87.80400,27.04400,8.30600,19.13900,4.14100,23.30400,3.74000,1.17900,4.91900,9.95000,-5.03100,-5.03100,-5.03100,3.74000,3.74000,110.49400,110.49400,-0.04000,-0.04000,0.89630,0.27910,23.54770,3.25640,3.25650,4.28310,-4.38060,0.17960,6.57630,13.68560,-1.51280,-1.53480,-0.78680,-1.51280,,-2.4597,-3.6023
2023-09-30,87.30300,66.18700,21.11600,8.50100,18.77500,1.68000,25.59600,-4.48000,1.22400,-3.25600,-1.45800,-1.79800,-1.79800,-1.79800,-4.48000,-4.48000,111.28400,111.28400,-0.02000,-0.02000,0.81960,0.29410,24.18700,-5.13150,-5.13150,-3.72950,-2.05950,0.14040,6.36640,14.13660,-0.56410,-0.57290,-0.28930,-0.56410,,1.4166,2.2018
2023-06-30,93.81600,77.65900,16.15700,6.43300,18.34600,-32.67800,57.45700,-41.30000,-0.89500,-42.19500,-1.83500,-40.36000,-40.36000,-40.36000,-41.30000,-41.30000,110.91600,110.91600,-0.36000,-0.36000,0.92090,0.32670,17.22200,-44.02230,-44.02230,-44.97630,-43.02040,0.15160,5.95730,15.10740,-13.08420,-13.30260,-6.52010,-13.08420,,-1.4166,-2.2018
2023-03-31,72.58700,59.09500,13.49200,6.29400,18.44000,1.03500,23.69900,-10.20700,-0.23200,-10.43900,-0.97200,-9.46700,-9.46700,-9.46700,-10.20700,-10.20700,108.68100,108.68100,-0.09000,-0.09000,1.01670,0.30980,18.58740,-14.06180,-14.06180,-14.38140,-13.04230,0.11400,4.66470,19.29400,-2.94780,-2.95040,-1.48670,-2.94780,,0.00000,
2022-12-31,77.14100,66.42800,10.71300,8.53200,24.96000,-1.74000,35.23200,-24.51900,4.39100,-20.12800,-7.09300,-13.03500,-13.03500,-13.03500,-24.51900,-24.51900,108.68100,108.68100,-0.22000,-0.22000,0.93620,0.31490,13.88760,-31.78460,-31.78460,-26.09250,-16.89760,0.11840,4.12500,21.81840,-4.09470,-4.09880,-2.00100,-4.09470,2.92910,-2.458,-3.2766
2022-09-30,76.58200,73.04000,3.54200,7.15500,21.18700,0.13000,28.21200,-24.67000,-2.74900,-27.41900,-5.28200,-22.13700,-22.13700,-22.13700,-24.67000,-24.67000,108.68100,108.68100,-0.20000,-0.20000,0.10280,-0.29470,4.62510,-32.21380,-32.21380,-35.80350,-28.90630,1.27210,,,297.50490,297.50490,-36.77280,297.50490,-4.16270,-0.0017,-0.0017
2022-06-30,89.17800,61.53500,27.64300,8.65900,24.40000,-2.69100,35.75000,-8.10700,-4.99400,-13.10100,2.50600,-15.60700,-15.60700,-15.60700,-8.10700,-8.10700,108.68100,108.68100,-0.14000,-0.14000,0.14940,-0.23500,30.99760,-9.09080,-9.09080,-14.69080,-17.50100,1.50010,,,257.15010,257.15010,-26.25270,257.15010,-4.22210,0.0039,0.0039
2022-03-31,90.44100,49.08700,41.35400,11.08400,34.58900,1.03000,44.64300,-3.28900,-0.82900,-4.11800,5.46900,-9.58700,-9.58700,-9.58700,-3.28900,-3.28900,12.66200,12.66200,0.00000,0.00000,0.11770,-0.04320,45.72480,-3.63660,-3.63660,-4.55320,-10.60030,1.54780,,,207.08030,207.08030,-16.40710,207.08030,-3.22060,-0.01050,-0.01050
2021-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.3341,0.3341
2021-09-30,,,,,,-0.28820,,-0.28820,0.00090,-0.28740,,-0.28740,-0.28740,-0.06810,-0.28820,-0.28820,1.78750,1.78750,-0.04000,-0.04000,1.43830,-0.11760,,,,,,,,,16.89500,16.89500,-0.48630,16.89500,-0.95160,-0.0037,-0.0037
2021-06-30,,,,,,-0.09560,,-0.09560,,-0.09560,,-0.09560,-0.09560,-0.09560,-0.09560,-0.09560,1.34840,1.34840,-0.04000,-0.04000,1.92710,0.04000,,,,,,,,,-1.91170,-1.91170,-0.16110,-1.91170,2.06400,-0.3304,-0.3304
2021-03-31,,,,0.00000,,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
