Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,3.39860,3.39860,0.20250,-0.13610,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,17.00000,17.00000,0.18000,0.18000,100.00000,90.03660,90.03660,90.03660,90.03660,0.27490,24.74800,24.74800,24.74800,24.74800,0.72730
2024-06-30,3.37750,3.37750,0.12080,-0.19660,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,3.06000,17.00000,17.00000,0.18000,0.18000,100.00000,90.60060,90.60060,90.60060,90.60060,0.26620,24.11890,24.11890,24.11890,24.11890,0.74630
2024-03-31,3.60410,3.60410,0.35650,-0.01770,3.23000,3.23000,3.23000,3.23000,3.23000,3.23000,3.23000,17.00000,17.00000,0.19000,0.19000,100.00000,89.61980,89.61980,89.61980,89.61980,0.27880,24.98290,24.98290,24.98290,24.98290,0.76050
2023-12-31,4.12200,4.12200,0.19580,-0.10110,3.82500,3.82500,3.82500,3.82500,3.82500,3.82500,3.82500,17.00000,17.00000,0.22500,0.22500,100.00000,92.79540,92.79540,92.79540,92.79540,0.30820,28.60330,28.60330,28.60330,28.60330,0.78660
2023-09-30,3.78720,3.78720,0.25720,0.04010,3.57000,3.57000,3.57000,3.57000,3.57000,3.57000,3.57000,17.00000,17.00000,0.21000,0.21000,100.00000,94.26610,94.26610,94.26610,94.26610,0.27540,25.96420,25.96420,25.96420,25.96420,0.80880
2023-06-30,4.22200,4.22200,0.23590,-0.07620,3.91000,3.91000,3.91000,3.91000,3.91000,3.91000,3.91000,17.00000,17.00000,0.23000,0.23000,100.00000,92.60920,92.60920,92.60920,92.60920,0.29630,27.43680,27.43680,27.43680,27.43680,0.83830
2023-03-31,4.32880,4.32880,0.37560,-0.04320,3.91000,3.91000,3.91000,3.91000,3.91000,3.91000,3.91000,17.00000,17.00000,0.23000,0.23000,100.00000,90.32630,90.32630,90.32630,90.32630,0.29610,26.74550,26.74550,26.74550,26.74550,0.86000
2022-12-31,6.80150,6.80150,0.18510,-0.41140,6.20500,6.20500,6.20500,6.20500,6.20500,6.20500,6.20500,17.00000,17.00000,0.36500,0.36500,100.00000,91.23030,91.23030,91.23030,91.23020,0.45200,41.23390,41.23390,41.23390,41.23390,0.88520
2022-09-30,6.89720,6.89720,0.16130,-0.27590,6.46000,6.46000,6.46000,6.46000,6.46000,6.46000,6.46000,17.00000,17.00000,0.38000,0.38000,100.00000,93.66100,93.66100,93.66100,93.66100,0.45620,42.72830,42.72830,42.72830,42.72830,0.88930
2022-06-30,5.18320,5.18320,0.23720,-0.18600,4.76000,4.76000,4.76000,4.76000,4.76000,4.76000,4.76000,17.00000,17.00000,0.28000,0.28000,100.00000,91.83550,91.83550,91.83550,91.83550,0.33830,31.07010,31.07010,31.07010,31.07010,0.90120
2022-03-31,4.71220,4.71220,0.37380,-0.08840,4.25000,4.25000,4.25000,4.25000,4.25000,4.25000,4.25000,17.00000,17.00000,0.25000,0.25000,100.00000,90.19170,90.19170,90.19170,90.19170,0.30220,27.25280,27.25280,27.25280,27.25280,0.91730
2021-12-31,3.57020,3.57020,0.21170,0.04160,3.40000,3.40000,3.40000,3.40000,3.40000,3.40000,3.40000,17.00000,17.00000,0.20000,0.20000,100.00000,95.23410,95.23410,95.23410,95.23410,0.22310,21.24310,21.24310,21.24310,21.24310,0.94150
2021-09-30,2.84350,2.84350,0.17450,0.05100,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,2.72000,17.00000,17.00000,0.16000,0.16000,100.00000,95.65770,95.65770,95.65770,95.65770,0.17160,16.41760,16.41760,16.41760,16.41760,0.97460
2021-06-30,2.33300,2.33300,0.16540,-0.12750,2.04000,2.04000,2.04000,2.04000,2.04000,2.04000,2.04000,17.00000,17.00000,0.12000,0.12000,100.00000,87.44180,87.44180,87.44180,87.44180,0.13460,11.76850,11.76850,11.76850,11.76850,1.01970
2021-03-31,0.55570,0.55570,0.39640,0.35070,0.51000,0.51000,0.51000,0.51000,0.51000,0.51000,0.51000,17.00000,17.00000,0.03000,0.03000,100.00000,91.77730,91.77730,91.77730,91.77730,0.03110,2.85040,2.85040,2.85040,2.85040,1.05250
