Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.65000,1.17800,-2.82800,0.35700,-2.47100,-2.47100,-2.47100,-2.47100,-2.82800,-2.82800,24.94100,24.94100,-0.10000,-0.10000,5.66080,,-34.94560,-34.94560,-24.63360,-34.94560,0.29460,-0.0812,-0.0812
2024-06-30,1.54200,1.49200,-3.03400,0.64500,-2.38900,-2.38900,-2.38900,-2.38900,-3.03400,-3.03400,24.04900,24.04900,-0.10000,-0.10000,9.15640,,-25.76580,-25.76580,-19.90170,-25.76570,0.38680,-0.0398,-0.0398
2024-03-31,1.25700,1.21900,-2.47600,1.40000,-1.07600,-1.07600,-1.07600,-1.07600,-2.47600,-2.47600,14.94800,14.94800,-0.07000,-0.07000,4.26350,,-60.89420,-60.89420,-22.47290,-60.89420,0.10480,-0.14740,-0.14740
2023-12-31,0.77500,1.00200,-1.77700,-1.45000,-3.22700,-3.22700,-3.22700,-3.22700,-1.77700,-1.77700,10.29100,10.29100,-0.28000,-0.28000,1.16170,,107.56670,107.56670,-220.12290,107.56670,-0.28050,-0.2295,-0.2295
2023-09-30,1.62900,1.35400,-2.98300,1.56200,-1.42100,-1.42100,-1.42100,-1.42100,-2.98300,-2.98300,10.69300,10.69300,-0.13000,-0.13000,2.16700,,-23696.35000,-23683.17000,-40.38080,-23683.33000,0.00060,-0.2533,-0.2533
2023-06-30,1.92500,1.45000,-3.37500,1.04800,-2.32700,-2.32700,-2.32700,-2.32700,-3.37500,-3.37500,10.65500,10.65500,-0.22000,-0.22000,3.69510,,-195.87550,-195.87540,-36.85460,-195.87540,0.11110,-0.2163,-0.2163
2023-03-31,1.33800,1.92300,-3.26100,0.00400,-3.25700,-3.25700,-3.25700,-3.25700,-3.26100,-3.26100,9.09000,9.09000,-0.36000,-0.36000,3.30650,,-100.03070,-100.03070,-71.40980,-100.03070,0.35660,-0.29770,-0.29770
2022-12-31,0.77600,1.39400,-2.17000,0.01400,-2.15600,-2.15600,-2.15600,-2.15600,-2.17000,-2.17000,9.05200,9.05200,-0.23000,-0.23000,6.59260,,-34.98300,-34.98300,-29.67650,-34.98300,0.67740,-0.1871,-0.1871
2022-09-30,0.84600,1.31500,-2.16100,0.02500,-2.13600,-2.13600,-2.13600,-2.13600,-2.16100,-2.16100,9.06800,9.06800,-0.24000,-0.24000,8.39380,,-26.21500,-26.21500,-23.09190,-26.21500,0.89810,-0.2941,-0.2941
2022-06-30,1.39000,1.22400,-2.61400,0.02000,-2.59400,-2.59400,-2.59400,-2.59400,-2.61100,-2.61400,9.05700,9.05700,-0.29000,-0.29000,10.01160,,-25.63240,-25.63240,-23.07210,-25.63240,1.11610,-0.259,-0.259
2022-03-31,1.28900,1.71600,-3.00500,0.00200,-3.00300,-3.00300,-3.00300,-3.00300,-3.00200,-3.00500,8.99200,8.99200,-0.33000,-0.33000,9.91680,,-23.94740,-23.94740,-21.53310,-23.94740,1.38890,-0.23320,-0.23320
2021-12-31,1.10100,1.25600,-2.35700,0.00200,-2.35500,-2.35500,-2.35500,-2.35500,-2.35300,-2.35700,5.21700,5.21700,0.14000,0.14000,17.35710,,-15.34300,-15.34300,-14.45940,-15.34300,1.71800,-0.5365,-0.5367
2021-09-30,0.76700,0.62800,-1.39500,-0.11600,-1.51100,-1.51100,-1.51100,-1.51100,-1.23100,-1.39500,5.62000,5.62000,-0.27000,-0.27000,29.06240,,-8.60820,-8.60820,-8.31220,-8.60820,1.97050,0.3824,0.3862
2021-06-30,0.53600,0.33000,-0.86600,-0.44400,-1.31000,-1.31000,-1.31000,-1.31000,-0.52100,-0.86600,2.28500,2.28500,-0.57000,-0.57000,0.25470,-0.28140,7.67880,7.67880,-60.53600,7.67880,-7.44650,-0.5374,-0.5439
2021-03-31,0.63500,0.41800,-1.05300,-0.09500,-1.14800,-1.14800,-1.14800,-1.14800,-0.86000,-1.05300,2.24200,2.24200,-0.51000,-0.51000,,,,,,,,-0.44250,-0.44250
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,1.1299,1.1299
2020-09-30,0.72700,0.18300,-0.91000,-0.18600,-1.09600,-1.09600,-1.09600,-1.09600,-0.71000,-0.91000,2.26400,2.26400,-0.48000,-0.48000,,,,,,,,-0.2882,-0.2882
2020-06-30,0.40200,0.20000,-0.60200,-0.17100,-0.77300,-0.77300,-0.77300,-0.77300,-0.60200,-0.60200,2.21800,2.21800,-0.35000,-0.35000,,,,,,,,-0.8417,-0.8417
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
