Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,90016.00000,67857.00000,22159.00000,339.00000,2296.00000,9133.00000,13026.00000,13026.00000,4055.00000,8971.00000,8971.00000,8610.00000,19491.00000,13233.00000,4462.00000,4462.00000,1.92000,1.92000,1.34800,0.11780,0.15390,24.61670,14.47080,14.70070,14.47080,9.56500,0.19490,2.84220,3.24570,3.24570,1.94210,2.86320,62.88970,3.7476,2.4684
2024-06-30,93060.00000,70582.00000,22478.00000,153.00000,2568.00000,8813.00000,13665.00000,13665.00000,4094.00000,9571.00000,9571.00000,9240.00000,19723.00000,13936.00000,4317.00000,4317.00000,2.14000,2.14000,1.36000,0.11690,0.15630,24.15430,14.68410,14.97530,14.68410,9.92910,0.20200,2.88050,3.46440,3.46440,2.07750,3.05950,62.18010,2.1751,1.0261
2024-03-31,83083.00000,63015.00000,20068.00000,148.00000,2495.00000,7699.00000,12369.00000,12369.00000,3803.00000,8566.00000,8566.00000,8220.00000,17402.00000,12590.00000,3998.00000,3998.00000,2.06000,2.06000,1.38180,0.13130,0.18980,24.15420,14.88750,15.15350,14.88750,9.89370,0.21980,2.68250,4.02060,4.02060,2.26660,3.49250,54.03300,3.66780,2.57450
2023-12-31,84344.00000,62760.00000,21584.00000,139.00000,2591.00000,10959.00000,10625.00000,10625.00000,2613.00000,8012.00000,8012.00000,7630.00000,18637.00000,10897.00000,4052.00000,4052.00000,1.91000,1.91000,1.47910,0.14990,0.19560,25.59040,12.59720,12.91970,12.59720,9.04630,0.22410,2.49840,3.76970,3.76970,2.12910,3.20450,53.52250,3.3076,2.0432
2023-09-30,90760.00000,69484.00000,21276.00000,338.00000,2489.00000,7577.00000,13699.00000,13699.00000,4353.00000,9346.00000,9346.00000,9070.00000,18283.00000,13868.00000,4025.00000,4025.00000,2.25000,2.25000,1.42080,0.14960,0.19880,23.44210,15.09370,15.27990,15.09370,9.99340,0.24380,2.84190,4.50340,4.50340,2.51060,3.82970,52.36770,4.0304,3.0143
2023-06-30,82914.00000,64021.00000,18893.00000,133.00000,2449.00000,7237.00000,11656.00000,11656.00000,3503.00000,8153.00000,8153.00000,7880.00000,16147.00000,11905.00000,4066.00000,4066.00000,1.94000,1.94000,1.48440,0.15360,0.20050,22.78630,14.05790,14.35830,14.05790,9.50380,0.22830,2.64020,3.93870,3.93870,2.24450,3.33370,51.71050,2.3429,1.3316
2023-03-31,86564.00000,62660.00000,23904.00000,141.00000,2390.00000,7101.00000,16803.00000,16803.00000,4960.00000,11843.00000,11843.00000,11430.00000,21206.00000,16962.00000,4102.00000,4102.00000,2.79000,2.79000,1.45840,0.15940,0.20080,27.61430,19.41110,19.59480,19.41110,13.20410,0.23440,2.65040,5.73750,5.73750,3.20630,4.82280,51.05470,3.98370,2.87250
2022-12-31,95429.00000,68036.00000,27393.00000,348.00000,2832.00000,8551.00000,18842.00000,18842.00000,5787.00000,13055.00000,13055.00000,12750.00000,24113.00000,19049.00000,4205.00000,4205.00000,3.09000,3.09000,1.41400,0.16690,0.20340,28.70510,19.74450,19.96140,19.74450,13.36070,0.25860,2.78440,6.44780,6.44780,3.53730,5.37170,49.60140,4.1233,3.0749
2022-09-30,112070.00000,78101.00000,33969.00000,218.00000,2324.00000,8547.00000,25422.00000,25422.00000,5224.00000,20198.00000,20198.00000,19660.00000,31273.00000,25631.00000,4185.00000,4185.00000,4.68000,4.68000,1.34070,0.16900,0.23530,30.31050,22.68400,22.87050,22.68400,17.54260,0.30280,3.24120,10.46300,10.46300,5.45670,8.69520,46.87790,5.9305,5.3886
2022-06-30,115681.00000,83167.00000,32514.00000,286.00000,2530.00000,7581.00000,24933.00000,24933.00000,6359.00000,18574.00000,18574.00000,17850.00000,29578.00000,25127.00000,4233.00000,4233.00000,4.21000,4.21000,1.16290,0.17640,0.25410,28.10660,21.55320,21.72090,21.55320,15.43040,0.31450,3.52630,10.06680,10.06680,5.05040,8.29110,44.26780,4.743,4.0518
2022-03-31,90500.00000,70183.00000,20317.00000,173.00000,2409.00000,11761.00000,8556.00000,8556.00000,2806.00000,5750.00000,5750.00000,5480.00000,17627.00000,8744.00000,4266.00000,4266.00000,1.28000,1.28000,1.07210,0.19460,0.26930,22.44970,9.45410,9.66190,9.45410,6.05520,0.25510,3.16470,3.25730,3.25730,1.62080,2.62350,41.90030,3.46650,2.61840
2021-12-31,84965.00000,64216.00000,20749.00000,524.00000,2514.00000,9020.00000,11729.00000,11729.00000,2650.00000,9079.00000,9079.00000,8870.00000,17611.00000,11950.00000,4275.00000,4275.00000,2.08000,2.08000,1.04430,0.19820,0.27150,24.42060,13.80450,14.06460,13.80450,10.43960,0.25070,3.41940,5.16780,5.16780,2.67880,4.14360,41.44440,4.0074,3.7933
2021-09-30,73786.00000,56353.00000,17433.00000,190.00000,2287.00000,7827.00000,9606.00000,9606.00000,2664.00000,6942.00000,6942.00000,6750.00000,14810.00000,9820.00000,4276.00000,4276.00000,1.57000,1.57000,0.89810,0.20670,0.33790,23.62640,13.01870,13.30880,13.01870,9.14810,0.21920,2.87410,4.14430,4.14430,2.06180,3.28780,39.56210,2.8276,2.0332
2021-06-30,67742.00000,53546.00000,14196.00000,176.00000,2345.00000,7889.00000,6307.00000,6307.00000,1526.00000,4781.00000,4781.00000,4690.00000,11513.00000,6561.00000,4276.00000,4276.00000,1.10000,1.10000,0.84900,0.21490,0.36610,20.95600,9.31030,9.68530,9.31030,6.92330,0.20080,2.77800,2.88780,2.88780,1.41750,2.26720,39.10160,2.2548,1.7432
2021-03-31,59147.00000,47323.00000,11824.00000,164.00000,2428.00000,8232.00000,3592.00000,3592.00000,796.00000,2796.00000,2796.00000,2730.00000,8854.00000,3850.00000,4272.00000,4272.00000,0.64000,0.64000,0.80120,0.21570,0.38590,19.99090,6.07300,6.50920,6.07300,4.61560,0.17720,2.57790,1.70380,1.70380,0.83770,1.33630,38.75790,2.16850,1.60670
