Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.86000,1.52600,2.33400,4.83300,4.97900,-2.64500,0.02900,-2.61600,-2.61600,-2.61600,-2.61600,-2.49900,-2.64500,6.61500,6.61500,-0.40000,-0.40000,1.44340,,,60.46630,-68.52330,-68.52330,-67.77200,-67.77200,0.25150,8.50220,10.58550,-34.12920,-58.93220,-17.04570,-34.12920,1.60860,0.2496,0.254
2024-06-30,4.05400,1.40300,2.65100,4.44200,4.58700,-1.93600,0.00600,-1.93000,-1.93000,-1.93000,-1.93000,-1.79100,-1.93600,3.22800,3.22800,-0.60000,-0.60000,1.18200,,,65.39220,-47.75530,-47.75530,-47.60730,-47.60730,0.25590,10.26330,8.76910,-30.40810,-62.07780,-12.18280,-30.40810,1.86620,-0.6336,-0.6335
2024-03-31,3.41900,1.48200,1.93700,5.57600,5.72200,-3.78500,0.02200,-3.76300,-3.76300,-3.76300,-3.76300,-3.63900,-3.78500,2.30800,2.30800,-1.63000,-1.63000,0.44750,,,56.65400,-110.70490,-110.70490,-110.06140,-110.06140,0.28960,6.51240,13.81980,-646.56270,140.98910,-31.87900,-646.56360,0.21310,-1.09010,-1.15550
2023-12-31,3.24800,1.15900,2.08900,6.07500,6.22300,-4.13400,-0.12500,-4.25900,-4.25900,-4.25900,-4.25900,-3.98500,-4.13400,1.21900,1.21900,-3.05000,-3.05000,0.33760,,,64.31650,-127.27830,-127.27840,-131.12680,-131.12680,0.30270,16.07920,5.59730,-1036.26400,149.33380,-39.69250,-1036.25300,0.22410,-2.1156,-2.2414
2023-09-30,3.30100,1.55400,1.74700,5.23700,5.38700,-3.64000,1.54700,-2.09300,-2.09300,-2.09300,-2.09300,-3.49100,-3.64000,1.19700,1.19700,-1.75000,-1.75000,0.27700,,,52.92340,-110.26960,-110.26960,-63.40500,-63.40500,0.32000,14.47810,6.21630,-4550.23500,64.79880,-20.28690,-4550.00000,0.03840,-2.3392,-2.4678
2023-06-30,3.39500,1.29700,2.09800,6.46700,6.61500,-4.51700,-1.01100,-5.52800,-5.52800,-5.52800,-5.52800,-4.36900,-4.51700,1.19700,1.19700,-4.62000,-4.62000,0.63290,,,61.79680,-133.04860,-133.04860,-162.82770,-162.82770,0.24690,10.38230,8.66860,-262.48780,467.68190,-40.20660,-262.48810,1.75920,-1.7739,-1.9371
2023-03-31,3.85700,1.52000,2.33700,7.16700,7.34200,-5.00500,3.30200,-1.70300,-1.70300,-1.70300,-1.70300,-4.83000,-5.00500,0.99100,0.99100,-1.72000,-1.72000,1.09250,,,60.59110,-129.76410,-129.76410,-44.15350,-44.15350,0.22560,12.01560,7.49030,-24.35290,-46.12680,-9.95910,-24.35290,5.84130,-3.57110,-3.81230
2022-12-31,3.95000,1.56600,2.38400,8.23500,8.40500,-6.02100,-0.06700,-6.08800,-6.08800,-6.08800,-6.08800,-5.85200,-6.02100,0.92100,0.92100,-5.00000,-5.00000,0.79610,,,60.35440,-152.43040,-152.43040,-154.12660,-154.12660,0.28790,8.64330,10.41270,-126.80700,-367.63270,-44.37320,-126.80690,5.21280,-1.73,-1.8805
2022-09-30,4.24600,1.75000,2.49600,7.72800,7.90300,-5.40700,-0.02700,-5.43400,-5.43400,-5.43400,-5.43400,-5.23100,-5.40700,0.84900,0.84900,-6.40000,-6.40000,1.62660,,,58.78470,-127.34340,-127.34340,-127.97930,-127.97930,0.23080,4.90300,18.35610,-55.13950,-81.10450,-29.53260,-55.13950,10.70640,-6.8858,-7.0039
2022-06-30,4.18400,1.59600,2.58800,9.39000,9.55200,-6.96400,-0.02800,-6.99200,-6.99200,-6.99200,-6.99200,-6.68100,-6.96400,0.84930,0.84930,-8.25000,-8.25000,2.31740,,,61.85470,-166.44360,-166.44360,-167.11280,-167.11280,0.17170,5.28950,17.01480,-47.11910,-59.89380,-28.68510,-47.11910,16.12090,-5.4903,-6.0837
2022-03-31,3.64400,1.09300,2.55100,9.02800,9.19000,-6.63900,1.30800,-5.33100,-5.33100,-5.33100,-5.33100,-6.59800,-6.63900,0.84930,0.84930,-6.25000,-6.25000,3.43310,,,70.00550,-182.18990,-182.18990,-146.29530,-146.29530,0.12330,2.40050,37.49180,-25.33870,-29.84050,-18.03700,-25.33870,22.85660,-7.16100,-7.30230
2021-12-31,4.39400,1.28700,3.10700,9.44000,10.51900,-7.41200,0.01900,-7.39300,-7.39300,-7.39300,-7.39300,-7.24400,-7.41200,0.84930,0.84930,-8.00000,-8.00000,3.63880,,0.04950,70.71000,-168.68460,-168.68460,-168.25210,-168.25210,0.13040,2.55610,35.20940,-28.94790,-33.07090,-21.94490,-28.94790,27.74530,-4.5861,-4.9895
2021-09-30,4.54600,1.36300,3.18300,8.49300,8.68600,-5.50300,0.05000,-5.45300,-5.45300,-5.45300,-5.45300,-5.31000,-5.50300,0.83300,0.83300,-6.50000,-6.50000,4.15270,,0.03900,70.01760,-121.05150,-121.05150,-119.95160,-119.95160,0.11080,1.16720,77.11090,-16.79440,-18.62650,-13.29220,-16.79440,35.27420,-4.8328,-5.3542
2021-06-30,4.49700,0.87300,3.62400,7.49000,7.68500,-4.06100,0.01800,-4.04300,-4.04300,-4.04300,-4.04300,-3.86600,-4.06100,0.82950,0.82950,-4.75000,-4.75000,4.22880,,0.03470,80.58710,-90.30460,-90.30460,-89.90440,-89.90440,0.09740,1.27850,70.39470,-11.08170,-12.16750,-8.75940,-11.08170,39.98290,-3.8073,-5.344
2021-03-31,3.44800,0.75800,2.69000,5.91900,6.09600,-3.40600,0.00700,-3.39900,-3.39900,-3.39900,-3.39900,-3.22900,-3.40600,0.72840,0.72840,-4.75000,-4.75000,2.29390,0.00730,0.08820,78.01620,-98.78190,-98.78190,-98.57890,-98.57890,0.15710,1.97080,45.66640,-23.70220,-29.90150,-15.48240,-23.52840,19.68540,-5.30040,-5.66000
2020-12-31,3.30000,0.61900,2.68100,8.75800,8.93550,-6.25450,-0.00180,-6.24900,-6.24900,-6.20000,-6.20000,-6.07700,-6.25450,0.51480,0.51480,-12.00000,-12.00000,2.60090,0.02440,0.07630,81.48490,-189.53030,-189.53030,-189.36360,-187.87880,0.13030,2.17820,41.31820,-36.64950,-44.36180,-24.47980,-35.75550,23.22620,-6.9059,-7.0895
2020-09-30,3.29160,0.70920,2.58240,4.22070,4.39960,-1.81720,0.00400,-1.81320,-1.81320,-1.81320,-2.06320,-1.63830,-1.81720,0.49960,0.49960,-4.25000,-4.25000,,,,78.45470,-55.20760,-55.20760,-55.08470,-62.67980,,,,,,,,,-1.3496,-1.3737
2020-06-30,3.27120,0.54480,2.72630,3.96300,4.14370,-1.41730,0.00370,-1.41370,-1.41370,-1.41370,-1.66370,-1.23670,-1.41730,0.49950,0.49950,-3.25000,-3.25000,,,,83.34410,-43.32760,-43.32760,-43.21590,-50.85830,,,,,,,,,-1.9021,-1.9177
2020-03-31,3.19650,0.78050,2.41610,4.79280,4.97370,-2.55770,-0.02280,-2.58060,-2.58060,-2.58060,-2.83060,-2.37680,-2.55770,0.49890,0.49890,-5.75000,-5.75000,,,,75.58410,-80.01620,-80.01620,-80.73080,-88.55190,,,,,,,,,-0.87580,-0.88620
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
