Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.58140,1.42320,-3.00460,0.00480,-2.99980,-2.99980,-2.99980,,-2.99980,-2.84230,-3.00460,1.04400,1.04400,-2.87000,-2.87000,14.80740,,-16.84030,-33.03110,-16.09580,-16.84030,17.04640,-2.9813,-2.9813
2024-06-30,2.35800,1.58710,-3.94500,0.07880,-3.86620,-3.86620,-3.86620,,-3.86620,-3.78280,-3.94500,1.04300,1.04300,-3.71000,-3.71000,6.19600,,-23.90220,-53.06320,-21.88850,-23.90220,15.49350,-3.8684,-3.8684
2024-03-31,1.74910,2.29160,-4.04080,0.17990,-3.86080,-3.86080,-3.86080,,-3.86080,-3.87850,-4.04080,1.04200,1.04200,-3.70000,-3.70000,5.34780,,-19.41730,-35.62720,-17.22970,-19.41730,19.06370,-4.14690,-4.14690
2023-12-31,3.35150,1.79720,-5.14880,0.11750,-5.03130,-5.03130,-5.03130,-0.01690,-5.04820,-4.98660,-5.14880,1.22700,1.22700,-4.55000,-4.55000,6.33710,,-21.50260,-35.44590,-19.26440,-21.50260,22.45530,-2.8761,-2.8312
2023-09-30,1.62480,2.16460,-3.78930,0.17670,-3.61260,-3.61260,-3.61260,,-3.61260,-3.62710,-3.78930,1.25800,1.25800,-2.87000,-2.87000,10.16240,,-12.73220,-19.00180,-11.78370,-12.73220,27.23390,-2.7573,-2.7184
2023-06-30,2.02820,1.80050,-3.82870,0.23060,-3.59810,-3.59810,-3.59810,-0.16510,-3.76320,-3.66640,-3.82870,1.30600,1.30600,-2.88000,-2.88000,12.57790,0.00370,-10.10980,-13.80120,-9.43160,-10.10980,27.22730,-2.3544,-2.3355
2023-03-31,1.09630,2.11630,-3.21260,-0.05330,-3.26580,-3.26580,-3.26580,-0.27190,-3.53770,-3.05080,-3.21260,1.30400,1.30400,-2.71000,-2.71000,14.66120,0.00670,-8.34500,-11.08620,-7.76740,-8.34500,29.95760,-2.45570,-2.49710
2022-12-31,1.38650,2.65630,-4.04280,-0.01060,-4.05340,-4.05340,-4.05340,-1.06430,-5.11770,-4.03870,-4.04280,1.26200,1.26200,-4.23000,-4.23000,18.14870,,-9.53780,-12.40950,-8.97170,-9.53780,32.64070,-2.8644,-2.9383
2022-09-30,1.27890,2.57680,-3.85570,-0.33530,-4.19100,-4.19100,-4.19100,-0.39510,-4.58610,-3.85570,-3.85570,1.32750,1.32750,-3.40000,-3.40000,29.37250,,-8.95740,-9.76420,-8.44830,-8.95740,35.24710,-3.0737,-3.077
2022-06-30,0.00000,2.61160,-2.61160,0.42170,-2.18990,-2.18990,-2.18990,-0.46850,-2.65840,-2.61160,-2.61160,1.17220,1.17220,-2.20000,-2.20000,51.16690,,-4.25430,-4.59670,-4.12970,-4.25430,38.55840,-1.6163,-1.6222
2022-03-31,,2.07890,-2.07890,0.78530,-1.29360,-1.29360,-1.29360,-0.28070,-1.57420,-2.07890,-2.07890,1.15040,1.15040,-1.20000,-1.20000,117.48170,,-2.58830,-2.58830,-2.53250,-2.58830,43.44350,-1.87080,-1.87250
2021-12-31,,1.95400,-1.97130,2.58640,0.63010,0.63010,0.63010,,0.63010,-1.97130,-1.95630,0.52030,0.52030,2.40000,2.40000,119.16580,,1.22550,1.22550,1.18180,1.22550,44.69790,-2.9082,-2.9305
2021-09-30,,1.27360,-1.27360,-0.25250,-1.52610,-1.52610,-1.52610,,-1.52610,-1.27360,-1.27360,0.44780,0.44780,-3.40000,-3.40000,39.82960,,-9.26310,-9.26310,-7.25250,-9.26310,24.94720,-1.0584,-1.0775
2021-06-30,,0.72790,-0.72790,,-0.72790,-0.72790,-0.72790,,-0.72790,-0.72790,-0.72790,0.41290,0.41290,-1.80000,-1.80000,,,,,,,,-1.1739,-1.1739
2021-03-31,,0.54960,-0.54960,,-0.54960,-0.54960,-0.54960,,-0.54960,-0.54960,-0.54960,0.39760,0.39760,-1.40000,-1.40000,,,,,,,,-0.96050,-0.96050
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2020-09-30,,0.01400,-0.01400,,-0.01400,-0.01400,-0.01400,,-0.01400,-0.01400,-0.01400,0.36560,0.36560,0.00000,0.00000,,,,,,,,0,0
