Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,60.55100,15.78000,-76.33100,-7.97400,-84.30500,0.04000,-84.34500,-84.34500,-84.34500,-79.25200,-76.33100,65.67900,65.67900,-1.28000,-1.28000,23.07120,-7.52320,-7.52320,-7.09460,-7.52320,15.80610,-0.678,-0.678
2024-06-30,49.16600,15.98400,-65.15000,8.15400,-56.99600,0.17000,-57.16600,-57.16600,-57.16600,-68.58300,-65.15000,64.60500,64.60500,-0.88000,-0.88000,17.44500,-8.97370,-8.97370,-8.46620,-8.97370,9.84300,-0.6332,-0.6332
2024-03-31,38.63400,13.95400,-52.58800,8.48900,-44.09900,0.38300,-44.48200,-44.48200,-44.48200,-55.97000,-52.58800,64.15100,64.15100,-0.69000,-0.69000,20.92600,-6.58950,-6.58950,-6.27860,-6.58950,10.46720,-0.56250,-0.56250
2023-12-31,35.58500,10.85200,-46.43700,8.14500,-38.29200,,-38.29200,-38.29200,-38.29200,-48.52900,-46.43700,58.22300,58.22300,-0.63000,-0.63000,22.82900,-5.46590,-5.46590,-5.22840,-5.46590,10.93520,-0.4952,-0.4952
2023-09-30,29.61100,9.17200,-38.78300,5.13800,-33.64500,,-33.64500,-33.64500,-33.64500,-41.41300,-38.78300,57.09100,57.09100,-0.59000,-0.59000,14.42370,-8.49670,-8.49670,-7.91500,-8.49670,6.92620,-0.3993,-0.3993
2023-06-30,25.92200,8.14000,-34.06200,4.97200,-29.09000,,-29.09000,-29.09000,-29.09000,-36.91100,-34.06200,56.86700,56.86700,-0.51000,-0.51000,21.01430,-6.90720,-6.90720,-6.58220,-6.90720,7.39380,-0.388,-0.388
2023-03-31,22.12500,8.08500,-30.21000,5.01800,-25.19200,,-25.19200,-25.19200,-25.19200,-32.74800,-30.21000,56.70400,56.70400,-0.44000,-0.44000,26.80770,-5.67430,-5.67430,-5.46480,-5.67430,7.82290,-0.43060,-0.43060
2022-12-31,22.85500,6.44400,-29.29900,3.17600,-26.12300,,-26.12300,-26.12300,-26.12300,-30.13200,-29.29900,49.66900,49.66900,-0.50000,-0.50000,24.53630,-5.64240,-5.64240,-5.41460,-5.64240,8.16990,-0.3333,-0.3333
2022-09-30,14.62500,5.76300,-20.38800,0.67200,-19.71600,,-19.71600,-19.71600,-19.71600,-20.39100,-20.38800,48.41100,48.41100,-0.41000,-0.41000,18.90140,-8.33370,-8.33370,-7.90040,-8.33370,4.87880,-0.3743,-0.3743
2022-06-30,13.55800,5.17500,-18.73300,0.26700,-18.46600,,-18.46600,-18.46600,-18.46600,-18.54600,-18.73300,48.31900,48.31900,-0.38000,-0.38000,25.78940,-7.29920,-7.29920,-7.02070,-7.29920,5.23380,-0.32,-0.32
2022-03-31,12.69300,4.99500,-17.68800,0.13900,-17.54900,,-17.54900,-17.54900,-17.54900,-17.41200,-17.68800,48.28500,48.28500,-0.36000,-0.36000,33.78550,-6.52590,-6.52590,-6.33450,-6.52590,5.56600,-0.28050,-0.28050
2021-12-31,13.19400,4.18400,-17.37800,0.08900,-17.28900,,-17.28900,-17.28900,-17.28900,-17.16400,-17.37800,21.78400,21.78400,3.63000,3.63000,33.07480,-6.06550,-6.06550,-5.88410,-6.06550,5.90180,-0.9928,-0.9928
2021-09-30,9.05500,3.37200,-12.42700,0.00100,-12.42600,,-12.42600,-12.42600,-12.42600,-12.42700,-12.42700,32.06600,32.06600,-0.39000,-0.39000,44.59790,-4.12640,-4.12640,-4.03480,-4.12640,6.23670,4.1936,4.1936
2021-06-30,7.82600,2.02400,-9.85000,0.01200,-9.83800,,-9.83800,-9.83800,-9.83800,-9.85000,-9.85000,3.10600,3.10600,-3.17000,-3.17000,23.89450,20.60750,-7.14590,-6.85570,-7.14590,43.99900,-3.1138,-3.1138
2021-03-31,5.48400,0.67800,-6.16200,-0.62300,-6.78500,,-6.78500,-6.78500,-6.78500,-6.16200,-6.16200,3.08500,3.08500,-2.20000,-2.20000,,,,,,,-1.92320,-1.92320
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,3.2913,3.2913
2020-09-30,3.72100,0.31900,-4.04000,-0.73800,-4.77800,,-4.77800,-4.77800,-4.77800,-4.04000,-4.04000,3.04200,3.04200,-1.57000,-1.57000,,,,,,,-1.3357,-1.3357
2020-06-30,3.65700,0.34900,-4.00600,-4.55100,-8.55700,,-8.55700,-8.55700,-8.55700,-4.00600,-4.00600,3.03800,3.03800,-2.82000,-2.82000,,,,,,,-1.9556,-1.9556
