Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,23.71400,23.71400,7.31900,0.54300,10.95500,10.95500,10.95500,32.01600,31.81700,-4.11000,16.39700,21.78100,21.78100,2.00000,2.00000,0.04200,0.13040,0.68930,100.00000,46.19640,69.14480,46.19630,134.16960,0.02920,4.00370,22.47910,6.79900,6.79900,3.94060,5.91250,21.18190,-0.2619,-0.2619
2024-06-30,25.68900,25.68900,7.93400,0.60000,12.39300,12.39300,12.39300,19.06400,19.05600,15.04000,17.90200,21.75400,21.75400,0.88000,0.88000,0.02490,0.13030,0.72810,100.00000,48.24240,69.68740,48.24240,74.17960,0.03310,4.81160,18.70490,4.34180,4.34180,2.45960,3.77600,20.18380,1.4513,1.4513
2024-03-31,23.99700,23.99700,7.49300,0.44600,10.77700,10.77700,10.77700,23.64000,23.63200,6.54800,16.50900,43.50900,43.50900,0.54000,0.54000,0.04990,0.21390,0.86080,100.00000,44.90980,68.79610,44.90980,98.47900,0.02960,3.12300,28.81860,5.48760,5.48760,2.91110,4.31390,9.90120,0.1624,0.1624
2023-12-31,23.22100,23.22100,7.40800,1.58200,11.93400,11.93400,11.93400,20.00100,20.00100,9.62700,16.96600,21.75450,21.75450,0.92000,0.92000,0.04550,0.16900,0.80960,100.00000,51.39310,73.06320,51.39310,86.13320,0.03030,3.77090,23.86720,4.78580,4.78580,2.60920,3.97690,19.21110,-1.20300,-1.20300
2023-09-30,23.75600,23.75600,6.95500,0.30700,10.98700,10.98700,10.98700,13.10000,13.10000,14.62500,16.74300,18.65800,18.65800,1.01000,1.01000,0.03990,0.10470,0.73630,100.00000,46.24940,70.47900,46.24940,55.14400,0.03300,3.89440,23.11000,3.20530,3.20530,1.82070,2.86970,18.78710,1.2082,1.2082
2023-06-30,22.82300,22.82300,7.11500,1.92600,11.67600,11.67600,11.67600,11.88400,11.88400,20.35300,17.22900,18.84000,18.84000,0.63000,0.63000,0.05000,0.31390,1.01040,100.00000,51.15890,75.48960,51.15890,52.07030,0.03130,5.38660,16.70820,3.32010,3.32010,1.62780,2.27770,18.54590,-1.4538,-1.4538
2023-03-31,20.56100,20.56100,6.35900,0.72000,9.63200,9.63200,9.63200,11.98600,11.98600,13.23100,14.54100,36.60400,36.60400,0.33000,0.33000,0.05900,0.30840,1.02470,100.00000,46.84600,70.72130,46.84600,58.29480,0.02940,6.75900,13.31550,3.50660,3.50660,1.71280,2.42510,18.38390,-2.2976,-2.2976
2022-12-31,19.29400,19.29400,5.99800,0.43600,8.72500,8.72500,8.72500,5.69800,5.69800,26.31700,13.35400,17.60350,17.60350,0.32000,0.32000,0.05010,0.25050,0.94370,100.00000,45.22130,69.21320,45.22130,29.53250,0.03020,4.69100,19.18580,1.75690,1.75690,0.89090,1.31680,18.11120,1.96110,1.96110
2022-09-30,15.93900,15.93900,5.55000,1.20300,7.47700,7.47700,7.47700,5.10700,5.10700,14.03100,11.26600,17.17600,17.17600,0.30000,0.30000,0.03960,0.31010,1.07580,100.00000,46.91010,70.68200,46.91010,32.04090,0.02410,5.82350,15.45450,1.61880,1.61880,0.77270,1.11680,18.16540,-3.3635,-3.3635
2022-06-30,13.78400,13.78400,4.97200,1.57100,6.94700,6.94700,6.94700,-5.59900,-5.59900,14.72200,10.09700,17.15200,17.15200,-0.32000,-0.32000,0.03780,0.20360,0.88670,100.00000,50.39900,73.25160,50.39900,-40.61960,0.02310,4.01980,22.38900,-1.78930,-1.78930,-0.93750,-1.42500,18.24400,-3.2805,-3.2805
2022-03-31,17.26000,17.26000,5.37300,0.10200,8.69500,8.69500,8.69500,8.30300,8.30300,12.33300,11.71500,17.15200,17.15200,0.48000,0.48000,0.03380,0.05070,0.65980,100.00000,50.37660,67.87370,50.37660,48.10550,0.03150,5.93940,15.15300,2.55110,2.55110,1.51420,2.42160,18.97550,2.5335,2.5335
2021-12-31,16.16700,16.16700,5.63800,1.92700,9.16000,9.16000,9.16000,12.10300,12.10300,22.42700,12.16700,17.15200,17.15200,0.70000,0.70000,0.01390,,0.60900,100.00000,56.65860,75.25820,56.65860,74.86240,0.02750,7.60800,11.82970,3.73720,3.73720,2.06050,3.73720,18.88140,-0.33760,-0.33760
2021-09-30,14.36100,14.36100,4.67900,0.51400,6.83900,6.83900,6.83900,32.74300,32.74300,-15.28400,9.90500,16.61700,16.61700,1.96000,1.96000,0.03220,0.13690,0.74460,100.00000,47.62200,68.97150,47.62200,227.99950,0.02540,6.08260,14.79630,10.28240,10.28240,5.77990,8.87490,18.56570,-1.2826,-1.2826
