Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,43.66100,22.58300,21.07800,-26.75500,30.66500,-9.58700,-9.58700,-1.61200,-7.97500,-7.97500,-7.97500,-7.42700,-8.96000,14.87500,14.87500,-0.54000,-0.54000,0.27310,0.46800,-21.95780,-20.52180,-21.95780,-18.26570,0.05480,-8.02940,-8.16370,-1.00170,-5.83680,6.67720,0.2478,0.2478
2023-06-30,44.73700,12.61300,32.12400,-25.71600,29.38200,2.74200,2.74200,0.76300,1.97900,1.97900,1.97900,4.57100,3.42600,14.87500,14.87500,0.13000,0.13000,0.23030,0.37390,6.12920,7.65810,6.12920,4.42360,0.05640,1.71520,1.73990,0.24960,1.32020,7.75660,0.2383,0.2383
2023-03-31,44.62200,16.37100,28.25100,-25.76900,30.10600,-1.85500,-1.85500,0.02600,-1.88100,-1.88100,-1.88100,0.05500,-1.16600,14.87500,14.87500,-0.13000,-0.13000,0.21590,0.34320,-4.15710,-2.61310,-4.15710,-4.21540,0.05640,-1.62730,-1.65070,-0.23780,-1.27600,7.77060,-0.35990,-0.35990
2022-12-31,41.97500,19.88000,22.09500,-24.89500,30.78100,-8.68600,-8.68600,-1.32200,-7.36400,-7.36400,-7.36400,-7.08800,-8.00600,14.87500,14.87500,-0.50000,-0.50000,0.21340,0.33400,-20.69330,-19.07320,-20.69330,-17.54380,0.05450,-6.61380,-6.71240,-0.95630,-5.20220,7.48520,-0.0186,-0.0186
2022-09-30,39.69400,17.50500,22.18900,-23.13300,27.86500,-5.67600,-5.67600,-0.59100,-5.08500,-5.08500,-5.08500,-4.09300,-5.03000,14.87500,14.87500,-0.34000,-0.34000,0.19240,0.29270,-14.29940,-12.67190,-14.29940,-12.81050,0.05170,-4.27980,-4.33950,-0.66250,-3.45620,7.98760,0.1348,0.1348
2022-06-30,42.73100,15.31900,27.41200,-24.57300,29.53800,-2.12600,-2.12600,0.22300,-2.34900,-2.34900,-2.34900,-0.34900,-1.40000,14.87500,14.87500,-0.16000,-0.16000,0.16720,0.24470,-4.97530,-3.27630,-4.97530,-5.49720,0.05590,-1.74180,-1.76310,-0.30740,-1.45050,9.06650,-0.2376,-0.2376
2022-03-31,39.51200,14.79800,24.71400,-25.15400,30.79400,-6.08000,-6.08000,-0.41800,-5.66200,-5.66200,-5.66200,-4.15300,-5.35200,14.87500,14.87500,-0.38000,-0.38000,0.12760,0.17100,-15.38770,-13.54530,-15.38770,-14.32980,0.05060,-3.72460,-3.76510,-0.72510,-3.24920,10.21960,-0.37410,-0.37410
2021-12-31,48.43700,19.11900,29.31800,-24.09700,32.61200,-3.29400,-3.29400,0.54700,-3.84100,-3.84100,-3.84100,-1.68400,-2.52900,14.87500,14.87500,-0.25000,-0.25000,0.11470,0.15260,-6.80060,-5.22120,-6.80060,-7.92990,0.06150,-2.22150,-2.24270,-0.48740,-1.96660,11.62380,-0.1384,-0.1384
2021-09-30,41.93700,19.19200,22.74500,-24.53700,28.58000,-5.83500,-5.83500,-0.24800,-5.58700,-5.58700,-5.58700,-4.21500,-5.08900,14.87500,14.87500,-0.38000,-0.38000,0.11360,0.15050,-13.91370,-12.13490,-13.91370,-13.32240,0.05330,-3.14210,-3.17130,-0.70970,-2.78500,11.95360,0.6066,0.6066
2021-06-30,43.96800,17.43000,26.53800,-22.74800,27.43700,-0.89900,-0.89900,0.26400,-1.16300,-1.16300,-1.16300,0.65000,-0.14800,14.87500,14.87500,-0.08000,-0.08000,0.11270,0.14970,-2.04470,-0.33660,-2.04470,-2.64510,0.05670,-0.62970,-0.63530,-0.15010,-0.55870,12.41600,0.3895,0.3895
2021-03-31,42.23700,21.95200,20.28500,-23.33000,27.29200,-7.00700,-7.00700,-0.94100,-6.06600,-6.06600,-6.06600,-5.48000,-6.28500,14.87500,14.87500,-0.41000,-0.41000,0.11790,0.15900,-16.58970,-14.88030,-16.58970,-14.36180,0.05560,-3.35730,-3.38800,-0.79890,-2.96150,12.14660,-0.91110,-0.91110
2020-12-31,38.32600,19.83200,18.49400,-19.71100,25.26100,-6.76700,-6.76700,-0.34500,-6.42200,-6.42200,-6.42200,-5.08700,-5.98200,14.87500,14.87500,-0.42000,-0.42000,0.11320,0.15610,-17.65640,-15.60820,-17.65640,-16.75630,0.04990,-3.28940,-3.31720,-0.83540,-2.91690,13.12490,0.2145,0.2145
2020-09-30,36.53500,16.18300,20.35200,-18.46600,23.66400,-3.31200,-3.31200,-0.05600,-3.25600,-3.25600,-3.25600,-1.91900,-2.54300,14.87500,14.87500,-0.22000,-0.22000,0.10140,0.14140,-9.06530,-6.96040,-9.06530,-8.91200,0.04860,-1.63480,-1.64830,-0.43290,-1.46900,13.38940,-0.2234,-0.2234
2020-06-30,36.65700,20.91600,15.74100,-18.65700,23.22900,-7.48800,-7.48800,-0.71600,-6.77200,-6.77200,-6.77200,-6.03800,-6.70700,14.87500,14.87500,-0.46000,-0.46000,0.09070,0.12530,-20.42720,-18.29660,-20.42720,-18.47400,0.04920,-3.38520,-3.41310,-0.90930,-3.07810,13.44840,0.3712,0.3712
2020-03-31,36.31300,20.76100,15.55200,-23.52900,25.28800,-9.73600,-9.73600,-1.15800,-8.57800,-8.57800,-8.57800,-8.35900,-8.95300,14.87500,14.87500,-0.58000,-0.58000,0.08270,0.11280,-26.81130,-24.65510,-26.81130,-23.62240,0.05090,-4.36350,-4.40010,-1.20350,-4.00260,13.21590,-0.00580,-0.00580
2019-12-31,31.43600,13.27900,18.15700,-16.15600,20.67500,-2.51800,-2.51800,-0.56500,-1.95300,-1.95300,-1.95300,-1.64600,-1.85700,14.87500,14.87500,-0.14000,-0.14000,0.07250,0.09700,-8.00990,-5.90730,-8.00990,-6.21260,0.04360,-0.91940,-0.92650,-0.27060,-0.85280,14.28010,0.2653,0.2653
2019-09-30,34.61700,16.24300,18.37400,-23.57400,27.50300,-9.12900,-9.12900,-0.59100,-8.53800,-8.53800,-8.53800,-7.92200,-8.22900,14.87500,14.87500,-0.57000,-0.57000,0.04650,0.06120,-26.37140,-23.77160,-26.37140,-24.66420,0.04290,-2.76600,-2.78090,-1.05840,-2.63750,20.75170,0.0143,0.0143
2019-06-30,36.05400,16.08500,19.96900,-18.37700,22.59700,-2.62800,-2.62800,-0.03000,-2.59800,-2.59800,-2.59800,-1.32300,-1.79100,14.87500,14.87500,-0.17000,-0.17000,0.06950,0.09480,-7.28910,-4.96750,-7.28910,-7.20590,0.05350,-1.43350,-1.44690,-0.38570,-1.33380,12.18380,0.2879,0.2879
2019-03-31,33.19300,16.24400,16.94900,-18.92900,22.87000,-5.92100,-5.92100,0.31400,-6.23500,-6.23500,-6.23500,-4.66700,-5.12000,14.87500,14.87500,-0.42000,-0.42000,,,-17.83810,-15.42490,-17.83810,-18.78410,,,,,,,-0.75510,-0.75510
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0.3042,0.3042
2018-09-30,31.48300,13.48400,17.99900,-18.27200,21.91500,-3.91600,-3.91600,-1.05100,-2.86500,-2.86500,-2.86500,-2.31600,-2.98700,14.87500,14.87500,-0.19000,-0.19000,,,-12.43850,-9.48770,-12.43850,-9.10010,,,,,,,-0.3042,-0.3042
2018-06-30,32.01800,13.54000,18.47800,-18.17300,21.83100,-3.35300,-3.35300,-0.22000,-3.13300,-3.13300,-3.13300,-2.48600,-2.48600,,,,0.00000,,,-10.47220,-7.76440,-10.47220,-9.78510,,,,,,,0,0
