Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00300,0.00300,38.48400,12.65100,-51.13200,7.28900,-43.84300,-43.84300,-43.84300,-43.84300,-52.18200,-51.13200,55.55400,55.55400,-0.79000,-0.79000,17.33440,100.00000,-1704400.00000,-1704400.00000,-1461433.00000,-1461433.00000,0.00000,,,-7.92900,-7.92900,-7.25840,-7.92900,10.63420,-0.5238,-0.5557
2024-06-30,0.00500,0.00500,31.86000,10.60100,-42.45600,7.50300,-34.95300,-34.95300,-34.95300,-34.95300,-43.59700,-42.45600,55.28300,55.28300,-0.63000,-0.63000,28.48180,100.00000,-849119.90000,-849119.90000,-699060.00000,-699060.00000,0.00000,,,-5.94100,-5.94100,-5.63650,-5.94100,11.33300,-0.4828,-0.4876
2024-03-31,0.02800,0.02800,27.87000,10.29400,-38.13600,5.73500,-32.40100,-32.40100,-32.40100,-32.40100,-37.72000,-38.13600,49.27200,49.27200,-0.66000,-0.66000,32.65190,100.00000,-136200.00000,-136200.00000,-115717.90000,-115717.90000,0.00000,,,-5.39510,-5.39510,-5.14400,-5.39510,11.73960,-0.59040,-0.60480
2023-12-31,-0.01800,-0.01800,26.03400,10.59900,-36.65100,4.36800,-32.28300,-32.28300,-32.28300,-32.28300,-36.02800,-36.65100,39.13000,39.13000,-0.69000,-0.69000,15.65030,100.00000,203606.50000,203606.40000,179341.00000,179341.00000,-0.00010,,,-10.48730,-10.48730,-9.49800,-10.48730,7.14630,-0.7266,-0.7449
2023-09-30,20.20400,20.20400,25.06600,9.11200,-13.97400,3.71800,-10.25600,-10.25600,-10.25600,-10.25600,-13.13000,-13.97400,42.25700,42.25700,-0.24000,-0.24000,18.07210,100.00000,-69.16450,-69.16450,-50.76220,-50.76220,0.05590,,,-3.10850,-3.10850,-2.83620,-3.10850,7.71740,0.0932,0.0881
2023-06-30,0.23900,0.23900,23.58400,8.79100,-32.13600,2.52000,-29.61600,-29.61600,-29.61600,-29.61600,-31.27700,-32.13600,38.33500,38.33500,-0.77000,-0.77000,23.11270,100.00000,-13446.03000,-13446.03000,-12391.63000,-12391.63000,0.00070,,,-9.10860,-9.10860,-8.40160,-9.10860,7.73840,-0.4507,-0.4672
2023-03-31,0.29800,0.29800,22.41200,7.99200,-30.10600,1.42400,-28.68200,-28.68200,-28.68200,-28.68200,-29.47200,-30.10600,32.72400,32.72400,-0.88000,-0.88000,18.35790,100.00000,-10102.68000,-10102.68000,-9624.83100,-9624.83100,0.00120,,,-13.12040,-13.12040,-11.75390,-13.12040,6.57720,-0.85280,-0.88370
2022-12-31,1.24800,1.24800,21.51000,8.45700,-28.71900,1.34000,-27.37900,-27.37900,-27.37900,-27.37900,-27.93600,-28.71900,32.35100,32.35100,-0.84000,-0.84000,14.01760,100.00000,-2301.20100,-2301.20100,-2193.83000,-2193.83000,0.00480,,,-11.83510,-11.83510,-10.45620,-11.83510,7.09040,-0.6888,-0.7229
2022-09-30,0.50000,0.50000,18.94000,8.05500,-26.49500,0.80400,-25.69100,-25.69100,-25.69100,-25.69100,-25.73900,-26.49500,32.38600,32.38600,-0.79000,-0.79000,17.13930,100.00000,-5299.00000,-5299.00000,-5138.20000,-5138.20000,0.00180,,,-10.21740,-10.21740,-9.17000,-10.21740,7.76250,-0.6464,-0.7066
2022-06-30,0.16200,0.16200,20.42200,8.16600,-28.42600,0.34000,-28.08600,-28.08600,-28.08600,-28.08600,-27.49100,-28.42600,32.32400,32.32400,-0.87000,-0.87000,17.20210,100.00000,-17546.91000,-17546.91000,-17337.04000,-17337.04000,0.00050,,,-10.30620,-10.30620,-9.27130,-10.30620,8.41700,-0.6137,-0.677
