Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.20700,1.68560,,-1.89260,-0.00260,-1.89530,,-1.89530,-1.89530,-0.68570,-2.58100,-1.89130,-1.89260,4.55200,4.55200,-0.59000,-0.59000,5.34360,,,-22.64610,-2.77220,-2.20840,-2.70560,14.77230,1.1501,1.1501
2024-06-30,0.21960,3.20650,,-3.42610,-0.00410,-3.43020,4.25520,-7.68550,-7.68550,-1.12220,-8.84580,-3.38490,-3.42610,2.29420,2.29420,-3.85600,-3.85600,5.48510,,0.00250,-84.26510,-11.11940,-8.90680,-10.85490,24.07400,-2.8792,-2.8792
2024-03-31,0.56600,8.65970,,-9.22570,-0.06660,-9.29230,-14.85990,5.56760,5.56760,,5.50150,-9.21340,-9.22570,1.76200,14.51150,3.12000,0.38000,1.21330,0.07590,0.08800,34.40440,9.68950,6.10930,6.60750,38.45130,-0.25820,-0.25820
2023-12-31,1.30740,2.78620,,-4.09360,-0.00730,-4.10090,,-4.10090,-4.10090,,-4.22730,-4.08630,-4.09360,0.33630,0.33630,35.52000,35.52000,1.58180,,0.17010,-113.82260,-213.73010,-59.57900,-113.82240,2.30810,-13.1735,-13.1735
2023-09-30,1.01110,2.42210,,-3.43310,-0.00100,-3.43420,,-3.43420,-3.43420,,-3.43420,-3.42580,-3.43310,0.37830,0.37830,-9.21000,-9.21000,1.60190,,,-104.73850,-215.35860,-57.93830,-104.73810,4.87080,25.7553,25.7553
2023-06-30,1.35310,2.82850,,-4.18160,-0.00760,-4.18920,,-4.18920,-4.18920,,-4.28360,-4.17430,-4.18160,0.11350,0.11350,-37.73000,-37.73000,0.72170,,0.17400,-474.99220,522.20350,-96.79660,-474.99120,4.19080,-24.4292,-24.4292
2023-03-31,1.36170,2.70070,,-4.06240,-0.00820,-4.07070,,-4.07070,-4.07070,,-4.15810,-4.05510,-4.06240,0.11400,0.11400,-36.46000,-36.46000,1.34480,,0.14020,-150.06460,-395.81850,-73.55750,-150.06480,35.00120,-24.95400,-24.95400
2022-12-31,0.10180,2.17790,,-2.27970,-1.70630,-3.98600,,-3.98600,-3.98600,,-3.93660,-2.27240,-2.27970,0.03590,0.03590,3047.86000,3053.46000,1.37420,,0.22010,-145.36040,-376.75820,-73.27590,-145.35990,54.84300,820.3882,820.3882
2022-09-30,-7.29400,2.90440,,4.38950,0.00180,4.39130,,4.39130,4.39130,,4.23380,4.39680,4.38950,0.01140,0.01160,370.20000,364.60000,0.38080,,,-192.59770,-109.92520,94.53070,-192.59810,-138.32300,964.432,964.432
2022-06-30,2.90690,2.49900,,-5.40590,-0.00230,-5.40810,,-5.40810,-5.40810,,-5.55260,-5.39850,-5.40590,0.00520,0.00520,-1069.40000,-1069.40000,0.10350,,-0.01140,38.11280,33.91590,-137.70740,38.11270,-2627.27700,-269.247,-269.247
