Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.51800,1.36900,2.14900,0.18800,1.72100,,1.94300,0.20600,-0.02300,0.18300,0.18300,0.18300,,0.18300,0.23900,0.20600,10.54400,10.58100,0.02000,0.02000,6.95270,,,61.08590,5.85560,5.85560,5.20180,5.20180,0.33870,0.44180,2.08040,43.26040,2.23880,2.68010,1.76200,2.23880,0.77520,-0.0581,-0.0581
2024-06-30,3.25200,1.34000,1.91200,0.25400,1.94100,,2.22900,-0.31700,0.02800,-0.28900,-0.28900,-0.28900,,-0.28900,-0.28200,-0.31700,10.51000,10.51000,-0.03000,-0.03000,4.06050,,,58.79460,-9.74780,-9.74780,-8.88680,-8.88680,0.29300,0.47810,1.73160,51.97420,-3.64620,-4.40620,-2.60360,-3.64620,0.75170,-0.0476,-0.0524
2024-03-31,3.52200,1.33500,2.18700,0.21200,2.14200,,2.38700,-0.20000,0.03100,-0.16900,-0.16900,-0.16900,,-0.16900,-0.16600,-0.20000,10.50200,10.50200,-0.02000,-0.02000,4.21460,,,62.09540,-5.67860,-5.67860,-4.79840,-4.79840,0.30850,0.48040,2.32020,38.79050,-2.06600,-2.48860,-1.48040,-2.06600,0.77580,-0.06400,-0.06400
2023-12-31,3.25400,1.23300,2.02100,0.20800,2.41100,,2.67000,-0.64900,-0.00500,-0.65400,-0.65400,-0.65400,,-0.65400,-0.59800,-0.64900,10.38600,10.38600,-0.06000,-0.06000,3.97780,,,62.10820,-19.94470,-19.94470,-20.09830,-20.09830,0.27430,0.49920,2.17510,41.37680,-7.82490,-9.41410,-5.51390,-7.82480,0.79270,-0.0221,-0.0293
2023-09-30,3.74200,1.54800,2.19400,0.20500,2.13700,,2.39700,-0.20300,0.02100,-0.18200,-0.18200,-0.18200,,-0.18200,-0.14700,-0.20300,10.46100,10.46100,-0.02000,-0.02000,4.65320,,,58.63180,-5.42490,-5.42490,-4.86370,-4.86370,0.34270,0.68250,2.59320,34.70600,-2.11090,-2.53840,-1.66680,-2.11090,0.82230,0.0529,0.0529
2023-06-30,3.54500,1.46600,2.07900,0.22100,2.23900,,2.51400,-0.43500,0.00200,-0.43300,-0.43300,-0.43300,,-0.43300,-0.38200,-0.43500,10.29700,10.29700,-0.04000,-0.04000,6.61150,,,58.64600,-12.27080,-12.27080,-12.21440,-12.21440,0.34130,0.68960,2.24940,40.01130,-5.00290,-6.04830,-4.16910,-5.00290,0.82550,0.022,0.022
2023-03-31,3.69700,1.58600,2.11100,0.23900,2.12400,,2.41700,-0.30600,,-0.30600,-0.30600,-0.30600,,-0.30600,-0.25200,-0.30600,10.29700,10.29700,-0.03000,-0.03000,5.88270,,,57.10040,-8.27700,-8.27700,-8.27700,-8.27700,0.33830,0.67550,1.88330,47.78740,-3.44050,-4.16040,-2.80040,-3.44050,0.84830,0.02680,0.02680
2022-12-31,2.55700,1.03600,1.52100,0.35800,1.78800,,2.21400,-0.69300,-0.02600,-0.71900,-0.71900,-0.71900,-0.12900,-0.91800,-0.63800,-0.69300,10.29700,10.29700,-0.13000,-0.13000,5.85060,0.00010,0.00810,59.48380,-27.10200,-27.10200,-28.11890,-35.90140,0.23250,0.32860,1.98830,45.26400,-8.09590,-9.85340,-6.53700,-8.09500,0.86250,-0.0192,-0.0192
2022-09-30,2.40900,1.64700,0.76200,0.25200,1.74300,,2.04300,-1.28100,0.03100,-1.25000,-1.25000,-1.25000,-1.90400,-3.23100,-1.18100,-1.28100,10.30400,10.30400,-0.30000,-0.30000,5.87880,0.00020,0.01490,31.63140,-53.17560,-53.17560,-51.88880,-134.12210,0.21250,0.47220,1.75330,51.33250,-13.04670,-15.71540,-11.02780,-13.04390,0.92980,-0.0163,-0.0163
2022-06-30,2.85000,1.45500,1.39500,0.27300,1.88500,,2.20900,-0.81400,0.06700,-0.74700,-0.74700,-0.74700,-0.39000,-1.20300,-0.71000,-0.81400,10.29900,10.29900,-0.11000,-0.11000,5.26860,0.00020,0.01710,48.94740,-28.56140,-28.56140,-26.21050,-42.21050,0.19060,0.31200,1.33930,67.20000,-5.98510,-7.62790,-4.99570,-5.98370,1.20960,-0.1027,-0.1126
2022-03-31,2.15900,1.10600,1.05300,0.37200,2.17700,,2.60000,-1.54700,-0.01400,-1.56100,-1.56100,-1.56100,-0.40600,-2.03000,-1.45500,-1.54700,10.21400,10.21400,-0.19000,-0.19000,6.66880,0.00200,0.02090,48.77260,-71.65350,-71.65350,-72.30200,-94.02500,0.13900,0.23640,1.66980,53.90000,-11.64750,-14.66690,-10.05280,-11.62410,1.29880,-0.17590,-0.17930
2021-12-31,2.63700,1.22600,1.41100,0.06000,1.62400,,1.72600,-0.31500,-0.00400,-0.31900,-0.31900,-0.31900,-0.72300,-1.10300,-0.22500,-0.31500,10.01800,10.01800,-0.12000,-0.12000,5.70460,0.00670,0.02350,53.50780,-11.94540,-11.94540,-12.09710,-41.82780,0.14940,0.27480,1.60690,56.00680,-2.16290,-2.45590,-1.80740,-2.14840,1.43780,-0.0337,-0.0337
2021-09-30,2.57800,1.21800,1.36000,0.39500,1.71800,,2.16200,-0.80200,0.00000,-0.80200,-0.80200,-0.80200,-0.36000,-1.22200,-0.74900,-0.80200,10.04500,10.04500,-0.11000,-0.11000,7.47180,0.01060,0.02690,52.75410,-31.10940,-31.10940,-31.10940,-47.40110,0.14470,0.26200,1.65790,54.28630,-5.23160,-6.45270,-4.50060,-5.17620,1.49810,-0.0904,-0.0917
2021-06-30,2.26600,0.99100,1.27500,0.48700,1.85400,,2.39200,-1.11700,-0.00900,-1.12600,-1.12600,-1.12600,,-1.18600,-1.06100,-1.11700,9.94300,9.94300,-0.12000,-0.12000,6.83870,0.01560,0.03170,56.26660,-49.29390,-49.29390,-49.69110,-52.33890,0.12600,0.19480,1.63970,54.88970,-7.51120,-8.56660,-6.25870,-7.39430,1.48600,-0.0117,-0.0117
2021-03-31,2.73600,1.14900,1.58700,0.55600,1.99900,,2.60500,-1.01800,0.48100,-0.53700,-0.53700,-0.53700,,-0.59600,-0.96500,-1.01800,9.88300,9.88300,-0.06000,-0.06000,10.41690,0.01890,0.03420,58.00440,-37.20760,-37.20760,-19.62720,-21.78360,0.15250,0.24560,1.59250,56.51320,-3.45630,-3.93520,-2.99400,-3.39100,1.56120,-0.00560,-0.00790
2020-12-31,2.33400,1.03200,1.30200,0.60900,1.36200,0.00000,2.02100,-0.71900,-0.04000,-0.75900,-0.75900,-0.75900,,-0.82000,-0.66500,-0.71900,9.07900,9.07900,-0.08000,-0.08000,11.43700,0.05150,0.06900,55.78410,-30.80550,-30.80550,-32.51930,-35.13280,0.12610,0.19460,1.71110,52.59640,-4.87380,-5.56530,-4.10050,-4.62270,1.57730,-0.1655,-0.1655
2020-09-30,2.12100,0.89600,1.22500,0.75100,1.54400,0.18700,2.15700,-0.93200,-0.08000,-1.01200,-1.01200,-1.01200,,-1.07200,-0.87900,-0.93200,9.04000,9.04000,-0.12000,-0.12000,4.94120,0.04800,0.09970,57.75580,-43.94150,-43.94150,-47.71330,-50.54220,0.13920,0.16640,2.35410,38.23200,-8.84620,-10.69650,-6.63950,-8.42140,1.26550,-0.1986,-0.1999
2020-06-30,1.57700,0.68200,0.89500,0.83600,1.61000,,2.49300,-1.59800,-0.05900,-1.65700,-1.65700,-1.65700,,-1.71700,-1.54700,-1.59800,8.98600,8.98600,-0.19000,-0.19000,4.72690,0.05390,0.09760,56.75330,-101.33160,-101.33160,-105.07290,-108.87760,0.09470,0.14300,1.81260,49.65120,-13.49790,-16.16110,-9.95260,-12.76970,1.35800,-0.182,-0.2071
2020-03-31,2.52900,1.03800,1.49100,0.56300,1.95000,0.04200,2.51700,-1.02600,-0.07200,-1.09800,-1.09800,-1.09800,,-1.15700,-0.97600,-1.02600,8.59000,8.59000,-0.13000,-0.13000,4.76480,0.03900,0.20810,58.95610,-40.56940,-40.56940,-43.41640,-45.74930,0.13820,0.28450,1.58360,56.83270,-8.05220,-9.49090,-6.00200,-7.73840,1.51230,-0.21420,-0.21420
2019-12-31,3.16100,1.26100,1.90000,0.76400,1.42600,0.04300,2.19100,-0.29100,-0.07800,-0.36900,-0.14400,-0.14400,,-0.20500,-0.24300,-0.29100,7.54200,7.54200,-0.01000,-0.01000,3.41800,0.07380,0.18000,60.10760,-9.20600,-9.20600,-11.67350,-6.48530,0.27180,0.49220,3.02490,29.75330,-1.87280,-2.58160,-1.23830,-1.73450,0.95410,0.0409,0.0409
2019-09-30,3.09500,1.27600,1.81900,0.77700,1.78700,0.09400,2.51400,-0.69500,-0.04900,-0.74400,-0.74400,-0.74400,,-0.80400,-0.64700,-0.69500,7.70300,7.70300,-0.10000,-0.10000,2.60490,0.09210,0.27830,58.77220,-22.45560,-22.45560,-24.03880,-25.97740,0.26790,0.59960,1.63410,55.07590,-11.06810,-16.29080,-6.43930,-10.04860,0.86350,-0.0685,-0.0703
2019-06-30,2.30900,0.94200,1.36700,0.79300,1.40300,0.00900,2.23500,-0.86800,-0.07400,-0.94200,-0.94200,-0.94200,,-1.00300,-0.81600,-0.86800,7.38800,7.38800,-0.14000,-0.14000,2.56290,0.09690,0.28710,59.20310,-37.59200,-37.59200,-40.79690,-43.43870,0.19220,0.40710,1.50030,59.98700,-13.84070,-20.44720,-7.84090,-12.50000,0.88700,-0.1764,-0.1764
2019-03-31,1.76900,0.77100,0.99800,0.75600,1.50300,0.01000,2.29900,-1.30100,-0.04800,-1.34900,-1.34900,-1.34900,,-1.40800,-1.24900,-1.30100,7.13000,7.13000,-0.20000,-0.20000,2.30610,0.12310,0.33760,56.41610,-73.54440,-73.54440,-76.25780,-79.59300,0.17450,0.37790,1.41630,63.54440,-24.07210,-40.13690,-13.30640,-21.10780,0.78070,-0.09780,-0.09780
2018-12-31,1.61200,0.65800,0.95400,0.54600,1.09700,,1.68300,-0.72900,-0.02800,-0.75700,-0.66400,-0.66400,,-0.72500,-0.68900,-0.72900,6.84700,6.84700,-0.05000,-0.05000,3.07950,0.11030,0.29850,59.18120,-45.22340,-45.22330,-46.96030,-44.97520,0.15270,0.35300,1.18620,75.87470,-9.76760,-14.68380,-6.28910,-8.69000,0.94610,-0.0952,-0.0952
2018-09-30,1.72400,0.77200,0.95200,0.35200,1.06900,,1.46300,-0.51100,-0.03900,-0.55000,-0.55000,-0.55000,,-0.56600,-0.46900,-0.51100,7.13000,7.13000,-0.08000,-0.08000,5.81670,0.11260,0.17700,55.22040,-29.64040,-29.64040,-31.90260,-32.83060,0.18330,0.52910,1.14320,78.72390,-7.78260,-9.02230,-5.84860,-6.90610,0.99130,-0.1533,-0.1533
2018-06-30,1.36600,0.53600,0.83000,0.35200,1.09100,,1.48300,-0.65300,-0.02900,-0.68200,-0.68200,-0.68200,,-0.68200,-0.61300,-0.65300,7.02800,7.02800,-0.10000,-0.10000,4.13400,0.17450,0.28700,60.76130,-47.80380,-47.80380,-49.92680,-49.92680,0.19960,0.39640,1.59770,56.33240,-15.16230,-19.52480,-9.96350,-12.51610,0.63090,-0.1779,-0.1779
2018-03-31,0.98500,0.51800,0.46700,0.28900,1.26000,,1.59000,-1.12300,-0.30600,-1.42900,-1.42900,-1.42900,,-1.42900,-1.04800,-1.12300,6.17370,6.17370,-0.27000,-0.27000,2.03000,0.34570,0.70440,47.41120,-114.01020,-114.01020,-145.07610,-145.07610,0.21270,0.55820,1.45280,61.94920,-75.29010,-166.16280,-30.85060,-49.25890,0.29880,-0.10840,-0.10840
2017-12-31,1.30000,0.51200,0.78800,0.25700,0.89500,,1.19100,-0.40300,-0.09700,-0.50000,1.28900,1.28900,,1.28900,-0.33100,-0.40300,5.88120,5.88120,0.09000,0.09000,2.03580,0.32850,0.85380,60.61540,-31.00000,-31.00000,-38.46150,99.15380,0.26090,0.75960,1.55500,57.87690,66.10250,146.81100,25.86800,44.38710,0.31740,0.2979,0.2979
2017-09-30,0.91600,0.38400,0.53200,0.23700,0.75300,,1.05000,-0.51800,-0.11400,-0.63200,-0.63200,-0.63200,,-0.63200,-0.42900,-0.51800,6.01530,6.01530,-0.09000,-0.09000,1.13950,0.77670,5.60380,58.07860,-56.55020,-56.55020,-68.99560,-68.99560,0.32440,0.66090,1.21970,73.78820,-238.48790,75.23810,-22.37960,-53.24350,0.04400,-0.1166,-0.1166
2017-06-30,0.85900,0.34200,0.51700,0.27700,0.88000,,1.21700,-0.70000,-0.08600,-0.78600,-0.78600,-0.78600,,-0.78600,-0.61200,-0.70000,5.95800,5.95800,-0.09000,-0.09000,1.68260,0.53250,1.13920,60.18630,-81.49010,-81.49010,-91.50170,-91.50170,0.30240,0.56720,1.47090,61.18740,-100.38310,210.16040,-27.66630,-46.92540,0.13010,-0.0748,-0.0748
