Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.90600,11.24900,5.65700,0.86000,2.52800,3.12900,-3.62200,-0.49300,0.35900,-0.85200,-0.85200,,-0.39800,5.18500,3.12900,2.17350,2.17350,-0.18000,-0.18000,2.28930,-1.78460,18.50820,18.50820,-2.91610,-2.35420,0.15460,0.79270,0.79270,-0.77930,-1.02200,-49.58310,1.54590,1.20550
2024-06-30,13.42600,10.27600,3.15000,1.02600,2.65500,0.49500,-5.29900,-4.81400,0.10800,-4.92200,-4.92200,,-3.86000,2.83900,0.49500,2.19590,,-1.71000,0.00000,2.25440,-1.79900,3.68690,3.68690,-35.85580,-28.75020,0.12450,4.62300,4.62300,-4.56540,-5.79900,-48.86150,-0.8126,1.2819
2024-03-31,14.88300,11.85100,3.03200,0.71600,2.32300,0.70900,-4.86500,-4.15600,-0.29500,-3.86100,-3.86100,,-3.16400,2.20300,0.70900,2.19290,2.19290,-1.44000,-1.44000,2.06130,-1.94240,4.76380,4.76380,-27.92450,-21.25920,0.12510,3.80670,3.80670,-3.24580,-4.04020,-46.37220,0.8489,0.3058
2023-12-31,14.32100,12.21100,2.11000,1.89400,3.45600,-1.34600,-0.68700,-2.03300,0.11800,-2.15100,-2.15100,,-1.52900,0.16500,-1.34600,2.20320,2.20320,-0.69000,-0.69000,1.96960,-2.05010,-9.39880,-9.39880,-14.19590,-10.67660,0.11530,2.20830,2.20830,-1.73210,-2.14130,-44.31240,-0.8985,-1.8322
2023-09-30,15.51000,11.63700,3.87300,0.75500,2.27700,1.59600,-3.23200,-1.63600,-0.01400,-1.62200,-1.62200,,-1.24400,3.06700,1.59600,2.20490,2.20490,-0.56000,-0.56000,1.98360,-2.02440,10.29010,10.29010,-10.54800,-8.02060,0.12970,1.68450,1.68450,-1.35680,-1.65680,-43.67050,0.86220,0.24450
2023-06-30,12.98500,10.39600,2.58900,0.82300,2.27600,0.31300,-2.67100,-2.35800,8.32600,-10.68400,-10.68400,,-8.05400,1.71000,0.31300,2.21530,,-4.52000,0.00000,1.94390,-2.07440,2.41050,2.41050,-18.15940,-62.02540,0.10610,11.29340,11.29340,-8.73180,-10.66010,-42.88630,1.0977,3.8434
2023-03-31,14.36200,11.18300,3.17900,0.83600,2.21600,0.96300,-1.63600,-0.67300,-0.05900,-0.61400,-0.61400,,-0.35600,2.29000,0.96300,2.21110,2.21110,-0.16000,-0.16000,1.77450,-2.29900,6.70520,6.70520,-4.68600,-2.47880,0.11500,0.73220,0.73220,-0.49160,-0.56710,-37.98880,-0.0806,-1.0012
2022-12-31,13.87200,11.39800,2.47400,0.97500,2.27700,0.19700,1.59400,1.79100,0.22400,1.56700,1.56700,,1.89000,1.44700,0.19700,2.21560,2.46680,0.85000,0.77000,1.75650,-2.32340,1.42010,1.42010,12.91090,13.62460,0.10490,-1.88690,-1.88690,1.18440,1.42740,-37.55930,-1.708,-2.5534
2022-09-30,16.38800,11.49700,4.89100,0.69900,2.02800,2.86300,-3.12200,-0.25900,-0.05800,-0.20100,-0.20100,,-0.19900,4.13800,2.86300,2.23120,2.48240,-0.09000,-0.09000,1.76880,-2.30070,17.47010,17.47010,-1.58040,-1.21430,0.13100,0.23910,0.23910,-0.16070,-0.18380,-37.89970,0.69090,-0.28880
2022-06-30,15.62600,10.16900,5.45700,0.68300,1.96900,3.48800,-6.37000,-2.88200,1.71200,-4.59400,-4.59400,,-4.09300,4.72400,3.48800,2.22430,,-1.83000,0.00000,1.72250,-2.38950,22.32180,22.32180,-18.44360,-26.19350,0.12400,5.53470,5.53470,-3.64470,-3.99880,-37.12160,3.9765,5.505
