Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.08120,0.08120,1.47200,-1.39080,-0.95120,-2.34200,-2.34200,-2.34200,-2.34200,-0.78990,-1.39080,0.89580,0.89580,-2.61000,-2.61000,0.52830,11.10380,-1712.55100,-1712.55100,-2883.88400,-2883.88400,0.00620,-285.30650,151.03030,-17.96490,-134.57550,0.87610,-0.0756,-0.0698
2024-06-30,0.04220,0.04220,0.94510,-0.90300,-1.06580,-1.96880,-1.96880,-1.96880,-1.96880,-0.15860,-0.90300,0.77040,0.77040,-2.60000,-2.60000,,4.17510,-2141.67500,-2141.67500,-4669.58600,-4669.58600,0.00330,-97.55360,594.09510,-15.55840,-97.55360,2.44310,-0.4276,-0.3709
2024-03-31,0.04980,0.04980,2.55150,-2.50170,-0.56600,-3.06770,-3.06770,-3.06770,-3.06770,-2.18650,-2.50170,0.59310,0.59310,-5.20000,-5.20000,,2.64970,-5021.83100,-5021.83100,-6158.00300,-6158.00300,0.00420,-120.30500,-523.74760,-25.96940,-120.30500,3.55360,-1.22160,-1.31970
2023-12-31,,,1.22210,-1.22210,-0.36250,-1.58460,-1.58460,-1.58460,-1.58460,-0.94110,-1.22210,0.14660,0.14660,33831.12000,33831.12000,,3.60790,,,,,,-83.93870,-84.93800,-16.57510,-83.93870,3.70150,24.651,24.7432
2023-09-30,,,0.58400,-0.58400,-0.33960,-0.92350,-0.92350,-0.92350,-0.92350,-0.56220,-0.58400,0.08160,0.08160,-11.32000,-11.32000,,1.45600,,,,,,-20.48330,-20.58470,-7.92570,-20.48330,9.01750,-55.8224,-56.0301
2023-06-30,,,0.49650,-0.49650,-0.29150,-0.78790,-0.78790,-0.78790,-0.78790,-0.38980,-0.49650,0.00010,0.00010,-15758.40000,-15758.40000,,,,,,,,,,,,,0,0
2023-03-31,,,0.72090,-0.72090,-0.18360,-0.90450,-0.90450,-0.90450,-0.90450,-0.64090,-0.72090,0.00010,0.00010,-18090.00000,-18090.00000,,,,,,,,,,,,,0.00000,
2022-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2022-09-30,,,0.43680,-0.43680,-0.05220,-0.48900,-0.48900,-0.48900,-0.48900,-0.43680,-0.43680,0.00010,0.00010,-9779.19900,-9779.19900,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
