Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.42970,0.52130,-0.95100,0.01000,-0.94100,-0.94100,-0.94100,-4.15350,-0.95100,-0.95100,1.75340,1.75340,-2.37000,-2.37000,14.87120,-24.81270,-24.81270,-23.14420,-24.81270,1.80850,0.3023,0.3023
2024-06-30,0.35040,0.45920,-0.80970,0.02590,-0.78370,-0.78370,-0.78370,-0.78370,-0.80970,-0.80970,1.16800,1.16800,-0.67000,-0.67000,11.22460,-26.94210,-26.94210,-24.54180,-26.94210,2.21210,0.0892,0.0892
2024-03-31,0.24560,0.65790,-0.90350,0.03760,-0.86600,-0.86600,-0.86600,-0.86600,-0.90350,-0.90350,0.66090,0.66090,-1.31000,-1.31000,23.32300,-23.56410,-23.56410,-22.55380,-23.56410,3.61530,-1.97210,-1.97210
2023-12-31,0.44710,0.71290,-1.16000,-0.38990,-1.54990,-1.54990,-1.54990,-1.54990,-1.16000,-1.16000,0.26310,0.26310,31.30000,31.30000,4.49570,-53.32740,-53.32740,-41.46560,-53.32740,5.44020,-17.0788,-17.0788
2023-09-30,1.57490,0.50600,-2.08090,0.16120,-1.91970,-1.91970,-1.91970,-1.91970,-2.08090,-2.08090,0.39190,0.39190,-4.90000,-4.90000,4.20570,-50.61040,-50.61040,-38.57670,-50.61040,9.68250,-4.5384,-4.5384
2023-06-30,2.29530,0.74460,-3.03990,1.27060,-1.76920,-1.76920,-1.76920,-1.76920,-3.03990,-3.03990,0.33900,0.33900,-5.21000,-5.21000,3.94920,-31.07860,-31.07860,-23.20910,-31.07860,14.53170,5.3878,5.3878
2023-03-31,2.59060,0.55690,-3.14750,-0.56240,-3.70990,-3.70990,-3.70990,-3.70990,-3.14750,-3.14750,0.06720,0.06720,-55.20000,-55.20000,1.69110,-133.81540,-133.81550,-54.68800,-133.81550,39.87560,-20.08590,-20.08590
2022-12-31,0.75590,0.53120,-1.28710,,0.89350,0.89350,0.89350,0.89350,-1.28710,-1.28710,0.04770,0.04770,24.78680,24.78680,3.33420,15.02290,15.02290,10.51720,15.02290,93.18880,-37.3687,-37.3687
2022-09-30,0.76940,0.44990,-1.21930,,-1.21930,-1.21930,-1.21930,-1.21930,-1.21930,-1.21930,0.04310,0.04310,-28.24000,-28.24000,6.50550,-27.70130,-27.70140,-23.44320,-27.70140,102.15610,-9.1659,-9.1659
2022-06-30,0.01760,0.45170,-0.46930,,-0.46930,-0.46930,-0.46930,-0.46930,-0.46930,-0.46930,0.04310,0.04310,-10.88000,-10.88000,80.11330,-8.39810,-8.39810,-8.29320,-8.39810,129.69970,-8.3313,-8.3313
2022-03-31,0.03640,0.65310,-0.68950,,-0.68950,-0.68950,-0.68950,-0.68950,-0.68950,-0.68950,0.04310,0.04310,-16.81680,-16.81680,110.97030,-11.41780,-11.41780,-11.31490,-11.41780,140.15680,-19.97810,-19.97810
2021-12-31,-45.42000,0.42560,44.99440,0.28400,-0.17800,-0.17800,-0.17800,-0.17800,44.99440,44.99440,0.01890,0.01890,33.63360,33.63360,66.81450,-2.70700,-2.70700,-2.66650,-2.70700,152.61220,20.9671,20.9671
2021-09-30,,0.22980,-0.22980,-0.27950,-0.50930,-0.50930,-0.50930,-0.50930,-0.22980,-0.22980,0.01210,0.01210,-40.84080,-40.84080,66.81680,-7.74560,-7.74590,-7.63000,-7.74610,,-22.924,-22.924
2021-06-30,0.00200,0.22990,-0.23190,-0.26000,-0.49190,-0.49190,-0.49190,-0.49190,-0.23190,-0.23190,0.01210,0.01210,-40.84080,-40.84080,,,,,,,-52.4877,-52.4877
2021-03-31,0.04550,0.13540,-0.18090,-0.25080,-0.43170,-0.43170,-0.43170,-0.43170,-0.18090,-0.18090,0.01210,0.01210,-36.03600,-36.03600,,,,,,,-10.56100,-10.56100
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
