Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,40.34000,8.43700,31.90300,3.99300,35.54300,39.53600,-7.63300,1.05800,-6.57500,-6.57500,-6.57500,-6.57500,-7.74100,-7.63300,41.71800,41.71800,-0.16000,-0.16000,8.25230,0.17990,0.21940,79.08530,-18.92170,-18.92170,-16.29900,-16.29900,0.17770,0.33060,1.61950,55.57290,-3.98550,-3.98550,-2.89650,-3.26840,3.94770,0.0104,-0.0611
2024-06-30,39.96900,8.39300,31.57600,4.35200,37.30200,41.65400,-10.07800,1.13900,-8.93900,-8.93900,-8.93900,-8.93900,-10.50100,-10.07800,41.31800,41.31800,-0.22000,-0.22000,9.17190,0.18000,0.21940,79.00120,-25.21450,-25.21450,-22.36480,-22.36480,0.17860,0.36130,1.61190,55.83430,-5.42640,-5.42640,-3.99340,-4.44990,3.96840,-0.1515,-0.2265
2024-03-31,37.86700,8.00200,29.86500,4.34500,37.56300,41.90800,-12.04300,1.13900,-10.90400,-10.90400,-10.90400,-10.90400,-12.47300,-12.04300,40.93400,40.93400,-0.27000,-0.27000,9.76110,0.17910,0.21810,78.86810,-31.80340,-31.80340,-28.79550,-28.79550,0.16930,0.38020,1.71270,52.54730,-6.58700,-6.58700,-4.87410,-5.40760,4.02970,-0.18500,-0.23580
2023-12-31,38.85900,10.18300,28.67600,4.16200,37.02000,41.18200,-12.50600,1.52300,-10.98300,-10.98300,-10.98300,-10.98300,-12.48200,-12.50600,38.42700,38.42700,-0.26000,-0.26000,9.01240,0.17560,0.21290,73.79500,-32.18300,-32.18300,-28.26370,-28.26370,0.16860,0.50290,1.77010,50.84460,-6.48440,-6.48440,-4.76640,-5.34610,4.16230,-0.0793,-0.1157
2023-09-30,34.01400,7.04100,26.97300,3.91900,34.22300,38.14200,-11.16900,1.14700,-10.02200,-10.02200,-10.02200,-10.02200,-10.76200,-11.16900,40.26600,40.26600,-0.25000,-0.25000,10.89300,0.17180,0.20750,79.29970,-32.83650,-32.83650,-29.46430,-29.46430,0.14730,0.31520,1.70170,52.88760,-5.77300,-5.77300,-4.34080,-4.78100,4.29940,-0.0289,-0.0556
2023-06-30,33.30500,6.31800,26.98700,3.65600,35.29400,38.95000,-11.96300,0.75700,-11.20600,-11.20600,-11.20600,-11.20600,-11.31900,-11.96300,37.86400,37.86400,-0.30000,-0.30000,11.67640,0.16860,0.20280,81.02990,-35.91950,-35.91950,-33.64660,-33.64660,0.14240,0.30750,1.63080,55.18630,-6.31650,-6.31650,-4.79250,-5.25150,4.42540,-0.0708,-0.1368
2023-03-31,32.70800,5.92400,26.78400,3.29100,34.78600,38.07700,-11.29300,0.16800,-11.12500,-11.12500,-11.12500,-11.12500,-10.74100,-11.29300,34.91600,34.91600,-0.32000,-0.32000,7.72200,0.27670,0.38250,81.88820,-34.52670,-34.52670,-34.01310,-34.01310,0.21940,0.33300,1.44730,62.18660,-11.84030,-11.84030,-7.46260,-8.56450,2.67640,-0.30800,-0.38180
2022-12-31,31.95300,5.08900,26.86400,3.48000,34.67800,38.15800,-11.29400,0.11900,-11.17500,-11.17500,-11.17500,-11.17500,-10.64200,-11.29400,34.20200,34.20200,-0.32000,-0.32000,6.49780,0.26350,0.35780,84.07350,-35.34570,-35.34570,-34.97330,-34.97320,0.20280,0.29450,1.54560,58.23120,-11.36800,-11.36800,-7.09290,-8.37250,2.83030,-0.2027,-0.2523
2022-09-30,26.43200,4.16800,22.26400,3.08900,32.74100,35.83000,-13.56600,-0.59200,-14.15800,-14.15800,-14.15800,-14.15800,-12.46000,-13.56600,34.35700,34.35700,-0.41000,-0.41000,7.49730,0.24670,0.34160,84.23120,-51.32420,-51.32420,-53.56390,-53.56390,0.16700,0.24730,1.60650,56.02190,-13.76860,-13.76860,-8.94580,-10.37250,2.98580,-0.1826,-0.2854
2022-06-30,25.58500,3.46500,22.12000,3.47800,36.52300,40.00100,-17.88100,-0.63200,-18.51300,-18.51300,-18.51300,-18.51300,-16.76800,-17.88100,34.05300,34.05300,-0.54000,-0.54000,8.89760,0.24040,0.31650,86.45690,-69.88860,-69.88860,-72.35880,-72.35880,0.15400,0.21020,1.69240,53.18040,-16.70350,-16.70350,-11.14250,-12.68810,3.23860,-0.4327,-0.491
2022-03-31,22.43900,2.98300,19.45600,3.58000,32.74400,36.32400,-16.86800,-0.54200,-17.41000,-17.41000,-17.41000,-17.41000,-15.86000,-16.86800,33.79200,33.79200,-0.52000,-0.52000,10.43560,0.22240,0.28610,86.70620,-75.17270,-75.17270,-77.58810,-77.58810,0.12690,0.20290,1.76940,50.86590,-14.21940,-14.21940,-9.84460,-11.05660,3.61470,-0.39990,-0.46720
2021-12-31,25.23000,3.37500,21.85500,3.04900,32.73700,35.78600,-13.93100,-0.54600,-14.47700,-14.47700,-14.47700,-14.47700,-12.98900,-13.93100,33.14600,33.14600,-0.44000,-0.44000,10.41240,0.20650,0.26020,86.62310,-55.21610,-55.21600,-57.38010,-57.38010,0.13240,0.29350,1.77100,50.81810,-10.77000,-10.77000,-7.59920,-8.54640,3.99180,-0.3883,-0.4426
2021-09-30,22.28600,2.47800,19.80800,3.28800,29.71900,33.00700,-13.19900,-2.67300,-15.87200,-15.87200,-15.87200,-15.87200,-12.21400,-13.19900,33.34000,33.34000,-0.48000,-0.48000,12.74710,0.19560,0.24320,88.88090,-59.22550,-59.22550,-71.21960,-71.21960,0.11490,0.24190,1.76630,50.95260,-11.05150,-11.05150,-8.18290,-8.88990,4.29340,-0.2735,-0.2848
2021-06-30,22.19400,2.37500,19.81900,3.14900,29.63500,32.78400,-12.96500,-1.01600,-13.98100,-13.98100,-13.98100,-13.98100,-11.98300,-12.96500,32.97900,32.97900,-0.42000,-0.42000,15.77250,0.20450,0.25700,89.29890,-58.41670,-58.41670,-62.99450,-62.99450,0.10700,0.29140,1.86600,48.23200,-9.06690,-9.06690,-6.74330,-7.21310,4.63950,-0.2446,-0.3113
2021-03-31,20.44200,2.20000,18.24200,2.95500,26.86200,29.81700,-11.57500,-0.66700,-12.24200,-12.24200,-12.24200,-12.24200,-10.81600,-11.57500,32.69200,32.69200,-0.37000,-0.37000,15.18170,0.19650,0.24460,89.23790,-56.62360,-56.62360,-59.88650,-59.88650,0.09470,0.29700,1.56190,57.62250,-7.57240,-7.57240,-5.67390,-6.08420,4.92750,-0.28630,-0.34670
2020-12-31,22.14400,2.27500,19.86900,2.42600,25.31400,27.74000,-7.87100,-1.10800,-8.97900,-8.97900,-8.97900,-8.97900,-7.30800,-7.87100,29.05900,29.05900,-0.26000,-0.26000,16.20200,0.18890,0.23300,89.72640,-35.54460,-35.54460,-40.54820,-40.54820,0.09920,0.40390,1.62690,55.31930,-5.30160,-5.30160,-4.02390,-4.29990,5.19790,-0.2618,-0.2892
2020-09-30,20.37300,2.57800,17.79500,2.77800,23.69200,26.47000,-8.67500,-0.79900,-9.47400,-9.47400,-9.47400,-9.47400,-8.28600,-8.67500,28.71300,28.71300,-0.33000,-0.33000,12.64890,0.27840,0.38580,87.34600,-42.58090,-42.58090,-46.50270,-46.50270,0.13200,0.50840,1.78440,50.43590,-9.28540,-9.28540,-6.13940,-6.70020,3.53800,-0.1888,-0.2051
2020-06-30,14.04900,2.11700,11.93200,2.16500,19.90600,22.07100,-10.13900,-2.33300,-12.47200,-12.47200,-12.47200,-12.47200,-9.86800,-10.13900,28.49300,28.49300,-0.44000,-0.44000,13.17720,0.26690,0.36400,84.93130,-72.16880,-72.16880,-88.77500,-88.77500,0.08820,0.42600,1.36930,65.72710,-11.56230,-11.56230,-7.83180,-8.47670,3.77000,-0.2613,-0.2733
2020-03-31,16.82100,1.93200,14.88900,2.09000,24.68100,26.77100,-11.88200,-0.89000,-12.77200,-12.77200,-12.77200,-12.77200,-11.56800,-11.88200,27.25200,27.25200,-0.47000,-0.47000,7.86540,0.20810,0.33790,88.51440,-70.63790,-70.63790,-75.92890,-75.92890,0.10020,0.33740,1.79690,50.08560,-10.98480,-10.98480,-7.61060,-8.69870,4.09310,-0.34330,-0.37570
2019-12-31,19.81100,2.04600,17.76500,1.77600,24.47400,26.25000,-8.48500,-0.61300,-9.09800,-9.09800,-9.09800,-9.09800,-8.21600,-8.48500,24.70600,24.70600,-0.36000,-0.36000,5.93700,0.35620,0.62250,89.67240,-42.82970,-42.82970,-45.92400,-45.92400,0.16930,0.37530,1.69040,53.24310,-14.43940,-14.43940,-7.77550,-9.29570,2.50390,-0.3692,-0.4021
2019-09-30,16.18200,1.63000,14.55200,1.87400,23.25900,25.13300,-10.58100,-0.72500,-11.30600,-11.30600,-11.30600,-11.30600,-10.34200,-10.58100,24.80300,24.80300,-0.46000,-0.46000,8.78240,0.36220,0.56780,89.92710,-65.38750,-65.38750,-69.86780,-69.86780,0.13340,0.32910,1.63160,55.16130,-16.39480,-16.39480,-9.31950,-10.45700,2.76220,-0.2813,-0.3111
2019-06-30,16.31700,1.58800,14.72900,1.94600,20.92100,22.86700,-8.13800,-0.51600,-8.65400,-8.65400,-8.65400,-8.65400,-7.87100,-8.13800,24.57800,24.57800,-0.35000,-0.35000,11.99900,0.33460,0.50280,90.26780,-49.87440,-49.87440,-53.03670,-53.03670,0.12840,0.35800,1.73510,51.86980,-11.13100,-11.13100,-6.80760,-7.40670,3.13990,-0.3394,-0.3588
2019-03-31,14.99100,1.52600,13.46500,1.68300,20.58100,22.26400,-8.79900,-0.54600,-9.34500,-9.34500,-9.34500,-9.34500,-8.54100,-8.79900,24.39100,24.39100,-0.38000,-0.38000,13.05990,0.32050,0.47160,89.82060,-58.69520,-58.69520,-62.33740,-62.33740,0.11350,0.43400,1.78230,50.49630,-11.29240,-11.29240,-7.07670,-7.67350,3.37800,-0.29020,-0.30710
2018-12-31,15.62400,1.38200,14.24200,1.50100,17.04800,18.54900,-4.30700,-1.00600,-5.31300,-5.31300,-5.31300,-5.31300,-4.05600,-4.30700,7.95000,7.95000,1.13000,1.13000,15.10570,0.30170,0.43200,91.15470,-27.56660,-27.56660,-34.00540,-34.00540,0.11280,0.41340,1.84120,48.88250,-5.89080,-5.89080,-3.83550,-4.11370,3.68870,0.3827,0.4735
2018-09-30,13.38100,1.22100,12.16000,1.37300,13.83100,15.20400,-3.04400,-1.74800,-4.79200,-4.79200,-4.79200,-4.79200,-2.80000,-3.04400,3.71300,3.71300,-1.29000,-1.29000,2.78030,-0.38690,-0.27900,90.87510,-22.74870,-22.74870,-35.81200,-35.81200,0.47120,0.40320,1.88680,47.70050,3.43690,3.43690,-16.87620,4.76670,-35.63230,-0.6367,-0.6478
2018-06-30,13.66300,1.18200,12.48100,1.29600,12.88200,14.17800,-1.69700,-1.45000,-3.14700,-3.14700,-3.14700,-3.14700,-1.44400,-1.69700,3.60800,3.60800,-0.87000,-0.87000,,,,91.34890,-12.42040,-12.42040,-23.03300,-23.03300,,,,,,,,,,-0.345,-0.4825
2018-03-31,12.71200,1.04800,11.66400,1.20600,13.37500,14.58100,-2.91700,-1.28400,-4.20100,-4.20100,-4.20100,-4.20100,-2.68400,-2.91700,3.59400,3.59400,-1.17000,-1.17000,,,,91.75580,-22.94680,-22.94680,-33.04750,-33.04750,,,,,,,,,,-1.22730,-1.28800
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,3.882,3.9885
