Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,,-0.57050,-0.57050,0.68600,0.11550,0.13960,-0.02400,-0.02400,-0.02400,-0.57050,-0.57050,5.64000,5.64000,0.00000,0.00000,0.03740,-0.23440,0.56440,0.56440,-0.09390,0.56440,-0.75510,-0.10450,-0.10450
2023-12-31,,493.09750,493.09750,-728.71400,-235.61640,-144.37610,-91.24040,-91.24040,-91.24040,493.09750,493.09750,5.64000,5.64000,0.03000,0.03000,0.02350,-0.24670,2436.04800,2436.04700,-295.07080,2436.04800,-0.66410,-0.0506,-0.0506
2023-09-30,,-493.99300,-493.99300,730.23000,236.23700,144.67600,91.56100,91.56100,91.56100,-493.99300,-493.99300,5.64000,5.64000,0.01000,0.01000,0.02070,-0.23280,-2522.68500,-2522.68400,301.41690,-2522.68500,-0.64350,-0.0395,-0.0395
2023-06-30,,-1.19740,-1.19740,0.78710,-0.41030,0.15010,-0.56040,-0.56040,-0.56040,-1.19740,-1.19740,5.64000,5.64000,-0.06000,-0.06000,0.03490,-0.25190,17.78490,17.78490,-1.80140,17.78490,-0.55870,-0.0993,-0.0993
2023-03-31,,-0.91340,-0.91340,0.21050,-0.70290,0.04530,-0.74810,-0.74810,-0.74810,-0.91340,-0.91340,5.64000,5.64000,-0.09000,-0.09000,0.09480,-0.36150,42.12430,42.12430,-2.42750,42.12430,-0.31490,-0.04830,-0.04830
2022-12-31,,248.56960,248.56960,-1033.61600,-785.04610,-164.50660,-620.53960,-620.53960,-620.53960,248.56960,248.56960,5.64000,5.64000,0.03000,0.03000,0.10070,-0.43710,81564.53000,81564.35000,-2039.95900,81564.52000,-0.13490,-0.0435,-0.0435
2022-09-30,,-249.26100,-249.26100,1035.96500,786.70400,164.97700,621.72700,621.72700,621.72700,-249.26100,-249.26100,5.64000,5.64000,0.02000,0.02000,0.41450,-1.03980,-170901.10000,-170905.20000,308.96330,-171166.70000,-0.06440,-0.0305,-0.0305
2022-06-30,,-0.31240,-0.31240,0.35690,0.04450,0.00730,0.03720,0.03720,0.03720,-0.31240,-0.31240,5.64000,5.64000,0.00000,0.00000,0.31400,-1.36730,-11.04230,-11.04190,0.01850,-11.04230,-0.05970,-0.0315,-0.0315
2022-03-31,,-0.32640,-0.32640,0.09360,-0.23280,0.00000,-0.23280,-0.23280,-0.23280,-0.32640,-0.32640,5.64000,5.64000,-0.01000,-0.01000,0.54680,-0.80510,62.25870,62.25760,-0.11620,62.25870,-0.06630,-0.06810,-0.06810
2021-12-31,,-0.42850,-0.42850,0.01830,-0.41020,,-0.41020,-0.41020,-0.41020,-0.42850,-0.42850,4.38110,4.38110,-0.02000,-0.02000,0.98670,,290.72030,290.72620,-0.20460,290.72010,-0.02500,-0.0547,-0.0547
2021-09-30,,-0.17870,-0.17870,0.03820,-0.14050,,-0.14050,-0.14050,-0.14050,-0.17870,-0.17870,5.64000,5.64000,-0.01000,-0.01000,3.06400,,-52.21700,-52.21480,-0.07000,-52.21700,0.04770,-0.0105,-0.0105
2021-06-30,,-0.17650,-0.17650,0.06900,-0.10750,,-0.10750,-0.10750,-0.10750,-0.17650,-0.17650,5.64000,5.64000,0.00000,0.00000,2.09660,,-2.15010,-2.15010,-0.05350,-2.15010,0.81980,0.012,0.012
2021-03-31,,-0.13590,-0.13590,-0.00420,-0.14010,,-0.14010,-0.14010,-0.14010,-0.13590,-0.13590,4.86630,4.86630,-0.01000,-0.01000,2.27160,,-2.80200,-2.80200,-0.06970,-2.80200,0.82130,-0.16230,-0.16230
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2020-09-30,0.49120,,-0.49120,0.10300,-0.38810,,-0.38810,-0.38810,-0.38810,-0.49120,-0.49120,3.95530,3.95530,-0.09810,-0.09810,,,,,,,,0,0
