Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,17.67600,12.94700,,-30.62300,2.68000,-27.94300,,-27.94300,-27.94300,-27.94300,-30.36400,-30.62300,47.97600,47.97600,-0.58000,-0.58000,3.55140,,,,,,,,,-16.76860,-16.77550,-12.48830,-16.76860,3.47340,-0.3514,-0.3518
2024-06-30,,,15.19800,46.20400,,-61.40200,67.55700,6.15500,,6.15500,6.15500,6.15500,-61.10000,-61.40200,46.20200,46.20200,0.13000,0.13000,4.06860,,,,,,,,,3.25710,3.25850,2.52700,3.25710,3.93890,-0.3751,-0.3757
2024-03-31,,,16.23300,3.70100,,-19.93400,44.97700,25.04300,,25.04300,25.04300,25.04300,-19.62300,-19.93400,43.00100,44.10200,0.58000,-0.43000,1.73750,,,,,,,,,31.86260,31.90920,16.08230,31.86250,1.81740,-0.43370,-0.43370
2023-12-31,,,18.73100,4.05800,,-22.78900,1.87000,-20.91900,,-20.91900,-20.91900,-20.91900,-22.43300,-22.78900,41.93200,41.93200,-0.50000,-0.50000,9.13230,,,,,,,,,-15.21740,-15.23690,-13.79310,-15.21740,3.25470,-0.5345,-0.5355
2023-09-30,,,23.60300,4.27600,,-27.87900,2.22800,-25.65100,,-25.65100,-25.65100,-25.65100,-27.48700,-27.87900,42.00200,42.00200,-0.61000,-0.61000,8.62430,,,,,,,,,-16.53680,-16.56540,-14.86760,-16.53680,3.68180,-0.6277,-0.6282
2023-06-30,,,24.96900,3.80800,,-28.77700,2.40100,-26.37600,,-26.37600,-26.37600,-26.37600,-28.38600,-28.77700,41.79300,41.79300,-0.63000,-0.63000,9.75320,,,,,,,,,-14.70620,-14.73800,-13.37200,-14.70620,4.27850,-0.4763,-0.4762
2023-03-31,,,22.12000,4.39200,,-26.51200,2.24100,-24.27100,,-24.27100,-24.27100,-24.27100,-26.12100,-26.51200,41.73900,41.73900,-0.58000,-0.58000,14.01960,,,,,,,,,-11.89730,-11.92670,-11.12780,-11.89730,4.88650,-0.31760,-0.32610
2022-12-31,,,17.65200,3.28500,,-20.93700,1.80300,-19.13400,,-19.13400,-19.13400,-19.13400,-20.54800,-20.93700,40.20200,40.20200,-0.47000,-0.47000,29.90600,,,,,,,,,-8.40910,-8.43220,-8.14790,-8.40910,5.45190,-0.525,-0.5164
2022-09-30,,,18.52600,2.81900,,-21.34500,1.08800,-20.25700,,-20.25700,-20.25700,-20.25700,-21.04500,-21.34500,40.05000,40.05000,-0.51000,-0.51000,22.05970,,,,,,,,,-10.19380,-10.23190,-9.77250,-10.19380,4.96050,-0.5373,-0.5662
2022-06-30,,,16.94800,2.96900,,-19.91700,0.58900,-19.32800,,-19.32800,-19.32800,-19.32800,-19.61800,-19.91700,40.01500,40.01500,-0.48000,-0.48000,23.41220,,,,,,,,,-8.85100,-8.88600,-8.50030,-8.85100,5.44590,-0.277,-0.3136
2022-03-31,,,14.90600,2.91500,,-17.82100,0.29400,-17.52700,,-17.52700,-17.52700,-17.52700,-17.50800,-17.82100,39.96200,39.96200,-0.44000,-0.44000,32.72940,,,,,,,,,-7.39240,-7.42190,-7.17760,-7.39240,5.92280,-0.58880,-0.59940
2021-12-31,,,10.34200,4.10200,,-14.44400,0.27200,-14.17200,,-14.17200,-14.17200,-14.17200,-14.13100,-14.44400,39.40500,39.40500,-0.36000,-0.36000,19.50550,,,,,,,,,-5.58140,-5.60510,-5.31220,-5.58140,6.34520,-0.2105,-0.2207
2021-09-30,,,8.04100,1.71200,,-9.75300,0.19100,-9.56200,,-9.56200,-9.56200,-9.56200,-9.54100,-9.75300,39.95700,39.95700,-0.24000,-0.24000,39.82220,,,,,,,,,-3.57370,-3.58990,-3.48660,-3.57370,6.68630,-0.3695,-0.9211
2021-06-30,,,3.90100,1.23700,,-5.13800,0.01300,-5.12500,,-5.12500,-5.12500,-5.12500,-5.13000,-5.13800,39.95300,39.95300,-0.13000,-0.13000,60.28860,,,,,,,,,-1.85370,-1.85370,-1.82190,-1.85370,6.90990,-0.1252,-0.1271
2021-03-31,,,2.52900,1.00400,,-3.53300,0.00700,-3.52600,,-3.52600,-3.52600,-3.52600,-3.53200,-3.53300,37.72100,37.72100,-0.09000,-0.09000,107.08150,,,,,,,,,-1.25400,-1.25400,-1.24130,-1.25400,7.02810,-0.06110,-0.06110
2020-12-31,,,1.51900,1.10500,0.00000,-2.62400,0.00600,-2.61800,,-2.61800,-2.61800,-2.61800,-2.62300,-2.62400,26.10500,26.10500,-0.08000,-0.08000,50.39890,,,,,,,,,-2.83950,-2.83950,-2.77620,-2.83950,2.61650,-0.0377,-0.0383
2020-09-30,,,0.39900,1.03800,,-1.43700,0.00700,-1.43000,,-1.43000,-1.43000,-1.43000,-1.43600,-1.43700,24.97200,24.97200,-0.06000,-0.06000,21.46490,,,,,,,,,-5.96500,-5.96500,-5.63010,-5.96500,0.93720,-0.0863,-0.0865
2020-06-30,,,0.59100,0.81800,0.24600,-1.16300,0.02700,-1.13600,,-1.13600,-1.13600,-1.13600,-1.15700,-1.16300,24.77900,24.77900,-0.05000,-0.05000,19.36070,,,,,,,,,-4.69730,-4.69730,-4.45530,-4.69730,0.97050,-0.0334,-0.0229
2020-03-31,,,0.54400,0.77800,0.10000,-1.22200,0.07200,-1.15000,,-1.15000,-1.15000,-1.15000,-1.20800,-1.22200,24.48100,24.48100,-0.05000,-0.05000,22.60000,,,,,,,,,-4.63110,-4.63110,-4.42700,-4.63110,1.00410,-0.04880,-0.04470
2019-12-31,,,0.73800,0.83800,,-1.57600,0.06000,-1.51600,,-1.51600,-1.51600,-1.51600,-1.56200,-1.57600,17.41200,17.41200,-0.09000,-0.09000,16.83420,,,,,,,,,-6.86000,-6.86000,-6.45490,-6.86000,1.01180,-0.0322,-0.0322
2019-09-30,,,-0.05200,0.83100,,-0.77900,0.08200,-0.69700,,-0.69700,-0.69700,-0.69700,-0.76500,-0.77900,17.16200,17.16200,-0.04000,-0.04000,20.05400,,,,,,,,,-3.99540,-3.99540,-3.79320,-3.99540,1.01310,-0.0426,-0.0425
2019-06-30,,,0.30800,0.84500,,-1.15300,0.09400,-1.05900,,-1.05900,-1.05900,-1.05900,-1.14000,-1.15300,17.16200,17.16200,-0.06000,-0.06000,19.83250,,,,,,,,,-5.94180,-5.94180,-5.63150,-5.94180,1.03510,-0.0344,-0.0345
2019-03-31,,,0.57400,0.87700,,-1.45100,0.09200,-1.35900,,-1.35900,-1.35900,-1.35900,-1.43400,-1.45100,17.16200,17.16200,-0.08000,-0.08000,21.35810,,,,,,,,,-7.32500,-7.32500,-6.96100,-7.32500,1.07750,-0.03520,-0.03620
2018-12-31,,,0.00200,0.74800,,-0.75000,0.07200,-0.67800,,-0.67800,-0.67800,-0.67800,-0.73300,-0.75000,10.68200,10.68200,0.19000,0.19000,39.21720,,,,,,,,,-3.45420,-3.45420,-3.36660,-3.45420,1.13990,-0.0949,-0.0949
2018-09-30,,,0.43600,0.84800,,-1.28400,0.01700,-1.26700,,-1.26700,-1.26700,-1.26700,-1.26600,-1.28400,11.95900,11.95900,-0.11000,-0.11000,24.03710,,,,,,,,,-6.34330,-6.34320,-6.08080,-6.34320,1.16000,0.0533,0.0533
