Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1319.00000,991.00000,328.00000,29.00000,193.00000,135.00000,-45.00000,90.00000,6.00000,84.00000,84.00000,,82.00000,334.00000,135.00000,700.90000,702.40000,0.12000,0.12000,0.43070,0.75670,10.23500,10.23500,6.82340,6.21680,0.10080,1.25090,1.25090,0.64220,0.71210,9.60660,0.5026,0.4104
2024-06-30,1466.00000,1013.00000,453.00000,56.00000,161.00000,292.00000,-34.00000,258.00000,16.00000,242.00000,242.00000,,239.00000,483.00000,292.00000,704.30000,705.90000,0.34000,0.34000,0.39200,0.64490,19.91820,19.91820,17.59890,16.30290,0.11820,3.54990,3.54990,1.95050,2.15820,9.70670,0.6414,0.5325
2024-03-31,1471.00000,1004.00000,467.00000,31.00000,176.00000,291.00000,-21.00000,270.00000,-2.00000,272.00000,272.00000,,268.00000,473.00000,291.00000,704.00000,705.50000,0.38000,0.38000,0.40090,0.66910,19.78250,19.78250,18.35490,18.21890,0.11800,4.03560,4.03560,2.18230,2.41780,9.56030,0.51740,0.41810
2023-12-31,1323.00000,951.00000,372.00000,29.00000,199.00000,173.00000,-30.00000,143.00000,9.00000,134.00000,134.00000,,132.00000,361.00000,173.00000,709.70000,712.80000,0.18000,0.19000,0.38810,0.63420,13.07630,13.07630,10.80880,9.97730,0.10810,2.01900,2.01900,1.09450,1.23550,9.43290,0.4287,-0.0113
2023-09-30,1214.00000,908.00000,306.00000,54.00000,149.00000,157.00000,-29.00000,128.00000,15.00000,113.00000,113.00000,,111.00000,333.00000,157.00000,709.70000,711.90000,0.16000,0.16000,0.37990,0.61270,12.93250,12.93250,10.54370,9.14330,0.09880,1.64390,1.64390,0.91930,1.01930,9.74480,0.4432,0.2938
2023-06-30,1393.00000,949.00000,444.00000,3.00000,195.00000,249.00000,-21.00000,228.00000,14.00000,214.00000,214.00000,,210.00000,420.00000,249.00000,711.30000,713.20000,0.30000,0.29000,0.37630,0.60340,17.87510,17.87510,16.36760,15.07540,0.11270,3.06720,3.06720,1.73070,1.91290,9.80740,0.7189,0.5336
2023-03-31,1381.00000,933.00000,448.00000,,200.00000,248.00000,41.00000,289.00000,-2.00000,291.00000,291.00000,,287.00000,419.00000,248.00000,713.40000,714.90000,0.40000,0.40000,0.38010,0.61310,17.95800,17.95800,20.92690,20.78200,0.11300,4.24010,4.24010,2.38040,2.62850,9.64990,0.43080,0.34690
2022-12-31,1263.00000,889.00000,374.00000,,196.00000,178.00000,-32.00000,146.00000,-3.00000,149.00000,149.00000,,147.00000,346.00000,178.00000,714.70000,717.50000,0.21000,0.20000,0.38560,0.62770,14.09340,14.09340,11.55980,11.63900,0.10290,2.21890,2.21890,1.21440,1.36320,9.41270,0.5019,-0.0332
2022-09-30,1189.00000,858.00000,331.00000,10.00000,183.00000,148.00000,-26.00000,122.00000,6.00000,116.00000,116.00000,,114.00000,315.00000,148.00000,714.90000,717.60000,0.16000,0.16000,0.38200,0.61820,12.44740,12.44740,10.26070,9.58790,0.09770,1.70160,1.70160,0.95340,1.05160,9.53390,0.4842,0.4519
2022-06-30,1381.00000,874.00000,507.00000,7.00000,180.00000,327.00000,-28.00000,299.00000,39.00000,260.00000,260.00000,,256.00000,491.00000,327.00000,714.80000,717.00000,0.36000,0.36000,0.38310,0.62110,23.67850,23.67850,21.65100,18.53730,0.11470,3.83370,3.83370,2.15880,2.36490,9.48660,0.6229,0.7679
