Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20623.00000,15344.00000,5279.00000,20.00000,20.00000,5259.00000,-3603.00000,1656.00000,138.00000,1518.00000,,1518.00000,21.00000,7669.00000,5259.00000,1508.50000,1540.90000,0.01000,0.01000,1.17030,0.57750,1.45440,25.59760,25.50070,25.50070,8.02990,0.10180,0.04060,1.39100,0.71920,125.13500,0.91560,1.55430,0.29870,0.37750,112.57800,2.1966,0.9205
2024-06-30,23050.00000,19152.00000,3898.00000,19.00000,19.00000,3879.00000,-3860.00000,19.00000,304.00000,-285.00000,,-285.00000,1.00000,6314.00000,3879.00000,1509.60000,1536.00000,0.00000,0.00000,1.19530,0.57610,1.44730,16.91110,16.82860,16.82860,0.08240,0.00430,0.04630,1.61740,0.79580,113.09540,-0.17440,-0.29650,-0.05730,-0.07210,110.75680,0.4555,-0.7739
2024-03-31,22907.00000,19046.00000,3861.00000,17.00000,17.00000,3844.00000,-3044.00000,800.00000,281.00000,519.00000,,519.00000,60.00000,6319.00000,3844.00000,1518.80000,1543.60000,0.04000,0.04000,1.17420,0.56760,1.39400,16.85510,16.78090,16.78090,3.49240,0.26190,0.04660,1.68740,0.77170,116.62640,0.31470,0.53940,0.10550,0.13280,111.72580,0.20600,-1.54900
2023-12-31,24518.00000,20595.00000,3923.00000,16.00000,16.00000,3907.00000,-686.00000,3221.00000,87.00000,3134.00000,,3134.00000,655.00000,6334.00000,3907.00000,1558.50000,1588.20000,0.42000,0.41000,1.15160,0.56840,1.38910,16.00050,15.93520,15.93520,13.13730,2.67150,0.05000,1.80470,0.85990,104.66110,1.90940,3.32210,0.63950,0.80400,110.43440,0.9433,-0.5098
2023-09-30,24441.00000,21088.00000,3353.00000,16.00000,16.00000,3337.00000,-3061.00000,276.00000,241.00000,35.00000,,35.00000,190.00000,5583.00000,3337.00000,1561.20000,1585.70000,0.12000,0.12000,1.21530,0.57150,1.41360,13.71880,13.65330,13.65330,1.12930,0.77740,0.05140,1.73070,0.77410,116.25880,0.02200,0.03940,0.00740,0.00920,104.74530,2.1631,0.9841
2023-06-30,23668.00000,19906.00000,3762.00000,23.00000,23.00000,3739.00000,-1818.00000,1921.00000,409.00000,1512.00000,,1512.00000,40.00000,5953.00000,3739.00000,1564.00000,1578.40000,0.03000,0.03000,1.18560,0.56980,1.41210,15.89490,15.79770,15.79770,8.11640,0.16900,0.05110,1.53050,0.81440,110.51500,0.99820,1.84310,0.32650,0.41810,99.48610,0.2611,-0.6216
2023-03-31,23297.00000,19820.00000,3477.00000,14.00000,14.00000,3463.00000,-2765.00000,698.00000,274.00000,424.00000,,424.00000,79.00000,5651.00000,3463.00000,1571.40000,1587.20000,0.05000,0.05000,1.19310,0.59360,1.54460,14.92470,14.86460,14.86460,2.99610,0.33910,0.05100,1.53370,0.83780,107.43060,0.29690,0.57560,0.09280,0.11730,93.91080,0.70440,-0.12160
2022-12-31,24213.00000,20207.00000,4006.00000,33.00000,33.00000,3973.00000,-3834.00000,139.00000,95.00000,44.00000,,44.00000,-392.00000,5962.00000,3973.00000,1567.50000,1567.50000,-0.20000,-0.22000,1.21660,0.58820,1.50870,16.54480,16.40850,16.40850,0.57410,-1.61900,0.05490,1.57340,0.88440,101.76430,0.03190,0.05880,0.01000,0.01280,90.18110,2.012,0.7373
2022-09-30,23418.00000,19768.00000,3650.00000,30.00000,30.00000,3620.00000,-2379.00000,1241.00000,525.00000,716.00000,,716.00000,386.00000,5617.00000,3620.00000,1562.50000,1611.40000,0.24000,0.25000,1.28590,0.59580,1.55850,15.58630,15.45820,15.45820,5.29930,1.64830,0.05590,1.62860,0.78550,114.57730,0.55150,1.01150,0.17080,0.21600,85.03760,1.3458,0.2631
2022-06-30,23256.00000,19841.00000,3415.00000,26.00000,26.00000,3389.00000,-1773.00000,1616.00000,141.00000,1475.00000,,1475.00000,590.00000,5275.00000,3389.00000,1564.40000,1617.10000,0.34000,0.35000,1.31180,0.58330,1.48970,14.68440,14.57260,14.57260,6.94870,2.53700,0.05650,1.54160,0.87550,102.79800,1.13580,1.91170,0.35810,0.45860,85.80010,1.9361,0.9838
