Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.78690,12.55340,-11.76650,5.09110,5.09110,-16.85760,-2.09720,-18.95480,-18.95480,-18.95480,-18.95480,-16.11450,-16.85760,33.19400,33.19400,-0.56620,-0.56620,14.32980,0.00880,-1495.30100,-2142.29100,-2142.29100,-2408.81100,-2408.81100,0.00440,0.20520,438.50220,-11.82030,-11.82730,-10.63740,-11.82030,4.83090,-0.4979,-0.5072
2024-06-30,1.71490,14.47030,-12.75540,4.90930,4.90930,-17.66470,0.98850,-16.67620,-16.67620,-16.67620,-16.67620,-17.02060,-17.66470,32.78700,32.78700,-0.50860,-0.50860,14.57780,0.00780,-743.77820,-1030.04500,-1030.04500,-972.40480,-972.40480,0.00910,0.46020,195.55130,-9.69470,-9.70230,-8.83970,-9.69470,5.18380,-0.5123,-0.5185
2024-03-31,3.12980,16.12230,-12.99250,5.13480,5.13480,-18.12730,5.18170,-12.94560,-12.94560,-12.94560,-12.94560,-17.43570,-18.12730,32.86900,32.86900,-0.38870,-0.38870,14.67550,0.00720,-415.12050,-579.18190,-579.18190,-413.62310,-413.62310,0.01480,0.86130,104.49600,-6.71930,-6.72590,-6.10170,-6.71930,5.86160,-0.59290,-0.59720
2023-12-31,1.20590,14.54480,-13.33880,5.48870,5.48870,-18.82750,-3.51530,-22.34280,-22.34280,-22.34280,-22.34280,-18.18950,-18.82750,32.77100,32.77100,-0.67780,-0.67780,13.35040,0.00680,-1106.09100,-1561.22600,-1561.22600,-1852.72400,-1852.72400,0.00550,0.55430,162.35440,-11.36900,-11.38270,-10.11240,-11.36900,5.40590,-0.5229,-0.5329
2023-09-30,2.87590,13.13680,-10.26090,5.00600,5.00600,-15.26690,2.32020,-12.94670,-12.94670,-12.94670,-12.94670,-14.55970,-15.26690,32.83700,32.83700,-0.39610,-0.39610,14.57690,0.00610,-356.78870,-530.85390,-530.85390,-450.17710,-450.17710,0.01160,1.42270,63.25860,-5.83000,-5.83790,-5.24440,-5.83000,6.76280,-0.4658,-0.469
2023-06-30,0.46160,12.93940,-12.47780,5.19050,5.19050,-17.66830,-0.11570,-17.78390,-17.78390,-17.78390,-17.78390,-16.97700,-17.66830,32.62600,32.62600,-0.54510,-0.54510,14.28580,0.00580,-2702.89200,-3827.22900,-3827.22900,-3852.28900,-3852.28900,0.00180,0.27480,327.46990,-7.76150,-7.77200,-6.93600,-7.76150,6.97900,-0.4677,-0.4719
2023-03-31,3.29610,13.71950,-10.42340,5.88230,5.88220,-16.30560,0.33500,-15.97060,-15.97060,-15.97060,-15.97060,-15.64640,-16.30560,32.55700,32.55700,-0.48630,-0.48630,15.44280,0.00540,-316.22950,-494.68850,-494.68850,-484.52460,-484.52460,0.01250,1.74890,51.46230,-6.65190,-6.66050,-6.04330,-6.65190,7.37450,-0.54920,-0.55130
2022-09-30,2.44700,11.89950,-9.45250,5.75520,5.75520,-15.20770,1.41810,-13.78960,-13.78960,-13.78960,-13.78960,-15.20770,-15.20770,32.44500,33.17500,-0.42440,-0.42440,14.36980,0.00480,-386.29440,-621.48900,-621.48900,-563.53640,-563.53640,0.00840,1.36650,65.86300,-5.29840,-5.30450,-4.73820,-5.29840,8.00430,-1.2008,-1.2085
2022-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2022-03-31,187.10670,15.67170,171.43500,6.23430,6.23430,165.20070,0.62160,165.82120,165.82120,165.82120,165.82120,165.87540,165.20070,32.31560,33.13570,5.13290,5.00300,9.97660,0.00450,91.62420,88.29220,88.29220,88.62390,88.62390,0.55410,49.73600,1.80960,57.89370,57.95610,49.10400,57.89370,8.86060,5.34530,5.33400
2021-09-30,3.84920,12.72750,-8.87830,5.10760,5.10760,-13.98590,0.57530,-13.41070,-13.41070,-13.41070,-13.41070,-13.98590,-13.98590,32.39200,32.39200,-0.41400,-0.41400,4.22470,0.00950,-230.65380,-363.34560,-363.34560,-348.40080,-348.40080,0.02000,0.63290,142.19640,-9.89260,-9.91370,-6.97930,-9.89260,4.19930,-1.276,-1.2954
2021-03-31,1.08000,17.86660,-16.78660,3.69650,3.69640,-20.48310,2.18430,-18.29880,-18.29880,-18.29880,-18.29880,-19.75350,-20.48310,29.15300,29.15300,-0.63010,-0.63010,2.84880,0.01250,-1554.35000,-1896.62200,-1896.62200,-1694.37000,-1694.37000,0.00560,0.13890,647.77890,-17.46980,-17.52470,-9.56690,-17.46980,3.25720,-1.13300,-1.13650
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
