Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1101.53000,364.97500,736.55510,538.06490,538.76900,197.78610,,197.78600,42.46300,155.32300,155.32300,,154.97000,71.80700,71.82800,2.16000,2.16000,0.16820,29.73750,23.30000,0.00930,2.69270,3.11980,0.21780,2.68240,80.66240,3.2548,2.4651
2024-06-30,1088.21300,353.59500,734.61800,515.63600,516.37000,218.24800,,218.24800,40.45900,177.78900,177.78900,,177.43600,71.97080,71.99190,2.47000,2.46000,0.19490,31.73020,25.79670,0.00940,3.32280,3.99830,0.24410,3.30910,74.24320,1.1165,0.5787
2024-03-31,1057.95900,343.39700,714.56200,554.91600,555.71100,158.85100,,158.85100,55.56800,103.28300,103.28300,,102.93000,71.87000,71.96700,1.43000,1.43000,0.19940,24.74450,16.03360,0.00900,2.00350,2.36680,0.14560,1.99490,71.62360,2.24500,1.51880
2023-12-31,1036.23500,333.31200,702.92290,609.01310,609.80810,93.11480,,93.11500,-1.47900,94.59400,94.59400,,94.24100,71.71000,71.79200,1.31000,1.30000,0.20950,14.91610,15.09640,0.00880,1.84580,2.18320,0.13370,1.83790,71.33290,2.9775,1.9682
2023-09-30,1004.33500,310.76600,693.56900,487.30600,511.10100,182.46800,,182.46800,45.85900,136.60900,136.60900,,136.25600,71.79500,71.81800,1.90000,1.90000,0.24630,28.13900,21.01250,0.00930,3.07990,3.75030,0.19590,3.06460,61.80140,1.6867,1.0642
2023-06-30,954.47800,262.33900,692.13900,496.68100,497.47600,194.66300,,194.66300,43.50300,151.16000,151.16000,,150.80700,71.69040,71.70920,2.10000,2.10000,0.31270,29.72190,23.02580,0.00920,3.32740,4.05670,0.21340,3.31130,63.31150,2.7624,2.0929
2023-03-31,900.98300,207.36600,693.61690,487.52900,488.32400,205.29300,,205.29300,46.31400,158.97900,158.97900,,158.62600,71.54200,71.60600,2.22000,2.22000,0.31370,31.78010,24.55590,0.00950,3.57370,4.37820,0.23490,3.55600,62.12270,2.13730,1.66130
2022-12-31,871.65890,153.62800,718.03090,510.44500,511.23900,206.79190,,206.79200,-50.34700,257.13900,257.13900,,256.78600,75.14700,75.27400,3.48000,3.47000,0.34210,30.93370,38.41230,0.00990,6.31590,7.90460,0.38020,6.28180,56.96870,2.4944,2.0482
2022-09-30,1077.72900,71.61600,1006.11300,505.93700,515.73200,490.38100,,490.38100,67.98600,422.39500,422.39500,,422.04200,73.95520,74.05730,5.71000,5.70000,0.35400,50.73910,43.66810,0.01370,11.56390,14.90630,0.59720,11.49430,50.56680,4.5429,4.2417
2022-06-30,729.17200,37.89900,691.27300,414.84500,415.64000,275.63300,,275.63300,64.21200,211.42100,211.42100,,211.06800,76.17200,76.28700,2.77000,2.77000,0.22340,40.42070,30.95240,0.00950,4.94990,6.16630,0.29570,4.92440,56.06650,3.9317,3.6233
2022-03-31,684.41300,35.40900,649.00400,385.94800,386.83900,262.16500,,262.16500,50.47900,211.68600,211.68600,,211.33300,78.44400,78.59500,2.69000,2.69000,0.22710,39.45270,31.80310,0.00960,4.55330,5.37870,0.30450,4.53170,61.07160,2.50890,2.32280
2021-12-31,703.93990,37.98000,665.96000,378.29900,384.34400,281.61590,,281.61600,75.55200,206.06400,206.06400,,205.71100,81.26300,81.42000,2.60000,2.59000,0.19350,40.28780,29.42890,0.00930,3.46490,4.03150,0.27440,3.45200,74.75670,3.6506,3.4059
2021-09-30,699.42000,40.76900,658.65100,326.21200,326.99500,331.65600,,331.65600,83.54200,248.11400,248.11400,,247.76100,80.12600,80.27500,3.09000,3.09000,0.21120,46.07460,34.41970,0.00970,4.16240,4.79390,0.33440,4.14700,74.93510,2.8338,2.7944
2021-06-30,684.30100,41.95900,642.34200,349.91500,351.17000,291.17200,,291.17200,73.09300,218.07900,218.07900,,217.72600,81.60900,81.77300,2.67000,2.66000,0.21800,44.16000,33.02100,0.00910,3.76490,4.35850,0.30010,3.75050,72.09150,3.5957,3.361
2021-03-31,677.10400,44.33900,632.76500,292.25100,293.30200,339.46300,,339.46300,76.83100,262.63200,262.63200,,262.27900,83.90000,84.05100,3.13000,3.12000,0.22230,47.47790,36.68280,0.01070,4.47000,5.16740,0.39270,4.45320,69.89370,2.26530,2.15400
2020-12-31,664.27000,47.80700,616.46300,396.09000,397.14200,219.32100,,219.32100,43.04500,176.27600,176.27600,,175.92300,85.88200,85.97500,2.01000,2.01000,0.22330,36.84550,29.55470,0.00900,2.93470,3.37910,0.26740,2.92400,71.56220,2.0313,1.8597
2020-09-30,641.96800,52.18000,589.78800,379.12800,380.20400,209.58400,,209.58400,41.16800,168.41600,168.41600,,168.06400,83.80900,83.83600,2.01000,2.00000,0.23810,36.72720,29.45130,0.00870,2.85940,3.30620,0.25550,2.84870,70.19890,2.2526,2.3168
2020-06-30,620.62400,57.68800,562.93600,408.88400,410.68000,152.25600,,152.25600,24.62800,127.62800,127.62800,,127.27500,85.13550,85.16170,1.49000,1.49000,0.23170,30.42160,25.43020,0.00800,2.21650,2.58180,0.20310,2.20800,68.66030,1.488,1.2987
2020-03-31,677.00100,77.26300,599.73800,559.86600,562.33900,37.39900,,37.39900,3.09700,34.30200,34.30200,,33.60200,90.78900,90.89300,0.37000,0.37000,0.23580,9.12160,8.19550,0.00780,0.60740,0.71090,0.06500,0.60500,64.33520,2.12310,2.02990
2019-12-31,712.28410,92.44500,619.83910,435.50820,437.79620,182.04290,,182.04300,15.25800,166.78500,166.78500,,165.85400,96.84900,96.99800,1.72000,1.73000,0.21520,31.79150,28.96430,0.01100,2.79530,3.22850,0.32000,2.77200,62.94360,1.6868,1.3968
2019-09-30,714.68800,94.98500,619.70300,410.61500,413.01400,206.68900,,206.68900,41.37000,165.31900,165.31900,,164.38900,96.35700,96.47800,1.71000,1.70000,0.23350,35.44270,28.18920,0.01110,2.82200,3.26380,0.31500,2.79800,61.09130,2.0671,2.0084
2019-06-30,709.30500,94.66300,614.64200,400.83500,403.20600,211.43600,,211.43600,40.33000,171.10600,171.10600,,170.17500,96.30500,96.45700,1.77000,1.76000,0.28050,36.80660,29.62390,0.01130,3.01790,3.51220,0.33800,2.99150,59.14850,1.7755,1.6722
2019-03-31,694.39900,87.00600,607.39300,386.93300,389.24500,218.14800,,218.14800,50.22300,167.92500,167.92500,,166.99400,98.58200,98.75900,1.69000,1.69000,0.25320,38.57150,29.52680,0.01160,3.11550,3.66920,0.34500,3.08680,56.29780,1.74260,1.60630
2018-12-31,712.72210,83.33000,629.39210,436.67010,439.02310,190.36900,,190.36900,83.96600,106.40300,106.40300,,105.47200,101.14200,101.30900,1.06000,1.06000,0.28290,32.44060,17.97340,0.01230,1.97600,2.32970,0.22350,1.95770,54.38160,2.115,1.9355
