Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,168.51100,104.75400,63.75700,70.67200,75.22200,-11.46500,5.11300,-6.35200,-0.96700,-5.38500,-5.38500,-5.38500,-6.91500,-11.46500,38.76200,38.76200,-0.14000,-0.14000,3.14910,,,37.83550,-6.80370,-6.80370,-3.76950,-3.19560,0.20210,5.82320,15.45550,-0.87170,-0.94320,-0.64590,-0.87170,15.91100,0.3958,0.3432
2024-06-30,158.36700,98.08100,60.28600,65.00300,68.33200,-8.04600,4.60800,-3.43800,2.10000,-5.53800,-5.53800,-5.53800,-4.71700,-8.04600,38.67500,38.67500,-0.14000,-0.14000,3.69560,,,38.06730,-5.08060,-5.08060,-2.17090,-3.49690,0.19190,6.22150,14.46610,-0.88370,-0.95860,-0.67090,-0.88370,16.18090,0.0298,-0.0126
2024-03-31,129.10400,76.86800,52.23600,68.91600,72.33800,-20.10200,5.36900,-14.73300,-4.74600,-9.98700,-9.98700,-9.98700,-16.68000,-20.10200,38.44700,38.44700,-0.26000,-0.26000,3.71020,,,40.46040,-15.57040,-15.57040,-11.41170,-7.73560,0.15620,5.55380,16.20510,-1.59650,-1.73530,-1.20810,-1.59650,16.19180,-1.32700,-1.39570
2023-12-31,166.24300,105.42700,60.81600,74.70200,78.01700,-17.20100,5.51700,-11.68400,-1.45100,-10.23300,-10.23300,-10.23300,-13.88600,-17.20100,38.65900,38.65900,-0.26000,-0.26000,3.73990,,,36.58260,-10.34690,-10.34690,-7.02830,-6.15540,0.18930,6.52700,13.78890,-1.58580,-1.72250,-1.16490,-1.58580,16.79880,0.3896,0.347
2023-09-30,162.02600,104.62800,57.39800,69.19200,72.82900,-15.43100,4.18100,-11.25000,-2.01000,-9.24000,-9.24000,-9.24000,-11.79400,-15.43100,38.49200,38.49200,-0.24000,-0.24000,3.77200,,,35.42520,-9.52380,-9.52380,-6.94330,-5.70280,0.18370,6.70780,13.41730,-1.42300,-1.54700,-1.04750,-1.42300,16.84620,0.1961,0.1383
2023-06-30,162.86600,101.16300,61.70300,68.91000,72.37800,-10.67500,4.67400,-6.00100,2.72800,-8.72900,-8.72900,-8.72900,-7.20700,-10.67500,38.53800,38.53800,-0.23000,-0.23000,4.28590,,,37.88570,-6.55450,-6.55450,-3.68460,-5.35960,0.18430,5.93430,15.16620,-1.31480,-1.43010,-0.98800,-1.31480,17.26210,0.1225,0.0536
2023-03-31,154.79200,95.42700,59.36500,72.21900,75.42600,-16.06100,4.59500,-11.46600,-5.63300,-5.83300,-5.83300,-5.83300,-12.85400,-16.06100,39.20000,39.20000,-0.15000,-0.15000,3.93740,,,38.35150,-10.37590,-10.37590,-7.40740,-3.76830,0.17000,5.56110,16.18400,-0.85510,-0.92940,-0.64060,-0.85510,17.54700,-2.58180,-2.65480
2022-12-31,262.44900,180.72400,81.72500,72.62900,75.86800,5.85690,4.20800,10.06500,2.15300,7.91200,7.91200,7.91200,9.09590,5.85700,39.89300,40.18600,0.21000,0.21000,3.46770,,,31.13940,2.23160,2.23170,3.83500,3.01470,0.26150,15.31650,5.87600,1.10890,1.20280,0.78830,1.10890,18.17580,0.6313,0.5535
2022-09-30,323.84000,217.36000,106.48000,73.00400,75.92800,30.55200,0.74900,31.30100,9.93900,21.36200,21.36200,21.36200,33.47600,30.55200,40.08600,40.30200,0.53000,0.53000,3.51710,,,32.88040,9.43430,9.43430,9.66560,6.59650,0.32390,21.55920,4.17460,2.95070,3.20330,2.13640,2.95070,18.19140,0.9928,0.9048
2022-06-30,395.95700,256.04200,139.91500,79.84100,83.17300,56.74200,-0.61900,56.12300,13.95500,42.16800,42.16800,42.16800,60.07400,56.74200,40.04800,40.34200,1.05000,1.04000,3.89220,,,35.33590,14.33040,14.33040,14.17400,10.64960,0.40960,28.00660,3.21350,5.87980,6.39970,4.36180,5.87980,17.94540,0.3836,0.3056
2022-03-31,319.46400,196.76800,122.69600,74.53500,78.44600,44.25000,0.29000,44.54000,11.75700,32.78300,32.78300,32.78300,48.16100,44.25000,39.98900,40.47400,0.82000,0.81000,2.96910,,,38.40680,13.85130,13.85130,13.94210,10.26190,0.32590,23.05930,3.90300,4.85390,5.32230,3.34460,4.85390,16.97170,-1.66860,-1.71510
2021-12-31,495.13400,333.32700,161.80700,77.00700,79.92200,81.88500,1.64600,83.53100,21.52900,62.00200,62.00200,62.00200,84.80000,81.88500,39.88800,40.18700,1.55000,1.56000,2.69530,,,32.67940,16.53800,16.53790,16.87040,12.52230,0.47370,28.73670,3.13190,8.90440,9.56530,5.93210,8.90440,17.54270,3.8929,3.8276
2021-09-30,332.38300,219.19400,113.18900,64.67300,67.52300,45.66600,0.17900,45.84500,11.92100,33.92400,33.92400,33.92400,48.51600,45.66600,39.94000,40.24100,0.85000,0.84000,3.29320,,,34.05380,13.73900,13.73900,13.79280,10.20630,0.37980,21.61560,4.16370,5.36540,5.81590,3.87670,5.36540,15.93940,1.6411,1.6049
2021-06-30,284.94600,178.58500,106.36100,61.79700,64.75600,41.60500,1.22400,42.82900,11.29700,31.53200,31.53200,31.53200,44.56400,41.60500,39.87700,40.13900,0.79000,0.78000,3.56080,,,37.32670,14.60100,14.60100,15.03060,11.06600,0.34840,19.05480,4.72320,5.28300,5.76440,3.85590,5.28300,15.08040,1.3348,1.2931
