Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3618.00000,2019.00000,1599.00000,457.00000,-749.00000,1206.00000,393.00000,-32.00000,361.00000,78.00000,283.00000,283.00000,,283.00000,362.00000,393.00000,271.30000,272.70000,1.04000,1.04000,0.21650,0.27630,10.86240,10.86240,9.97790,7.82200,0.05370,2.63060,2.66700,0.42020,2.06120,39.72060,2.7414,2.6755
2024-06-30,3519.00000,1882.00000,1637.00000,435.00000,766.00000,-331.00000,1968.00000,-34.00000,402.00000,-85.00000,487.00000,317.00000,,317.00000,1938.00000,1968.00000,271.60000,272.60000,1.17000,1.17000,0.23130,0.30090,55.92500,55.92500,11.42370,9.00820,0.05400,3.21050,3.25860,0.48620,2.46790,36.45760,2.2604,2.1907
2024-03-31,3444.00000,1807.00000,1637.00000,444.00000,-731.00000,1175.00000,462.00000,-35.00000,427.00000,89.00000,338.00000,338.00000,,338.00000,421.00000,462.00000,271.60000,272.70000,1.24000,1.24000,0.23510,0.36430,13.41460,13.41460,12.39840,9.81420,0.05290,3.49820,3.55190,0.51940,2.67570,35.61650,1.84820,1.77480
2023-12-31,3507.00000,1810.00000,1697.00000,436.00000,-2227.00000,2663.00000,-966.00000,-34.00000,460.00000,249.00000,211.00000,367.00000,,367.00000,-988.00000,-966.00000,271.30000,272.20000,1.35000,1.35000,0.20050,0.30640,-27.54490,-27.54490,13.11660,10.46480,0.05420,3.70970,3.76530,0.56710,2.96590,36.52160,1.9128,1.8281
2023-09-30,3336.00000,1826.00000,1510.00000,426.00000,-724.00000,1150.00000,360.00000,-34.00000,326.00000,68.00000,258.00000,258.00000,,258.00000,323.00000,360.00000,271.20000,272.30000,0.95000,0.95000,0.22460,0.38220,10.79140,10.79140,9.77220,7.73380,0.05380,3.01300,3.06490,0.41650,2.33630,31.61350,3.0369,2.949
2023-06-30,3304.00000,1779.00000,1525.00000,403.00000,730.00000,-327.00000,1852.00000,-31.00000,361.00000,-78.00000,439.00000,283.00000,,283.00000,1827.00000,1852.00000,271.20000,272.00000,1.04000,1.04000,0.21460,0.36400,56.05330,56.05330,10.92620,8.56540,0.05240,3.24320,3.29840,0.44860,2.54730,32.21570,1.8437,1.7591
2023-03-31,3152.00000,1653.00000,1499.00000,379.00000,-721.00000,1100.00000,399.00000,-28.00000,371.00000,74.00000,297.00000,297.00000,,297.00000,365.00000,399.00000,271.30000,272.30000,1.10000,1.09000,0.22660,0.32100,12.65860,12.65860,11.77030,9.42260,0.05080,3.42680,3.48510,0.47860,2.65040,31.99900,1.60120,1.52770
2022-12-31,3111.00000,1694.00000,1417.00000,389.00000,-717.00000,1106.00000,311.00000,-28.00000,283.00000,44.00000,239.00000,239.00000,,239.00000,284.00000,311.00000,271.60000,272.50000,0.88000,0.89000,0.22890,0.32530,9.99680,9.99680,9.09680,7.68240,0.05100,2.79600,2.84390,0.39180,2.15590,31.55450,1.8736,1.8333
2022-09-30,2957.00000,1880.00000,1077.00000,383.00000,-717.00000,1100.00000,-23.00000,-28.00000,-51.00000,-9.00000,-42.00000,-42.00000,,-42.00000,-43.00000,-23.00000,271.40000,272.30000,-0.15000,-0.15000,0.25570,0.34350,-0.77780,-0.77780,-1.72470,-1.42040,0.04910,-0.51890,-0.52820,-0.06980,-0.38620,29.87960,2.7116,2.6527
2022-06-30,2926.00000,1601.00000,1325.00000,374.00000,-696.00000,1070.00000,255.00000,-28.00000,227.00000,37.00000,190.00000,190.00000,,190.00000,237.00000,255.00000,271.70000,272.60000,0.70000,0.69000,0.22620,0.29230,8.71500,8.71500,7.75800,6.49350,0.04700,1.99750,2.02840,0.30530,1.54570,35.05890,2.233,2.1853
2022-03-31,2885.00000,1478.00000,1407.00000,344.00000,-680.00000,1024.00000,383.00000,-28.00000,355.00000,60.00000,295.00000,295.00000,,295.00000,370.00000,383.00000,271.80000,272.90000,1.08000,1.08000,0.20440,0.25690,13.27560,13.27560,12.30500,10.22530,0.04520,2.72720,2.76480,0.46240,2.16980,39.87190,2.36350,2.31950
