Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,338.47200,279.65500,58.81700,45.37700,,45.37700,13.44000,1.44900,14.88900,3.49800,11.39100,11.39100,11.11000,15.56900,13.44000,36.27900,36.49700,0.31000,0.30000,2.81040,0.43750,1.07510,17.37720,3.97080,3.97080,4.39890,3.28240,0.19600,1.67260,2.16800,0.65970,0.94090,18.76970,-0.5101,-0.5499
2024-06-30,431.14300,366.96700,64.17600,54.21800,,54.21800,9.95800,-5.35300,4.60500,1.37000,3.23500,3.23500,2.88500,11.80800,9.95800,36.20000,36.37000,0.08000,0.08000,2.69760,0.43990,1.12070,14.88510,2.30970,2.30970,1.06810,0.66920,0.24740,0.48080,0.62140,0.18560,0.26930,18.54950,0.9141,0.8665
2024-03-31,294.04100,250.58000,43.46100,44.57000,,44.57000,-1.10900,1.81300,0.70400,-0.03000,0.73400,0.73400,0.19000,0.21100,-1.10900,36.28000,36.79900,0.01000,0.01000,2.12860,0.25940,0.86490,14.78060,-0.37720,-0.37720,0.23940,0.06460,0.19050,0.10850,0.12070,0.04760,0.08040,18.72470,-0.90310,-0.95500
2023-12-31,397.61500,331.56100,66.05400,48.79500,,48.79500,17.25900,1.49100,18.75000,5.57200,13.17800,13.17800,12.47500,18.58500,17.25900,38.88500,39.07600,0.33000,0.33000,2.36810,0.25540,0.79000,16.61260,4.34060,4.34060,4.71560,3.13750,0.27030,1.91440,2.12650,0.89570,1.42540,18.84810,0.6403,0.5928
2023-09-30,277.34800,223.06200,54.28600,42.39300,,42.39300,11.89300,0.65600,12.54900,3.06600,9.48300,9.48300,8.59600,13.11400,11.89300,38.33600,38.44000,0.22000,0.22000,2.41430,0.25130,0.78750,19.57320,4.28810,4.28810,4.52460,3.09940,0.18780,1.35190,1.49860,0.64200,1.01220,18.55930,0.3404,0.286
2023-06-30,293.24400,242.58300,50.66100,44.31400,,44.31400,6.34700,1.15900,7.50600,1.64000,5.86600,5.86600,4.94700,7.48600,6.34700,39.89200,39.97200,0.12000,0.12000,1.73430,,0.67840,17.27610,2.16440,2.16440,2.55960,1.68700,0.20850,0.82430,0.91230,0.41700,0.82430,18.16110,-0.422,-0.4725
2023-03-31,241.74000,197.76700,43.97300,39.18800,,39.18800,4.78500,0.95500,5.74000,1.61700,4.12300,4.12300,3.21800,6.20300,4.78500,39.99800,40.11700,0.08000,0.08000,1.71140,,0.72540,18.19020,1.97940,1.97940,2.37450,1.33120,0.16930,0.57860,0.64020,0.28870,0.57860,17.80700,0.13650,0.09760
2022-12-31,425.95810,348.75900,77.19900,43.53000,,43.53010,33.66900,0.74000,34.40900,7.94000,26.46900,26.46900,25.58100,34.77300,33.66900,42.05300,42.19900,0.60000,0.59000,1.69530,,0.71150,18.12360,7.90430,7.90430,8.07800,6.00550,0.29570,3.72640,4.12500,1.83750,3.72640,17.37400,2.454,2.4257
2022-09-30,335.58500,269.09900,66.48600,42.17400,,42.17400,24.31200,0.99000,25.30200,4.02100,21.28100,21.28100,19.97000,25.69400,24.31200,39.93500,40.09700,0.49000,0.49000,1.65940,,0.85500,19.81200,7.24470,7.24470,7.53970,5.95080,0.22850,3.11010,3.45690,1.44880,3.11010,16.70950,-0.9649,-0.9915
2022-06-30,368.67900,290.59400,78.08500,51.19200,,51.19200,26.89300,-3.66700,23.22600,8.37200,14.85400,14.85400,14.93500,28.33300,26.89300,43.08200,43.20000,0.34000,0.34000,1.70660,,0.80380,21.17970,7.29440,7.29440,6.29980,4.05100,0.26450,2.23320,2.49020,1.06550,2.23320,16.25220,-0.4038,-0.4451
2022-03-31,316.22700,251.07300,65.15400,41.73400,,41.73400,23.42000,-5.29200,18.12800,5.06700,13.06100,13.06100,13.06500,25.04300,23.42000,45.34700,45.50900,0.28000,0.28000,1.74380,,0.78410,20.60360,7.40610,7.40610,5.73260,4.13150,0.23710,2.07160,2.33130,0.97930,2.07160,13.69210,-0.70630,-0.73970
2021-12-31,398.48210,312.60000,85.88210,42.40000,,42.40000,43.48200,5.74200,49.22400,10.83500,38.38900,38.38900,38.39900,45.63500,43.48200,45.19900,45.25100,0.84000,0.84000,1.88460,,0.74210,21.55230,10.91190,10.91190,12.35290,9.63630,0.31490,6.17790,6.43100,3.03350,6.17790,13.42660,3.5165,3.4973
2021-09-30,214.12900,178.76800,35.36100,29.20400,,29.20400,6.15700,7.60200,13.75900,2.97700,10.78200,10.78200,10.79700,7.44400,6.15700,45.28100,45.33000,0.23000,0.23000,2.10630,,0.62420,16.51390,2.87540,2.87540,6.42560,5.04230,0.19950,1.86040,1.94240,1.00470,1.86040,12.52240,-0.8779,-0.9119
2021-06-30,250.27400,207.71700,42.55700,26.58500,,26.58500,15.97200,-1.07400,14.89800,4.24800,10.65000,10.65000,10.66400,17.01100,15.97200,45.28100,45.28100,0.23000,0.23000,2.00020,,0.69040,17.00420,6.38180,6.38180,5.95270,4.26090,0.22570,1.87650,1.96160,0.96050,1.87650,12.26290,-1.0338,-1.0473
2021-03-31,160.41900,141.62100,18.79800,24.91700,,24.91700,-6.11900,-5.03200,-11.15100,-4.06500,-7.08600,-7.08600,-7.07400,-5.20500,-6.11900,44.24600,44.24600,-0.16000,-0.16000,2.22450,,0.57390,11.71810,-3.81440,-3.81440,-6.95120,-4.40970,0.16240,-1.27300,-1.32210,-0.71750,-1.27300,12.04080,-0.86670,-0.87020
2020-12-31,284.73800,242.12400,42.61400,27.84300,,27.84300,14.77100,-0.45600,14.31500,3.65700,10.65800,10.65800,10.67100,15.66700,14.77100,32.55700,32.55700,0.33000,0.33000,2.21730,,0.50010,14.96600,5.18760,5.18760,5.02740,3.74770,0.31790,2.01290,2.09480,1.18980,2.01290,16.26340,1.9176,1.9086
2020-09-30,218.51700,188.72400,29.79300,25.28700,,25.28700,4.50600,-0.33900,4.16700,0.99300,3.17400,3.17400,3.18400,5.40500,4.50600,32.55700,32.55700,0.10000,0.10000,0.06600,,0.50000,13.63420,2.06210,2.06210,1.90690,1.45710,1.68900,63.48000,63.48000,2.45330,63.48000,0.96020,0.7903,0.7762
2020-06-30,95.05800,89.32100,5.73700,17.91600,,17.91600,-12.17900,-14.60900,-26.78800,-6.49600,-20.29200,-20.29200,-20.27000,-11.21000,-12.17900,32.55700,32.55700,-0.62000,-0.62000,0.09810,,0.30000,6.03530,-12.81220,-12.81220,-28.18070,-21.32380,0.67200,-405.83930,-405.83750,-14.34510,-405.83930,0.99010,-2.0112,-2.0291
