Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.16500,6.21500,,-26.38000,0.55700,-25.82300,-25.82300,-25.82300,-25.82300,-26.67300,-26.38000,49.38230,49.38230,-0.52000,-0.52000,14.25050,,,-14.01340,-14.01350,-11.70460,-14.01350,3.72510,-0.5581,-0.5916
2024-06-30,26.60100,8.12700,-8.23500,-42.96300,2.29500,-40.66800,-40.66800,-40.66800,-40.66800,-43.50400,-42.96300,49.17910,49.17910,-0.83000,-0.83000,5.13630,,0.12520,-19.84480,-19.84480,-14.68530,-19.84480,4.15760,-0.5956,-0.5923
2024-03-31,25.97800,8.49400,,-49.79700,2.96800,-46.82900,-46.82900,-46.82900,-46.82900,-50.23000,-49.79700,48.46020,48.46020,-0.97000,-0.97000,10.91690,0.09630,0.10650,-19.60120,-19.60120,-14.90540,-17.71400,4.87020,-0.68100,-0.96950
2023-12-31,33.25800,7.03300,,-40.29100,3.33100,-36.96000,-36.96000,-36.96000,-36.96000,-40.45500,-40.29100,40.59850,40.59850,-0.78000,-0.78000,10.61570,0.08680,0.09510,-13.91960,-13.91960,-10.73070,-12.71110,5.57050,-0.4681,-0.4764
2023-09-30,27.30800,6.60300,,-33.91100,2.09600,-31.81500,-31.81500,-31.81500,-31.81500,-34.37600,-33.91100,39.03960,39.03960,-0.81000,-0.81000,17.57540,0.07740,0.08380,-10.65370,-10.65370,-8.66970,-9.82950,6.29780,-0.6585,-0.7087
2023-06-30,22.95300,7.23100,,-30.18400,2.28200,-27.90200,-27.90200,-27.90200,-27.90200,-30.24000,-30.18400,37.95170,37.95170,-0.74000,-0.74000,13.79860,0.10200,0.11350,-12.75440,-12.75440,-9.73820,-11.45410,5.74950,-0.5884,-0.7156
2023-03-31,23.16400,5.79500,,-28.95900,2.07000,-26.88900,-26.88900,-26.88900,-26.88900,-28.47200,-28.95900,37.75350,37.75350,-0.71000,-0.71000,14.00190,0.05780,0.06130,-11.06270,-11.06270,-8.93440,-10.42360,6.42300,-0.42260,-0.50160
2022-12-31,17.55600,5.54300,,-23.09900,1.91100,-21.18800,-21.18800,-21.18800,-21.18800,-22.67700,-23.09900,27.14730,27.14730,6.65000,6.65000,22.27600,0.05240,0.05540,-7.92880,-7.92880,-6.67950,-7.51290,7.09660,-1.1187,-1.2867
2022-09-30,13.31500,4.57700,,-17.89200,1.08700,-16.80500,-16.80500,-16.80500,-16.80500,-17.38600,-17.89200,37.32360,37.32360,-0.45000,-0.45000,34.76820,0.01620,0.01650,-5.85150,-5.85150,-5.21770,-5.75650,9.09900,-0.2623,-0.24
2022-06-30,8.82600,3.98200,,-12.80800,-41.12100,-53.92900,-53.92900,-53.92900,-53.92900,-12.30900,-12.80800,26.51290,26.51290,-2.03000,-2.03000,25.54000,0.01530,0.01550,-17.78930,-17.78930,-15.80420,-17.51790,9.68200,0.6853,0.9615
2022-03-31,6.21100,2.60300,,-11.31400,-56.57300,-67.88700,-67.88700,-67.88700,-67.88700,-11.30100,-11.31400,6.74870,6.74870,-10.06000,-10.06000,0.39490,,-1.04140,40.31970,40.31970,-59.18860,40.31970,-24.41240,-1.58770,-1.95820
2021-12-31,8.38100,2.69200,,-11.07300,-26.25400,-37.32700,-37.32700,-37.32700,-37.32700,-11.07100,-11.07300,5.61920,5.61920,-7.53000,-7.53000,0.54750,,-1.57090,37.04660,37.04660,-29.35460,37.04660,-15.26620,-0.7953,-0.8445
2021-09-30,0.89600,1.11300,,-39.67500,-22.19300,-61.86800,-61.86800,-61.86800,-61.86800,-39.67500,-39.67500,6.16650,6.16650,-10.03000,-10.03000,,,,,,,,,-0.1917,-0.641
2021-06-30,0.46000,0.75300,,-1.21300,-0.45400,-1.66700,-1.66700,-1.66700,-1.66700,-1.21300,-1.21300,4.93570,4.93570,-0.34000,-0.34000,,,,,,,,,-0.2244,-0.2256
2021-03-31,0.26700,1.19800,,-1.46500,-0.08100,-1.54600,-1.54600,-1.54600,-1.54600,-1.46500,-1.46500,4.80290,4.80290,-0.32000,-0.32000,,,,,,,,,-0.08680,-0.08680
