Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6545.00000,6014.00000,531.00000,216.00000,234.00000,297.00000,-33.00000,264.00000,50.00000,214.00000,214.00000,,214.00000,428.00000,297.00000,394.00000,400.00000,0.54000,0.54000,1.43470,0.38850,0.74140,8.11310,4.53780,4.53780,4.03360,3.26970,0.35210,1.10030,1.86890,48.15590,4.27740,5.88880,1.15140,2.61580,12.83560,0.8202,0.563
2024-06-30,6314.00000,5843.00000,471.00000,213.00000,238.00000,233.00000,-41.00000,192.00000,53.00000,139.00000,139.00000,,139.00000,359.00000,233.00000,402.00000,411.00000,0.35000,0.34000,1.39900,0.34850,0.64350,7.45960,3.69020,3.69020,3.04090,2.20150,0.35600,1.00070,2.13890,42.07790,2.78220,3.83240,0.78370,1.81270,12.50930,0.82730,0.56450
2024-03-31,5487.00000,5259.00000,228.00000,202.00000,219.00000,9.00000,-47.00000,-38.00000,-329.00000,291.00000,291.00000,104.00000,395.00000,156.00000,9.00000,435.00000,441.00000,0.92000,0.91000,1.52150,0.37980,0.61240,4.15530,0.16400,0.16400,-0.69250,7.19880,0.30050,0.84750,1.80910,49.74850,5.46480,7.37640,1.59390,3.38920,13.04820,1.5229,1.3594
2023-12-31,7103.00000,6461.00000,642.00000,264.00000,294.00000,348.00000,-41.00000,307.00000,74.00000,233.00000,233.00000,,197.00000,478.00000,348.00000,431.00000,436.00000,0.46000,0.45000,1.58500,0.34740,0.53280,9.03840,4.89930,4.89930,4.32210,2.77350,0.34880,0.94810,1.97030,45.67790,3.61520,4.82300,1.14410,2.35930,15.08240,0.6736,0.3617
2023-09-30,6933.00000,6414.00000,519.00000,221.00000,238.00000,281.00000,-48.00000,233.00000,32.00000,201.00000,201.00000,205.00000,228.00000,408.00000,281.00000,443.00000,448.00000,0.51000,0.51000,1.53010,0.34930,0.53680,7.48590,4.05310,4.05310,3.36070,3.28860,0.33060,0.89510,1.82400,49.34230,3.16240,4.23690,0.95860,2.05770,14.51430,0.7971,0.4703
2023-06-30,6892.00000,6416.00000,476.00000,235.00000,261.00000,215.00000,-51.00000,164.00000,17.00000,147.00000,147.00000,64.00000,186.00000,348.00000,215.00000,447.00000,455.00000,0.42000,0.41000,1.46080,0.37310,0.62130,6.90660,3.11960,3.11960,2.37960,2.69880,0.32920,0.85250,1.83100,49.15260,2.54060,3.54820,0.70210,1.59260,12.88540,0.01320,-0.32970
2023-03-31,5633.00000,5366.00000,267.00000,145.00000,168.00000,99.00000,-58.00000,41.00000,28.00000,13.00000,13.00000,,142.00000,229.00000,99.00000,454.00000,462.00000,0.32000,0.32000,1.47540,0.38310,0.64740,4.73990,1.75750,1.75750,0.72790,2.52090,0.26310,0.72630,1.61870,55.60090,0.22780,0.30570,0.06070,0.14050,12.67650,0.967,0.5835
2022-12-31,7756.00000,7173.00000,583.00000,243.00000,262.00000,321.00000,-59.00000,262.00000,25.00000,237.00000,237.00000,,230.00000,445.00000,321.00000,452.00000,459.00000,0.51000,0.50000,1.35580,0.43880,0.89150,7.51680,4.13870,4.13870,3.37800,2.96540,0.37120,0.91520,1.96900,45.70780,5.26080,8.36570,1.13440,2.95250,9.97460,0.7828,0.4394
2022-09-30,7766.00000,7175.00000,591.00000,245.00000,266.00000,325.00000,-53.00000,272.00000,34.00000,238.00000,238.00000,,232.00000,448.00000,325.00000,455.00000,460.00000,0.51000,0.50000,1.28680,0.42430,0.95620,7.61010,4.18490,4.18490,3.50240,2.98740,0.37660,0.92870,1.96310,45.84600,5.69380,9.41830,1.15410,3.27780,9.21440,0.2253,-0.1846
2022-06-30,7347.00000,6812.00000,535.00000,241.00000,263.00000,272.00000,-40.00000,232.00000,37.00000,195.00000,195.00000,,189.00000,396.00000,272.00000,458.00000,468.00000,0.41000,0.40000,1.30690,0.43340,0.99610,7.28190,3.70220,3.70220,3.15780,2.57250,0.36640,0.94050,1.94260,46.32910,4.76660,8.18300,0.97240,2.70080,8.94120,0.08120,-0.11320
