Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,200.22100,39.25700,160.96400,145.36300,145.36300,15.60100,3.00700,18.60800,8.00100,10.60700,10.60700,10.60700,21.16000,15.60100,19.07800,19.08300,0.56000,0.56000,3.93100,,,80.39320,7.79190,7.79190,9.29370,5.29760,0.29830,0.61350,1.98970,2.17960,1.58010,1.98970,27.97480,1.553,1.4292
2024-06-30,212.86900,40.33300,172.53600,154.69600,154.69600,17.84000,2.36300,20.20300,9.77100,10.43200,10.43200,10.43200,23.54200,17.84000,19.07300,19.15900,0.55000,0.54000,4.03370,,,81.05270,8.38070,8.38070,9.49080,4.90070,0.33710,0.65230,2.03670,2.23510,1.65220,2.03670,26.88620,0.4239,0.2833
2024-03-31,227.80000,43.06900,184.73100,160.05800,160.05800,24.67300,2.43800,27.11100,10.57400,16.53700,16.53700,16.53700,29.75700,24.67300,19.17400,19.30200,0.86000,0.86000,3.73850,,0.00260,81.09350,10.83100,10.83100,11.90120,7.25940,0.36200,0.70760,3.30750,3.64270,2.62790,3.30750,26.25020,0.91610,0.75040
2023-12-31,221.08300,42.31900,178.76400,154.54500,154.54500,24.21900,2.39200,26.61100,9.84500,16.76600,16.76600,16.76600,29.09000,24.21900,19.25000,19.34500,0.88000,0.87000,3.51500,,0.00160,80.85830,10.95470,10.95470,12.03670,7.58360,0.34940,0.68860,3.37210,3.72430,2.64970,3.37210,25.99070,1.3484,0.9694
2023-09-30,213.36500,42.52900,170.83600,153.22900,153.22900,17.60700,2.92400,20.53100,9.18400,11.34700,11.34700,11.34700,22.76600,17.60700,19.24500,19.37200,0.59000,0.59000,3.46890,,,80.06750,8.25210,8.25210,9.62250,5.31810,0.35490,0.70790,2.41220,2.67540,1.88760,2.41220,24.59960,1.151,1.0751
2023-06-30,238.20200,43.32600,194.87600,170.47600,170.47600,24.40000,2.41000,26.81000,9.51800,17.29200,17.29200,17.29200,29.54100,24.40000,19.32100,19.42700,0.89000,0.89000,3.40520,,,81.81120,10.24340,10.24340,11.25520,7.25940,0.39520,0.69920,3.68840,4.09790,2.86920,3.68840,24.29390,0.4882,0.3038
2023-03-31,248.36000,48.51900,199.84100,172.99600,172.99600,26.84500,1.65600,28.50100,10.11800,18.38300,18.38300,18.38300,32.06900,26.84500,19.28300,19.32800,0.95000,0.95000,3.04000,,,80.46420,10.80890,10.80890,11.47570,7.40180,0.41020,0.75230,4.03710,4.52810,3.03580,4.03710,23.60080,0.66400,0.55490
2022-12-31,227.96000,46.43000,181.53000,158.97900,158.97900,22.55100,0.25100,22.80200,10.00700,12.79500,12.79500,12.79500,27.80300,22.55100,19.25400,19.31000,0.66000,0.66000,2.67240,,,79.63240,9.89250,9.89250,10.00260,5.61280,0.38210,0.69210,2.94500,3.32620,2.14480,2.94500,22.62170,2.0855,1.9167
2022-09-30,233.30000,46.56000,186.74000,164.11000,164.11000,22.63000,0.59400,23.22400,8.29500,14.92900,14.92900,14.92900,28.05500,22.63000,19.22100,19.25200,0.78000,0.78000,2.71090,,,80.04290,9.70000,9.70000,9.95460,6.39910,0.41960,0.69210,3.63150,4.12590,2.68480,3.63150,21.41360,1.5121,1.3262
2022-06-30,264.47400,49.51700,214.95700,185.59100,185.59100,29.36600,-0.05800,29.30800,10.15100,19.15700,19.15700,19.15700,34.49300,29.36600,19.21500,19.24400,1.00000,1.00000,2.56000,,,81.27720,11.10360,11.10360,11.08160,7.24340,0.47400,0.58830,4.74560,5.44490,3.43340,4.74560,21.02940,0.7718,0.68
2022-03-31,272.86700,51.38300,221.48400,188.41700,188.41700,33.06700,0.22000,33.28700,10.81800,22.46900,22.46900,22.46900,38.67300,33.06700,19.35100,19.48100,1.16000,1.15000,2.30290,,0.02560,81.16920,12.11840,12.11840,12.19900,8.23440,0.47630,0.52660,5.76210,6.56680,3.92180,5.76210,20.32560,1.01130,0.91960
2021-12-31,267.29900,52.51800,214.78100,183.27600,183.27610,31.50490,0.14100,31.64600,11.32600,20.32000,20.32000,20.32000,37.16600,31.50490,20.14600,20.34300,1.05000,1.05000,2.27080,,,80.35230,11.78640,11.78640,11.83920,7.60200,0.46270,0.53420,5.14270,5.85570,3.51720,5.14270,20.37460,1.1812,1.0306
2021-09-30,274.35200,50.71500,223.63700,182.86700,182.86700,40.77000,-0.42000,40.35000,13.02000,27.33000,27.33000,27.33000,46.25400,40.77000,19.96100,20.15600,1.37000,1.36000,2.33230,,,81.51460,14.86050,14.86050,14.70740,9.96170,0.47390,0.52650,6.84830,7.78060,4.72060,6.84830,20.31350,1.9013,1.5783
2021-06-30,336.83700,57.01400,279.82300,226.10300,226.10300,53.72000,0.59000,54.31000,16.07600,38.23400,38.23400,38.23400,59.27800,53.72000,20.24700,20.44600,1.89000,1.87000,2.49350,,,83.07370,15.94840,15.94840,16.12350,11.35090,0.56950,0.63640,9.13330,10.31490,6.46450,9.13330,20.79180,1.9448,1.8668
2021-03-31,307.97600,57.65100,250.32500,206.12800,206.12800,44.19700,0.13900,44.33600,13.71500,30.62100,30.62100,30.62100,49.68700,44.19700,20.89200,21.09600,1.47000,1.45000,2.46400,,,81.28070,14.35080,14.35080,14.39590,9.94270,0.52690,0.65780,7.60250,8.62270,5.23870,7.60250,19.72270,0.93190,0.85680
