Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,2.24200,0.84700,,-3.08900,-15.42000,-18.50900,1.13300,-19.64200,-19.64200,-19.61900,-3.03700,-3.08900,40.89700,40.89700,-0.48000,-0.48000,27.07640,,,,,,,,-12.62970,-12.62970,-11.89840,-12.62970,3.86770,-0.1734,-0.1735
2024-06-30,,,,1.44200,1.69300,,-3.13500,13.97300,10.83800,1.63400,9.20400,9.20400,9.21200,-3.08100,-3.13500,40.96000,41.59100,0.22000,0.22000,41.05810,,,,,,,,5.22500,5.22500,4.99610,5.22500,4.33570,0.0499,0.05
2024-03-31,,,,1.17900,1.78300,,-2.96200,4.49600,1.53400,,1.53400,1.53400,1.53400,-2.90600,-2.96200,40.83600,41.56400,0.04000,0.04000,5.27760,0.19330,,,,,,,0.92570,0.92570,0.75320,0.92570,4.09000,-0.03550,-0.03560
2023-12-31,,,,1.76600,2.11100,,-3.87700,17.17300,13.29600,,13.29600,13.29600,13.55200,-3.82400,-3.87700,40.31500,40.56700,0.33000,0.33000,3.05530,0.31320,,,,,,,8.16240,8.16240,6.02850,8.16240,4.03810,-0.0343,-0.0343
2023-09-30,,,,0.95700,1.93600,,-2.89300,-0.39100,-3.28400,,-3.28400,-3.28400,-3.22200,-2.83900,-2.89300,40.44600,40.44600,-0.08000,-0.08000,2.24760,0.50840,,,,,,,-2.21550,-2.21550,-1.42230,-2.21550,3.67970,-0.0161,-0.0168
2023-06-30,0.67400,,0.67400,1.82100,2.64400,,-3.79100,2.47800,-1.31300,,-1.31300,-1.31300,-1.19400,-3.73900,-3.79100,40.22600,40.22600,-0.03000,-0.03000,141.49020,,100.00000,-562.46280,-562.46280,-194.80710,-177.15130,0.00430,-0.87150,-0.87150,-0.84000,-0.87150,3.74590,-0.0648,-0.0653
2023-03-31,0.66600,,0.66600,4.42700,1.44700,,-5.20800,1.59700,-3.61100,,-3.61100,-3.61100,-3.61100,-5.17100,-5.20800,40.04100,40.04100,-0.08000,-0.08000,31.20620,,100.00000,-781.98200,-781.98200,-542.19220,-542.19220,0.00420,-2.40500,-2.40500,-2.26000,-2.40500,3.75650,-0.13860,-0.14360
2022-12-31,0.68100,,0.68100,7.27700,3.14400,,-9.74000,1.00400,-8.73600,,-8.73600,-8.73600,-8.26000,-9.72300,-9.74000,38.99800,38.99800,-0.22000,-0.22000,27.34230,,100.00000,-1430.25000,-1430.25000,-1282.81900,-1212.92200,0.00420,-5.77950,-5.77950,-5.40450,-5.77950,3.82050,-0.2081,-0.2154
2022-09-30,0.68200,,0.68200,5.34700,3.52400,,-8.18900,1.03600,-7.15300,0.10000,-7.25300,-7.25300,-7.06000,-8.17400,-8.18900,39.10000,39.10000,-0.18000,-0.18000,24.54740,,100.00000,-1200.73300,-1200.73300,-1048.82700,-1035.19100,0.00410,-4.73600,-4.73600,-4.41080,-4.73600,3.91550,-0.0537,-0.0568
2022-06-30,0.67400,,0.67400,9.17900,2.91200,,-11.41700,0.35000,-11.06700,,-11.06700,-11.06700,-10.53300,-11.40200,-11.41700,38.79500,38.79500,-0.27000,-0.27000,21.01430,,100.00000,-1693.91700,-1693.91700,-1641.98800,-1562.76000,0.00420,-7.23160,-7.23160,-6.81920,-7.23160,3.96840,-0.2182,-0.2187
