Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,58.28000,58.28000,12.76200,-11.62200,,8.98100,14.68100,23.66200,6.22000,17.44200,17.44200,17.44200,34.10400,8.98100,30.07600,32.98800,0.56000,0.53000,0.74680,0.16790,0.20180,100.00000,15.41010,15.41010,40.60060,29.92790,0.07370,1.60290,56.14650,3.35170,3.35170,2.20440,2.78900,15.93440,1.3889,0.8644
2024-06-30,66.59800,66.59800,12.19700,-12.27200,,16.81400,-2.20800,14.60600,3.67800,10.92800,10.92800,10.92800,42.32800,16.81400,30.04620,33.02680,0.36000,0.33000,0.82790,0.18150,0.22180,100.00000,25.24700,25.24700,21.93160,16.40890,0.08560,1.43780,62.59510,2.10760,2.10760,1.40390,1.72500,15.89040,0.9413,-0.0983
2024-03-31,61.19300,61.19300,12.77800,-11.79100,,13.07900,-15.99600,-2.91700,-0.73100,-2.18600,-2.18600,-2.18600,36.81200,13.07900,29.93400,29.93400,-0.07000,-0.07000,0.87600,0.15790,0.18750,100.00000,21.37340,21.37340,-4.76690,-3.57230,0.08160,1.48220,60.72170,-0.41820,-0.41820,-0.29160,-0.35220,16.08410,1.31690,0.24070
2023-12-31,69.30200,69.30200,12.77700,-11.13300,,19.88000,15.59600,35.47600,15.55900,19.91700,19.91700,19.91700,45.56100,19.88000,29.55700,29.55700,0.70000,0.70000,0.96590,0.12910,0.14820,100.00000,28.68610,28.68610,51.19040,28.73940,0.09050,1.54300,58.32950,3.64510,3.64510,2.60020,3.17450,16.65260,1.0834,-0.3876
2023-09-30,55.05400,55.05400,10.11800,-9.98500,,15.93800,-18.20000,-2.26200,-0.79600,-1.46600,-1.46600,-1.46600,35.11500,15.93800,29.66000,29.66000,-0.05000,-0.05000,0.49740,0.09380,0.10350,100.00000,28.94980,28.94980,-4.10870,-2.66280,0.07430,1.44130,62.44450,-0.27090,-0.27090,-0.19780,-0.24550,16.49420,1.3535,0.0505
2023-06-30,51.58800,51.58800,10.80800,-9.31600,,12.71600,3.71600,16.43200,6.81200,9.62000,9.62000,9.62000,31.62600,12.71600,29.65980,33.07780,0.29000,0.29000,0.91770,0.06850,0.07350,100.00000,24.64910,24.64910,31.85240,18.64780,0.07350,1.95410,46.05720,1.72480,1.72480,1.37090,1.60670,16.99800,1.0435,0.5013
2023-03-31,57.96100,57.96100,44.08900,-9.08000,,-13.68000,6.23600,-7.44400,40.37100,-47.81500,-47.81500,-49.64700,4.95200,-13.68000,29.66400,29.66400,-1.67000,-1.67000,1.51990,0.07400,0.07990,100.00000,-23.60210,-23.60210,-12.84310,-85.65590,0.08400,1.90690,47.19790,-8.49120,-8.49120,-6.93040,-7.86280,17.17020,1.32190,0.55560
2022-12-31,61.01600,67.88200,25.24700,-8.65100,29.67900,38.20300,-14.63400,23.56900,0.00000,23.56900,23.56900,23.56900,55.11300,38.20300,438.62500,438.62500,0.05000,0.05000,1.48190,0.07840,0.08500,60.22850,62.61150,62.61150,38.62760,38.62760,0.09240,1.47410,61.05560,4.17580,4.17580,3.56840,3.84850,,0.0841,0.0319
2022-09-30,77.09800,77.09800,-4.94800,-8.32300,,55.94600,29.79300,85.73900,,85.73900,85.73900,,73.85300,55.94600,438.62500,438.62500,0.19000,0.19000,,,,100.00000,72.56480,72.56480,111.20780,,,,,,,,,,0.1199,0.0701
2022-06-30,78.79700,71.93100,19.92500,-7.66100,42.58000,29.35100,-12.59900,16.75200,0.00000,16.75200,16.75200,16.75200,44.47200,29.35100,438.62500,438.62500,0.04000,0.04000,,,,91.28650,37.24890,37.24890,21.25970,21.25970,,,,,,,,,0.0728,0.0257
2022-03-31,64.97900,64.97900,13.93200,-6.49800,,30.36600,-37.52300,-7.15700,,-7.15700,-7.15700,,44.63200,30.36600,438.62500,438.62500,-0.02000,-0.02000,,,,100.00000,46.73200,46.73200,-11.01430,,,,,,,,,,0.05840,0.01470
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
