Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,3.41200,2.97300,,-6.38500,-0.84500,-7.23000,-7.23000,-7.23000,,-7.23000,-6.38100,-6.38500,125.77300,125.77300,-0.06000,-0.06000,13.30420,,,,,,,,,,-9.81260,-9.81260,-9.09700,-9.81260,0.58570,-0.0377,-0.0378
2024-06-30,,,,3.55300,3.55200,,-7.10500,1.05600,-6.04900,-6.04900,-6.04900,,-6.04900,-7.10100,-7.10500,125.73200,125.73200,-0.05000,-0.05000,14.34660,,,,,,,,,,-7.54600,-7.54600,-7.04540,-7.54600,0.64420,-0.0359,-0.036
2024-03-31,,,,3.74800,3.23200,,-6.98000,1.10200,-5.87800,-5.87800,-5.87800,,-5.87800,-6.97500,-6.98000,125.32000,125.32000,-0.05000,-0.05000,16.33920,,,,,,,,,,-6.85410,-6.85410,-6.45320,-6.85410,0.69060,-0.03750,-0.03750
2023-12-31,,,,5.65400,3.36400,,-9.01800,1.26400,-7.75400,-7.75400,-7.75400,,-7.75400,-9.00400,-9.01800,126.08200,126.08200,-0.06000,-0.06000,17.61250,,,,,,,,,,-8.51940,-8.51940,-8.05590,-8.51940,0.73410,-0.0439,-0.0439
2023-09-30,,,,4.46700,3.00100,,-7.46800,1.23900,-6.22900,-6.22900,-6.22900,,-6.22900,-7.46500,-7.46800,125.79300,125.79300,-0.05000,-0.05000,28.35310,,,,,,,,,,-6.37770,-6.33990,-6.12520,-6.33990,0.78410,-0.0315,-0.0315
2023-06-30,,,,3.70500,4.08800,,-7.79300,-2.03700,-9.83000,-9.83000,-9.83000,,-9.83000,-7.79000,-7.79300,126.62300,126.62300,-0.08000,-0.08000,30.47820,,,,,,,,,,-9.42520,-9.37290,-9.07200,-9.37290,0.82900,-0.0352,-0.0353
2023-03-31,,,,3.50800,3.59000,,-7.09800,0.81700,-6.28100,-6.28100,-6.28100,,-6.28100,-7.09500,-7.09800,126.62400,126.62400,-0.05000,-0.05000,37.65930,,,,,,,,,,-5.57450,-5.54580,-5.40530,-5.54580,0.89440,-0.05550,-0.05550
2022-12-31,,,,4.99100,3.15300,,-8.14400,0.65300,-7.49100,-7.49100,-7.49100,,-7.49100,-8.14200,-8.14400,126.62400,126.62400,-0.06000,-0.06000,21.22790,,,,,,,,,,-6.35020,-6.35020,-6.06400,-6.35020,0.93160,-0.0358,-0.0358
2022-09-30,,,,5.16000,3.04500,,-8.20500,0.19400,-8.01100,-8.01100,-8.01100,,-8.01100,-8.20300,-8.20500,126.62400,126.62400,-0.06000,-0.06000,43.02480,,,,,,,,,,-6.49850,-6.46800,-6.32160,-6.46800,0.97810,-0.0427,-0.0428
2022-06-30,,,,3.43300,3.16200,,-6.59500,-0.07700,-6.67200,-6.67200,-6.67200,,-6.67200,-6.59300,-6.59500,126.62400,126.62400,-0.05000,-0.05000,35.18490,,,,,,,,,,-5.14520,-5.12220,-4.97730,-5.12220,1.02870,-0.047,-0.047
