Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.36600,0.36600,0.81400,2.20900,,-2.65700,0.07000,-2.58700,-2.58700,-2.58700,-2.58700,-2.65700,-2.65700,3.65200,3.65200,-0.71000,-0.71000,19.40000,,,100.00000,-725.95640,-725.95640,-706.83060,-706.83060,0.03180,15.91300,5.65570,-23.69050,-23.69050,-22.47610,-23.69050,2.99010,-0.8376,-0.8376
2024-06-30,1.55200,1.55200,2.83400,2.00100,-2.61800,-5.90100,0.09000,-5.81100,-5.81100,-5.81100,-5.81100,-5.74000,-5.90100,3.65200,3.65200,-1.59000,-1.59000,6.33040,,,100.00000,-380.21910,-380.21910,-374.42010,-374.42010,0.09840,2.44410,36.82350,-43.65890,-43.65890,-36.82510,-43.65890,3.64460,-1.0069,-1.0737
2024-03-31,5.88500,5.88500,3.51200,1.62600,,0.74700,0.07800,0.82500,0.82500,0.82500,0.82500,1.02100,0.74700,3.65200,3.65200,0.23000,0.23000,5.59220,,,100.00000,12.69330,12.69330,14.01870,14.01870,0.19360,10.32460,8.71710,4.33800,4.33800,2.71460,4.33800,5.20760,-0.74450,-0.78670
2023-12-31,2.20200,2.20200,3.51600,0.91100,,-2.22500,0.14200,-2.08300,-2.08300,-2.08300,-2.08300,-2.01700,-2.22500,3.65200,3.65200,-0.58000,-0.58000,5.33210,,,100.00000,-101.04450,-101.04450,-94.59580,-94.59580,0.06480,2.37280,37.92920,-11.57540,-11.57540,-6.13400,-11.57540,4.92740,-0.5507,-0.6342
2023-09-30,1.75300,1.75300,3.96300,1.72900,,-3.93900,0.16500,-3.77400,-3.77400,-3.77400,-3.77400,-3.51300,-3.93900,3.65200,3.65200,-1.03000,-1.03000,5.24480,,,100.00000,-224.70050,-224.70050,-215.28810,-215.28810,0.04770,2.08440,43.17740,-18.98300,-18.98300,-10.26380,-18.98300,5.44390,-1.1342,-1.2199
2023-06-30,1.84400,1.84400,4.16500,1.67000,,-3.99100,0.17500,-3.81600,-3.81600,-3.81600,-3.81600,-3.55100,-3.99100,3.65200,3.65200,-1.04000,-1.04000,7.61220,,,100.00000,-216.43170,-216.43170,-206.94140,-206.94140,0.05870,4.41150,20.40130,-16.27360,-16.27360,-12.15560,-16.27360,6.42090,-1.3424,-1.3583
2023-03-31,1.49900,1.49900,3.87400,2.21000,,-4.58500,0.13700,-4.44800,-4.44800,-4.44800,-4.44800,-4.18400,-4.58500,3.65100,3.65100,-1.22000,-1.22000,6.93150,,,100.00000,-305.87060,-305.87060,-296.73120,-296.73120,0.04160,2.02570,44.42960,-16.46800,-16.46800,-12.33530,-16.46800,7.39590,-1.34980,-1.34980
2022-12-31,1.70800,1.70800,4.46700,1.56600,,-4.32500,0.10900,-4.21600,-4.21600,-4.21600,-4.21600,-3.93600,-4.32500,3.44800,3.44800,-1.14000,-1.14000,7.59600,,,100.00000,-253.22000,-253.21990,-246.83840,-246.83840,0.04170,1.31590,68.39580,-13.55240,-13.55240,-10.29470,-13.55240,8.54880,-1.4993,-1.502
2022-09-30,1.87200,1.87200,5.28700,1.68500,,-5.10000,0.04800,-5.05200,-5.05200,-5.05200,-5.05200,-4.71200,-5.10000,3.47800,3.47800,-1.45000,-1.45000,6.83510,,,100.00000,-272.43590,-272.43590,-269.87180,-269.87180,0.04030,3.93280,22.88460,-14.41530,-14.41530,-10.87620,-14.41530,9.63070,-0.9394,-0.9388
2022-06-30,1.33100,1.33100,4.33700,1.55300,,-4.55900,-0.03600,-4.59500,-4.59500,-4.59500,-4.59500,-4.16800,-4.55900,3.37200,3.37200,-1.36000,-1.36000,8.18510,,,100.00000,-342.52440,-342.52440,-345.22920,-345.22920,0.02690,2.06360,43.61380,-11.95400,-11.95400,-9.30200,-11.95400,11.34900,-1.3115,-1.3313
