Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2013-06-30,4.26470,3.77510,0.48960,9.64160,14.69570,0.00560,24.33170,-23.84210,0.71390,-23.12820,,-23.12820,-5.34250,-28.64080,-27.34160,-23.84210,-23.84210,0.07620,0.07620,-360.03600,-360.03600,1.28910,11.48070,-559.05510,-559.05510,-542.31530,-641.11250,0.03240,1.30930,68.73740,-40.01380,-82.46600,-21.76320,-40.01380,940.66270,0,0
2013-03-31,3.24100,3.37610,-0.13510,8.71880,11.70700,0.00490,20.42090,-20.55600,0.60380,-19.95220,,-19.95220,,-20.10220,-18.59010,-20.55600,-20.55600,0.07950,0.07950,-234.02340,-234.02340,1.73780,-4.16790,-634.24580,-634.24580,-615.61500,-573.58780,0.02080,1.02340,87.94470,-20.25530,-32.77770,-12.93050,-20.25530,1290.07100,0.00000,
2012-12-31,3.30470,3.29650,0.00820,11.48550,13.41080,0.00390,16.59560,-16.58740,0.98110,-26.72890,,-23.90380,,-21.39820,-19.31390,-16.58740,-16.58740,0.08160,0.08160,-237.02360,-237.02360,2.09190,0.24770,-501.93130,-501.93120,-808.81370,-584.43540,0.01850,1.31800,68.28760,-17.79380,-26.13800,-11.98490,-17.79380,1473.58100,-961.8061,-1021.249
2012-09-30,5.20730,2.83000,2.37730,13.68410,16.31320,-2.90010,30.07170,-27.69440,0.77630,-26.91810,,-29.74330,-0.52070,-30.57510,-27.08450,-27.69440,-27.69440,0.08170,0.08170,-330.03300,-330.03300,2.68790,45.65290,-531.84150,-531.84150,-516.93430,-520.12910,0.02650,2.26740,39.69310,-21.83390,-30.11300,-15.56570,-21.83390,1713.13800,0,0
2012-06-30,8.62520,2.52560,6.09960,12.31760,14.15900,-0.08490,26.56150,-20.46190,1.28120,-19.18080,,-19.18080,,-19.57760,-18.57700,-20.46190,-20.46190,0.08160,0.08160,-228.02280,-228.02280,3.02480,70.71800,-237.23470,-237.23470,-222.38110,-215.38120,0.03910,3.08160,29.20540,-12.07780,-15.82230,-8.86700,-12.07780,1986.26800,0,0
2012-03-31,7.65120,2.48980,5.16140,10.90220,13.48270,0.00470,24.38020,-19.21890,1.20370,-18.01510,,-18.01510,,-18.30740,-17.52760,-19.21890,-19.21890,0.08150,0.08150,-216.02160,-216.02160,3.35530,67.45830,-251.18800,-251.18800,-235.45540,-229.08380,0.03190,3.12640,28.78750,-10.16020,-12.92070,-7.62260,-10.16020,2209.75200,0.00000,
2011-12-31,4.64980,2.37220,2.27760,11.24880,11.84450,0.00000,23.09330,-20.81570,1.09330,-19.72250,,-19.72250,,-22.13170,-20.29660,-20.81570,-20.81570,0.08320,0.08320,-249.02490,-249.02490,3.75140,48.98220,-447.67200,-447.67210,-424.15960,-436.50630,0.01800,2.91050,30.92210,-11.12730,-13.84270,-8.55150,-11.12730,2439.98600,-517.448,-605.4111
2011-09-30,4.31400,2.14890,2.16510,9.07740,13.38910,4.12990,18.33660,-16.17150,0.46240,-15.70910,,-15.70910,,-15.95250,-14.88340,-16.17150,-16.17150,0.08350,0.08350,-177.01770,-177.01770,4.84950,50.18770,-374.86400,-374.86400,-364.14470,-345.00560,0.01630,1.57360,57.19470,-7.24350,-7.82240,-6.02400,-7.24350,2666.29300,0,0
2011-06-30,3.94900,1.99000,1.95910,7.27570,8.74660,,16.02220,-14.06320,2.19570,-11.86750,,-11.86750,,-2.65700,-1.86200,-14.06320,-14.06320,0.08380,0.08380,-21.00210,-21.00210,5.19800,49.60930,-356.11540,-356.11540,-300.51570,-47.14980,0.01430,2.07920,43.28650,-1.15350,-1.24300,-0.96310,-1.15350,2751.18400,0,0
2011-03-31,3.98880,-0.29580,4.28460,6.10090,8.14990,,14.25080,-9.96620,0.97760,-8.98860,0.00000,-8.98870,,-9.01750,-8.13350,-9.96620,-9.96620,0.08370,0.08370,-96.00960,-96.00960,5.31770,107.41660,-249.85800,-249.85800,-225.35000,-203.91200,0.01450,1.40520,64.04700,-3.90780,-4.20370,-3.27740,-3.90780,2755.27800,0.00000,
2010-12-31,4.55120,4.31320,0.23800,5.57060,7.29160,,18.61210,-18.37410,4.34310,-14.03100,1.12320,-15.15330,,-45.27470,-44.43100,-18.37410,-18.37410,0.08370,0.08370,-531.05310,-531.05310,4.93630,5.22980,-403.71880,-403.71880,-308.29110,-976.24440,0.01620,2.80410,32.09610,-19.46390,-20.90970,-16.08820,-19.46390,2777.80400,-447.9585,-459.4613
2010-09-30,4.02820,3.91160,0.11660,5.66750,6.30290,,11.97040,-11.85380,0.82220,-11.03160,-0.00640,-11.02520,,-11.27970,-10.38440,-11.85380,-11.85380,0.08370,0.08370,-123.01230,-123.01230,4.94350,2.89420,-294.27170,-294.27170,-273.85940,-257.79210,0.01240,4.47720,20.10170,-4.08550,-4.50210,-3.47540,-4.08550,3297.33400,0,0
2010-06-30,3.74070,4.41570,-0.67500,5.76410,5.29690,,11.06100,-11.73600,0.64080,-11.09530,-0.00050,-11.09570,,-10.37400,-9.70560,-11.73600,-11.73600,0.08370,0.08370,-117.01170,-117.01170,5.09230,-18.04500,-313.74200,-313.74200,-296.61250,-259.46070,0.01020,3.86400,23.29190,-3.69230,-4.75280,-2.83850,-3.69230,3355.53800,0,0
2010-03-31,3.26140,3.00440,0.25700,4.12380,7.77270,,11.89660,-11.63960,0.62440,-11.01520,0.00000,-11.01520,,-11.66420,-11.17790,-11.63960,-11.63960,0.08370,0.08370,-132.01320,-132.01320,5.69710,7.87860,-356.89120,-356.89120,-337.74550,-342.73300,0.00980,6.42170,14.01500,-4.06420,-4.35290,-3.51970,-4.06420,3427.62300,0.00000,
