Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.76900,0.39700,0.37200,0.17000,1.21000,,1.38000,-1.00800,0.68800,-0.32000,,-0.32000,-0.32000,,-0.32000,-1.00800,-1.00800,11.05200,11.05200,-0.03000,-0.03000,13.96600,,48.37450,-131.07930,-131.07930,-41.61250,-41.61250,0.01730,1.40070,64.25230,,-0.76620,-0.71890,-0.76610,,0,0
2024-06-30,0.72100,0.36100,0.36000,0.17500,1.23300,,1.40800,-1.04800,0.43600,-0.61200,,-0.61200,-0.61200,,-0.61200,-1.04800,-1.04800,11.05200,11.05200,-0.06000,-0.06000,16.24890,,49.93070,-145.35370,-145.35370,-84.88210,-84.88210,0.01610,1.03890,86.62970,,-1.44830,-1.36550,-1.44800,,0,0
2024-03-31,0.72500,0.37900,0.34600,0.18500,1.27400,-0.00100,1.46000,-1.11400,0.21200,-0.90200,,-0.90200,-0.90200,,-0.90200,-1.11400,-1.11400,11.05200,11.05200,-0.08000,-0.08000,17.00450,,47.72410,-153.65520,-153.65520,-124.41380,-124.41380,0.01600,1.18850,75.72410,,-2.10700,-1.98550,-2.10650,,0.00000,
2023-12-31,0.87100,0.36600,0.50500,0.18000,0.96900,-0.01200,1.16100,-0.65600,-1.37300,-2.01700,,-2.01700,-2.01700,,-2.01700,-0.65600,-0.65600,11.05200,11.05200,-0.18000,-0.18000,15.91190,,57.97940,-75.31580,-75.31580,-231.57300,-231.57300,0.01870,3.80350,23.66250,,-4.63410,-4.33790,-4.63270,,-0.1079,-0.1126
2023-09-30,1.07100,0.48800,0.58300,0.18300,1.28700,0.00600,1.46400,-0.88100,0.38600,-0.50700,,-0.50700,-0.50700,,-0.50700,-0.88100,-0.88100,11.05200,11.05200,-0.05000,-0.05000,13.75180,,54.43510,-82.25960,-82.25960,-47.33890,-47.33890,0.02110,1.73460,51.88470,,-1.07370,-1.00040,-1.07350,,0,0
2023-06-30,1.02500,0.45900,0.56600,0.18800,1.29800,,1.48600,-0.92000,0.35800,-0.56200,,-0.56200,-0.56200,,-0.56200,-0.92000,-0.92000,11.05200,11.05200,-0.05000,-0.05000,17.53890,,55.21950,-89.75610,-89.75610,-54.82930,-54.82930,0.02000,1.07540,83.68910,,-1.17720,-1.09870,-1.17680,,0,0
2023-03-31,1.32500,0.53300,0.79200,0.17800,1.31100,-0.00100,1.49000,-0.69800,0.38500,-0.31300,,-0.31300,-0.31300,,-0.31300,-0.69800,-0.69800,11.05200,11.05200,-0.03000,-0.03000,18.26850,,59.77360,-52.67920,-52.67920,-23.62260,-23.62260,0.02560,1.43750,62.61020,,-0.64810,-0.60540,-0.64790,,0.00000,
2022-12-31,1.10120,0.47570,0.62540,0.16280,1.13770,-0.00170,1.30220,-0.67670,1.02200,0.34670,,0.34670,0.34670,,0.34670,-0.67670,-0.67670,11.05200,11.05200,0.03000,0.03000,18.13650,,56.79750,-61.45560,-61.45560,31.48850,31.48850,0.02110,5.53350,16.26460,0.71340,0.71360,0.66510,0.71340,4.39790,-0.227,-0.2317
2022-09-30,1.57500,0.62600,0.94900,0.30380,1.31790,-0.00080,1.62250,-0.67350,-0.19520,-0.86870,,-0.86870,-0.86870,,-0.86870,-0.67350,-0.67350,11.05200,11.05200,-0.08000,-0.08000,14.88140,,60.25380,-42.76560,-42.76560,-55.15910,-55.15910,0.02970,2.66290,33.79730,,-1.77760,-1.63850,-1.77740,,0,0
2022-06-30,1.36330,0.58890,0.77440,0.32100,1.29710,0.00070,1.61730,-0.84300,-0.28650,-1.13090,,-1.13090,-1.13090,,-1.13090,-0.84300,-0.84300,11.05200,11.05200,-0.10000,-0.10000,13.31190,,56.80240,-61.83310,-61.83310,-82.95120,-82.95120,0.02550,5.80280,15.50990,,-2.29530,-2.11810,-2.29500,,0,0
2022-03-31,1.54560,0.64440,0.90120,0.32240,1.40630,-0.00020,1.72890,-0.82780,-0.27140,-1.09910,,-1.09910,-1.09910,,-1.09910,-0.82780,-0.82780,11.05220,11.05220,-0.10000,-0.10000,12.31760,,58.30880,-53.55700,-53.55700,-71.11520,-71.11520,0.02820,5.79120,15.54090,,-2.19580,-2.00890,-2.19540,,0.00000,
