Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.30200,11.30200,1.61500,-8.66400,0.87400,-0.87300,0.00100,0.00100,0.00100,0.14600,2.25600,0.87400,22.12800,24.86700,0.01000,0.01000,1.31830,7.73310,7.73310,0.00880,1.29180,0.07130,0.00160,0.00160,0.00060,0.00160,2.82710,-0.0023,-0.0023
2024-06-30,8.17900,8.17900,2.30600,-10.20500,-4.47600,-0.84000,-5.31600,-5.31600,-5.31600,-4.73000,-2.62200,-4.47600,21.81100,21.81100,-0.22000,-0.22000,0.91090,-54.72550,-54.72550,-64.99570,-57.83100,0.04190,-5.58380,-5.58380,-2.72280,-5.58380,4.31860,0.0652,0.0652
2024-03-31,22.95100,22.95100,2.04600,-25.11600,-4.35700,-0.90500,-5.26200,-5.26200,-5.26200,-3.80500,-1.75100,-4.35700,21.54200,21.54200,-0.18000,-0.18000,1.16320,-18.98390,-18.98390,-22.92710,-16.57880,0.11390,-6.08390,-6.08390,-2.61190,-6.08390,3.98080,-0.07090,-0.07090
2023-12-31,23.94500,23.94500,2.02000,-28.50400,-6.72000,2.63300,-4.08700,-4.08700,-4.08700,-2.36100,-4.33500,-6.72000,20.08700,20.08700,-0.11000,-0.11000,2.96190,-28.06440,-28.06440,-17.06830,-9.86010,0.08000,-6.19070,-6.19070,-1.36490,-6.19070,3.10100,-0.4073,-0.4073
2023-09-30,17.02500,17.02500,1.88200,-26.40800,-11.40500,-0.81700,-12.22200,-12.22200,-12.22200,-3.40900,-7.95900,-11.40500,21.23800,21.23800,-0.16000,-0.16000,2.87380,-66.98970,-66.98970,-71.78860,-20.02350,0.05240,-16.34920,-16.34920,-3.76370,-16.34920,3.51540,-0.3482,-0.3482
2023-06-30,20.44500,20.44500,1.75100,-29.51800,-10.96100,-0.61900,-11.58000,-11.58000,-11.58000,-5.72600,-7.56900,-10.96100,19.61200,19.61200,-0.29000,-0.29000,2.57390,-53.61210,-53.61210,-56.63980,-28.00690,0.06210,-14.01730,-14.01730,-3.51960,-14.01730,3.89000,-0.2341,-0.2341
2023-03-31,29.52200,29.52200,2.16900,-26.71200,0.50900,-0.21400,0.29500,0.29500,0.29500,-1.20700,3.33900,0.50900,18.18200,18.18200,-0.07000,-0.07000,2.90560,1.72410,1.72410,0.99930,-4.08850,0.08920,0.40690,0.40690,0.08910,0.40690,3.99130,0.05770,0.05770
2022-12-31,21.46700,21.46700,26.31200,,-4.88000,-0.21900,-5.09900,-5.09900,-5.09900,-2.46900,-2.31500,-4.88000,18.00300,19.82200,-0.14000,-0.11000,2.02420,-22.73260,-22.73260,-23.75270,-11.50140,0.07700,-6.60590,-6.60590,-1.82870,-6.60590,4.23950,-0.1847,-0.1847
2022-09-30,19.50600,19.50600,1.54000,-19.84000,-1.88100,1.21400,-0.66700,-0.66700,-0.66700,4.40000,0.54400,-1.88100,18.22900,20.07400,0.24000,0.22000,,-9.64320,-9.64320,-3.41950,22.55720,,,,,,,-0.2457,-0.2457
2022-06-30,18.68100,18.68100,2.91400,-17.54400,-1.78400,-0.17500,-1.95900,-1.95900,-1.95900,-0.46000,0.75600,-1.78400,17.79100,17.79100,-0.03000,-0.03000,,-9.54980,-9.54980,-10.48660,-2.46240,,,,,,,-0.167,-0.167
2022-03-31,24.30200,24.30200,2.22800,-21.96900,0.09600,21.58000,21.67600,21.67600,21.67600,0.54900,2.54600,0.09600,17.85400,19.75700,0.04000,0.03000,,0.39500,0.39500,89.19430,2.25910,,,,,,,0.22260,0.22260
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
