Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,32.59800,13.23800,-45.83600,11.95100,-33.88500,0.09200,-33.97700,-33.97700,-33.97700,-51.55000,-45.83600,57.21000,57.21000,-0.59000,-0.59000,27.62610,-3.78870,-3.78870,-3.64080,-3.78870,15.66360,-0.1775,-0.1879
2024-06-30,22.05000,11.26600,-33.31600,7.33500,-25.98100,0.05300,-26.03400,-26.03400,-26.03400,-36.26800,-33.31600,49.41300,49.41300,-0.53000,-0.53000,41.37960,-2.82660,-2.82660,-2.74900,-2.82660,16.10310,-0.492,-0.5004
2024-03-31,20.67900,11.33600,-32.01500,6.00800,-26.00700,0.02900,-26.03600,-26.03600,-26.03600,-35.07000,-32.01500,46.57000,46.57000,-0.56000,-0.56000,19.05200,-6.05740,-6.05740,-5.69440,-6.05740,9.22000,-0.73180,-0.73530
2023-12-31,20.04200,10.95200,-30.99400,6.17900,-24.81500,-0.31200,-24.50300,-24.50300,-24.50300,-33.24600,-30.99400,36.73300,36.73300,-0.46000,-0.46000,19.14340,-5.40950,-5.40950,-5.08340,-5.40950,9.76070,-0.6565,-0.6891
2023-09-30,17.51500,8.63000,-26.14500,2.68800,-23.45700,0.40500,-23.86200,-23.86200,-23.86200,-27.72700,-26.14500,38.31600,38.31600,-0.62000,-0.62000,10.45040,-12.36600,-12.36600,-11.02830,-12.36600,5.37380,-0.5349,-0.5563
2023-06-30,19.41100,6.57600,-25.98700,2.82500,-23.16200,0.11800,-23.28000,-23.28000,-23.28000,-27.55700,-25.98700,38.25300,38.25300,-0.61000,-0.61000,15.20160,-10.85750,-10.85750,-10.14700,-10.85750,5.98990,-0.1223,-0.1273
2023-03-31,13.13500,6.51400,-19.64900,1.69900,-17.95000,0.02500,-17.97500,-17.97500,-17.97500,-19.92500,-19.64900,23.88500,23.88500,-0.75000,-0.75000,22.37370,-7.60520,-7.60520,-7.26690,-7.60520,6.18020,-0.85020,-0.85020
2022-12-31,8.36000,4.59600,-12.95600,0.90100,-12.05500,-0.18000,-11.87500,-11.87500,-11.87500,-13.36200,-12.95600,3.19500,3.19500,-3.48000,-3.48000,7.15520,10.31350,-13.99780,-12.13650,-13.99780,24.17640,-3.9768,-3.9995
2022-09-30,9.16000,3.53300,-12.69300,0.34900,-12.34400,0.07300,-12.41700,-12.41700,-12.41700,-12.89700,-12.69300,3.26000,3.26000,-3.81000,-3.81000,,,,,,,-2.9502,-2.9722
2022-06-30,10.18100,3.77900,-13.96000,0.07600,-13.88400,0.06400,-13.94800,-13.94800,-15.46300,-14.03100,-13.96000,3.14500,3.14500,-4.92000,-4.92000,,,,,,,-3.0334,-3.0157
2022-03-31,8.49200,4.46000,-12.95200,-0.06900,-13.02100,0.06000,-13.08100,-13.08100,-13.08100,-12.89900,-12.95200,3.02100,3.02100,-4.33000,-4.33000,,,,,,,-4.47470,-4.49620
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
