Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.72200,5.44900,-23.17100,1.78700,-21.38400,,-21.38400,-21.38400,-21.38400,-23.06800,-23.17100,32.58200,32.58200,-0.66000,-0.66000,8.46930,-15.55710,-15.55710,-12.56150,-15.55710,4.21770,-0.7328,-0.7385
2024-06-30,25.06300,5.36200,-30.42500,2.09000,-28.33500,,-28.33500,-28.33500,-28.33500,-29.22200,-30.42500,32.46900,32.46900,-0.87000,-0.87000,7.45370,-18.27590,-18.27590,-14.64270,-18.27590,4.76310,-0.4113,-0.4121
2024-03-31,14.73200,5.06600,-19.79800,1.77800,-18.02000,,-18.02000,-18.02000,-18.02000,-20.07300,-19.79800,28.65600,28.65600,-0.63000,-0.63000,15.77710,-10.06710,-10.06710,-8.70530,-10.06710,5.52650,-0.78630,-0.78810
2023-12-31,16.30000,4.51100,-20.81100,1.38900,-19.42200,,-19.49500,-19.49500,-19.49500,-20.79900,-20.81100,23.79600,23.79600,-0.81000,-0.81000,6.42740,-17.98080,-17.98080,-13.62790,-17.98080,4.55110,-0.8157,-0.8234
2023-09-30,20.54000,4.24000,-24.78000,1.49000,-23.29000,,-23.29000,-23.29000,-23.29000,-24.52600,-24.78000,23.79000,23.79000,-0.98000,-0.98000,6.35120,-18.50400,-18.50400,-14.17780,-18.50400,5.28530,-0.7013,-0.7108
2023-06-30,16.92600,4.21800,-21.14400,1.62200,-19.52200,,-19.52200,-19.52200,-19.52200,-20.96700,-21.14400,23.79000,23.79000,-0.82000,-0.82000,8.87920,-13.25470,-13.25470,-10.72140,-13.25470,6.18480,-0.7335,-0.7758
2023-03-31,14.36000,3.67100,-18.03100,1.71200,-16.31900,,-16.31900,-16.31900,-16.31900,-17.84400,-18.03100,23.76200,23.76200,-0.69000,-0.69000,9.34540,-9.89970,-9.89970,-8.11720,-9.89970,6.93140,-0.64900,-0.69870
2022-12-31,13.16600,4.04700,-17.21300,1.56300,-15.65000,-0.71400,-14.93600,-14.93600,-14.93600,-17.06800,-17.21300,15.64000,15.64000,16.54000,16.54000,9.88330,-8.31480,-8.31480,-6.86900,-8.31480,7.57520,-1.8422,-1.9697
2022-09-30,15.96400,3.59000,-19.55400,0.94700,-18.60700,,-18.60700,-18.60700,-18.60700,-19.41100,-19.55400,23.56200,23.56200,-0.79000,-0.79000,13.16120,-9.64380,-9.64380,-8.92590,-9.64380,8.16440,-0.1791,-0.1339
2022-06-30,14.24000,3.40100,-17.64100,0.32600,-17.31500,,-17.31500,-17.31500,-17.31500,-17.50200,-17.64100,14.09000,14.09000,-1.23000,-1.23000,11.00650,-8.23660,-8.23660,-7.50230,-8.23660,8.89550,10.9623,12.4788
2022-03-31,10.70700,3.18600,-13.89300,0.06700,-13.82600,4.42000,-18.24600,-18.24600,-18.24600,-13.82700,-13.89300,0.96400,0.96400,-18.94000,-18.94000,7.79480,36.79590,36.79590,-13.83540,36.79590,-51.43880,-12.73030,-14.40460
2021-12-31,4.54100,2.67000,-7.21100,0.06700,-7.14400,0.00000,-7.14400,-7.14400,-7.14400,-7.16300,-7.21100,0.90100,0.90100,-7.75000,-7.75000,13.56320,22.26790,22.26790,-4.97350,22.26790,-33.28010,-6.4993,-6.6695
2021-09-30,5.71200,2.36600,-8.07800,-0.03400,-8.11200,,-8.11200,-8.11200,-8.11200,-8.03200,-8.07800,0.89400,0.89400,-9.07000,-9.07000,,,,,,,-8.5548,-8.5817
2021-06-30,3.21600,1.97600,-5.19200,-0.19700,-5.38900,,-5.38900,-5.38900,-5.38900,-5.14500,-5.19200,0.89400,0.89400,-6.03000,-6.03000,,,,,,,-6.8625,-6.8792
2021-03-31,5.53000,1.09800,-6.62800,-0.00800,-6.63600,,-6.63600,-6.63600,-6.63600,-6.59100,-6.62800,0.89400,0.89400,-7.42000,-7.42000,,,,,,,-3.16550,-3.50670
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
