Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2018-12-31,17.50800,1.89500,15.61300,3.01200,27.68600,0.39600,30.30200,-14.68900,0.58500,-14.10400,0.65700,-14.76100,-14.76100,-14.76100,-14.68900,-14.68900,0.08700,0.08700,5157.42100,5157.42100,0.95110,89.17640,-83.89870,-83.89870,-80.55750,-84.31000,0.18210,1.47150,61.16180,-1609.69900,-1609.70600,-15.35430,-1609.70500,104.53260,6718.2072,6694.097
2018-09-30,17.63700,2.19000,15.44700,4.55500,22.62900,-0.07000,27.25400,-11.80700,0.81600,-10.99100,0.03600,-11.02700,-11.02700,-11.02700,-11.80700,-11.80700,0.00870,0.00870,-1274.36300,-1274.36300,1.11500,87.58290,-66.94450,-66.94450,-62.31790,-62.52200,0.19360,0.81130,110.92700,-75.17730,-75.17720,-12.10360,-75.17730,1682.78700,-5718.205,-5718.205
2018-06-30,23.07500,2.85600,20.21900,4.23900,26.49900,-0.11500,30.85300,-10.63400,0.11600,-10.51800,0.03400,-10.55200,-10.55200,-10.55200,-10.63400,-10.63400,0.00870,0.00870,-1199.40000,-1199.40000,1.24810,87.62300,-46.08450,-46.08450,-45.58180,-45.72910,0.22230,1.10000,81.82100,-42.07000,-42.07000,-10.16530,-42.07000,2875.02700,-1421.213,-1421.213
2018-03-31,16.68000,3.40100,13.27900,4.18800,30.17900,-9.04700,43.41400,-30.13500,0.29100,-29.84400,0.34500,-30.18900,-30.18900,-30.18900,-30.13500,-30.13500,0.00870,0.00870,-3448.27600,-3448.27600,1.36690,79.61030,-180.66550,-180.66550,-178.92090,-180.98920,0.14500,0.99280,90.65290,-85.58180,-85.58190,-26.25220,-85.58190,4045.93700,0.00000,
2017-12-31,39.98300,3.42400,36.55900,4.49400,31.11700,-5.07100,40.68200,-4.12300,0.24700,-3.87400,0.04400,-3.91800,-3.91800,-3.91800,-4.12300,-4.12300,0.00650,0.00650,3973.01300,3973.01300,1.67790,91.43640,-10.31190,-10.31190,-9.68910,-9.79920,0.29070,2.79500,32.19990,-6.63640,-6.63640,-2.84890,-6.63640,6839.92500,1919.3118,1584.644
2017-09-30,27.18600,3.43700,23.74900,2.31900,25.88200,-0.00200,28.20300,-4.45400,0.13500,-4.31900,0.04100,-4.36000,-4.36000,-4.36000,-4.45400,-4.45400,0.00860,0.00860,-524.73770,-524.73770,1.99230,87.35750,-16.38340,-16.38340,-15.88690,-16.03770,0.22700,2.11530,42.54690,-6.99320,-6.99320,-3.64080,-6.99320,7223.51400,-62.285,-62.285
2017-06-30,15.15300,3.47600,11.67700,2.53700,22.78800,0.01100,25.31400,-13.63700,0.14900,-13.49000,0.02800,-13.51800,-13.51800,-96.36400,-13.63700,-13.63700,0.00670,0.00670,-14467.77000,-14467.77000,2.18480,77.06070,-89.99540,-89.99540,-89.02530,-635.94010,0.12880,1.00380,89.65550,-20.43910,-20.43910,-11.48660,-20.43910,7662.26900,-2422.6,-2422.6
2017-03-31,10.45500,3.31400,7.14100,2.29200,19.67500,-0.00400,21.97100,-14.83000,-0.02300,-14.85300,,-14.85300,-14.85300,-16.90900,-14.83000,-14.83000,0.00220,0.00220,-7571.21400,-7571.21400,1.26860,68.30230,-141.84600,-141.84600,-142.06600,-161.73120,0.16300,0.67330,133.67860,12.55680,12.55680,-23.15540,12.55680,-52299.49000,0.00000,
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,8319.367,8319.367
2016-06-30,13.97100,3.04000,10.93100,,16.39300,-0.04500,16.43800,-5.50700,-0.44000,-5.94700,,-5.94700,-5.94700,-7.34500,-5.50700,-5.50700,0.00220,0.00220,-3373.31300,-3373.31300,,78.24060,-39.41740,-39.41740,-42.56680,-52.57320,,,,,,,,,-8319.367,-8319.367
2016-03-31,13.85000,3.99600,9.85400,,19.27100,-0.70900,19.98000,-10.12600,-0.06600,-10.21600,,-10.21600,-10.21600,-11.59500,-10.12600,-10.12600,0.00220,0.00220,-5322.33900,-5322.33900,,71.14800,-73.11190,-73.11190,-73.76170,-83.71840,,,,,,,,,0.00000,
2015-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
