Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4111.00000,4728.00000,-617.00000,,0.00000,-617.00000,-86.00000,-703.00000,-175.00000,-528.00000,-528.00000,,-562.00000,-617.00000,-617.00000,170.77300,172.84900,-3.29000,-3.29000,0.39550,0.68760,-15.00850,-15.00850,-17.10050,-13.67060,0.01040,-6.57780,-6.70990,-0.13310,-3.54120,52.91150,-0.1595,-0.1595
2024-06-30,5153.00000,3971.00000,1182.00000,,0.00000,1182.00000,-86.00000,1096.00000,201.00000,895.00000,895.00000,,884.00000,1194.00000,1182.00000,170.62000,172.89300,5.18000,5.11000,0.41830,0.77570,22.93810,22.93810,21.26920,17.15510,0.01340,12.85370,13.15210,0.23270,6.54960,46.70720,-4.9206,-4.9206
2024-03-31,4116.00000,2507.00000,1609.00000,,0.00000,1609.00000,-81.00000,1528.00000,306.00000,1222.00000,1222.00000,,1191.00000,1621.00000,1609.00000,170.05000,171.83500,6.98000,6.93000,0.43140,0.82550,39.09140,39.09140,37.12340,28.93590,0.01070,18.62810,19.08780,0.31870,9.20740,44.38380,-7.81560,-7.81560
2023-12-31,699.00000,2080.00000,-1381.00000,,153.00000,-1534.00000,-80.00000,-1614.00000,-379.00000,-1235.00000,-1235.00000,,-1164.00000,-1534.00000,-1534.00000,169.56300,170.73900,-7.34000,-7.28000,0.45260,0.86300,-219.45640,-219.45640,-230.90130,-166.52360,0.00190,-20.90740,-21.48200,-0.33160,-9.80780,40.62690,-10.9418,-10.9418
2023-09-30,4203.00000,3085.00000,1118.00000,,0.00000,1118.00000,-84.00000,1034.00000,181.00000,853.00000,853.00000,,819.00000,1118.00000,1118.00000,169.64600,170.89100,4.82000,4.79000,0.64860,1.84590,26.60010,26.60010,24.60150,19.48610,0.01240,38.54500,41.50850,0.25210,9.36950,18.85560,0.2726,0.2726
2023-06-30,2929.00000,2243.00000,686.00000,,0.00000,686.00000,-84.00000,602.00000,91.00000,511.00000,511.00000,,502.00000,676.00000,686.00000,169.58200,170.49800,2.95000,2.94000,0.50570,1.10910,23.42100,23.42100,20.55310,17.13900,0.00840,10.57310,10.93050,0.14660,4.34040,34.30390,3.062,3.062
2023-03-31,3814.00000,4901.00000,-1087.00000,,0.00000,-1087.00000,-83.00000,-1170.00000,-289.00000,-881.00000,-881.00000,,-909.00000,-1096.00000,-1087.00000,169.35800,170.48500,-5.35000,-5.37000,0.47020,0.96170,-28.50030,-28.50030,-30.67650,-23.83330,0.01110,-15.33240,-15.76590,-0.25670,-6.93370,39.70790,-4.54000,-4.54000
2022-12-31,3841.00000,2731.00000,1110.00000,-48.00000,48.00000,1062.00000,-78.00000,984.00000,172.00000,812.00000,812.00000,,821.00000,1051.00000,1062.00000,171.03500,172.70000,4.98000,5.03000,0.53860,1.26520,27.64910,27.64910,25.61830,21.37460,0.01150,19.72790,20.51540,0.24290,7.34380,30.14990,3.2757,3.2757
2022-09-30,4672.00000,6049.00000,-1377.00000,-44.00000,678.00000,-2055.00000,-71.00000,-2126.00000,-350.00000,-1776.00000,-1776.00000,,-1777.00000,-2064.00000,-2055.00000,169.70700,171.09500,-10.46000,-10.47000,0.72880,2.91340,-43.98540,-43.98540,-45.50510,-38.03510,0.01440,-80.10830,-165.51720,-0.54700,-21.72210,13.10180,3.9281,3.9281
2022-06-30,5577.00000,4433.00000,1144.00000,-44.00000,44.00000,1100.00000,-68.00000,1032.00000,192.00000,840.00000,840.00000,,833.00000,1089.00000,1100.00000,171.13000,172.70700,4.91000,4.83000,0.41430,0.70720,19.72390,19.72390,18.50460,14.93640,0.01660,9.14240,11.33600,0.25020,5.35510,53.97590,10.9958,10.9958
