Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.11940,0.44320,-0.05960,-0.65590,-0.01140,-0.66730,-0.66730,-0.66730,,-0.66730,-0.65590,-0.65590,199.69340,199.69340,0.00000,0.00000,10.36700,-1.16800,-1.16800,-1.16420,-1.16800,0.28610,-0.0027,-0.0027
2024-06-30,0.62900,0.73570,-0.08770,-1.48610,0.05420,-1.43190,-1.43190,-1.43190,,-1.43190,-1.48610,-1.48610,199.69300,199.69300,-0.01000,-0.01000,14.73700,-2.47920,-2.47920,-2.47180,-2.47920,0.28920,-0.006,-0.006
2024-03-31,0.13010,0.38220,-0.06690,-0.61290,0.06760,-0.54530,-0.54530,-0.54530,,-0.54530,-0.61290,-0.61290,198.98200,198.98200,0.00000,0.00000,13.34550,-0.92590,-0.92590,-0.92140,-0.92590,0.29490,-0.00230,-0.00230
2023-12-31,0.30790,0.32030,-0.07020,-0.73220,0.01600,-0.71620,-0.71620,-0.71620,,-0.71620,-0.73220,-0.73220,195.61600,195.61600,-0.01000,-0.01000,8.48010,-1.25340,-1.25340,-1.24830,-1.25340,0.29170,-0.0038,-0.0038
2023-09-30,0.10550,0.57560,-0.06230,-0.77720,0.06680,-0.71040,-0.71040,-0.71040,,-0.71040,-0.77720,-0.77720,195.88550,195.88550,0.00000,0.00000,15.51500,-1.22960,-1.22960,-1.22610,-1.22960,0.29490,-0.0027,-0.0027
2023-06-30,0.64170,0.69670,-0.08650,-1.45880,-0.00910,-1.46790,-1.46790,-1.46790,,-1.46790,-1.45880,-1.45880,195.37000,195.37000,-0.01000,-0.01000,19.71000,-2.50910,-2.50910,-2.50190,-2.50910,0.29870,-0.0066,-0.0066
2023-03-31,0.14590,0.28080,-0.05790,-0.51830,0.01480,-0.50350,-0.50350,-0.50350,,-0.50350,-0.51830,-0.51830,195.31300,195.31300,0.00000,0.00000,25.44040,-0.84470,-0.84470,-0.84230,-0.84470,0.30520,-0.00320,-0.00320
2022-12-31,0.27760,0.41870,-0.06330,-0.79330,-0.03890,-0.83220,-0.83220,-0.83220,,-0.83220,-0.79330,-0.79330,195.22200,195.22200,-0.01000,-0.01000,17.33790,-1.38480,-1.38480,-1.37820,-1.38480,0.30770,-0.0035,-0.0035
2022-09-30,0.09550,0.42490,-0.06300,-0.61730,0.32210,-0.29530,-0.29530,-0.29530,,-0.29530,-0.61730,-0.61730,195.31320,195.31320,0.00000,0.00000,31.40870,-0.48530,-0.48530,-0.48390,-0.48530,0.31150,-0.0008,-0.0008
2022-06-30,0.56190,0.71020,-0.09600,-1.40200,0.20170,-1.20030,-1.20030,-1.20030,,-1.20030,-1.40200,-1.40200,195.31300,195.31300,-0.01000,-0.01000,39.30220,-1.95350,-1.95350,-1.94850,-1.95350,0.31460,-0.0056,-0.0056
2022-03-31,0.20310,0.33420,-0.06230,-0.63340,-0.08050,-0.71400,-0.71400,-0.71400,,-0.71400,-0.63340,-0.63340,194.94300,194.94300,0.00000,0.00000,22.20510,-1.14300,-1.14300,-1.13700,-1.14300,0.31980,-0.00490,-0.00490
