Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,19.05700,3.31400,15.74300,10.81100,13.24500,2.49800,0.35300,2.85100,1.13200,1.71900,1.71900,1.71900,4.93200,2.49800,13.78200,14.31200,0.12000,0.12000,9.95150,,0.00510,82.61010,13.10800,13.10800,14.96040,9.02030,0.19450,2.25290,39.94910,1.87510,3.38950,1.75460,1.87510,6.67450,0.4934,0.4911
2024-06-30,19.05600,3.45500,15.60100,10.15600,12.53300,3.06800,0.31400,3.38200,0.74500,2.63700,2.63700,2.63700,5.44500,3.06800,13.78010,14.05150,0.19000,0.19000,10.94850,,,81.86920,16.09990,16.09990,17.74770,13.83820,0.20390,2.39310,37.60860,2.99670,5.57690,2.82180,2.99670,6.40870,0.4093,0.4056
2024-03-31,17.51100,3.75600,13.75500,9.50200,11.77200,1.98300,0.36500,2.34800,0.56400,1.78400,1.78400,1.78400,4.25300,1.98300,13.99710,14.16450,0.13000,0.13000,4.98070,,,78.55060,11.32430,11.32430,13.40870,10.18790,0.18620,2.22470,40.45400,2.12770,4.08630,1.89730,2.12770,6.10240,0.30390,0.29930
2023-12-31,15.06100,3.33700,11.72400,10.40800,12.61900,-0.89500,0.38700,-0.50800,0.56200,-1.07000,-1.07000,-1.07000,1.31600,-0.89500,13.97400,14.13400,-0.08000,-0.06000,8.25580,,0.00660,77.84350,-5.94250,-5.94250,-3.37300,-7.10440,0.16200,2.11090,42.63660,-1.24260,-2.30200,-1.15070,-1.24260,6.16360,0.308,0.3062
2023-09-30,15.83700,3.31300,12.52400,8.58800,10.75900,1.76500,0.34600,2.11100,-10.38400,12.49500,12.49500,12.49500,3.93600,1.76500,13.95200,14.33000,0.90000,0.87000,12.27970,,,79.08060,11.14480,11.14480,13.32960,78.89750,0.16620,2.32730,38.67210,13.93120,24.75630,13.11450,13.93120,6.44700,0.4,0.3968
2023-06-30,14.68000,3.24000,11.44000,8.15300,10.20700,1.23300,0.31500,1.54800,0.16000,1.38800,1.38800,1.38800,3.28700,1.23300,13.96190,14.17200,0.10000,0.10000,11.29140,,,77.92920,8.39920,8.39920,10.54500,9.45500,0.18380,2.23920,40.19350,1.83190,3.71460,1.73770,1.83190,5.44740,0.2508,0.2503
2023-03-31,14.62600,3.17900,11.44700,9.13000,11.04600,0.40100,0.28600,0.68700,-0.02900,0.71600,0.71600,0.71600,2.31700,0.40100,13.99720,14.23680,0.05000,0.05000,8.98750,,,78.26470,2.74170,2.74170,4.69710,4.89540,0.18670,2.48360,36.23750,0.97520,2.00720,0.91420,0.97520,5.26270,0.10750,0.10440
2022-12-31,13.06900,3.05400,10.01500,10.11700,11.93200,-1.91700,0.22500,-1.69200,-0.14800,-1.54400,-1.54400,-1.54400,-0.10200,-1.91700,13.75900,14.10700,-0.12000,-0.12000,7.01180,,0.00970,76.63170,-14.66830,-14.66830,-12.94670,-11.81420,0.16880,2.36120,38.11690,-2.17180,-4.51210,-1.99450,-2.17180,5.08530,0.2947,0.2879
2022-09-30,15.02600,3.06700,11.95900,8.08800,9.80100,2.15800,0.12500,2.28300,0.02500,2.25800,2.25800,2.25800,3.87100,2.15800,13.74900,13.76400,0.16000,0.16000,11.44910,,0.00930,79.58870,14.36180,14.36180,15.19370,15.02730,0.19590,2.32130,38.77080,3.12940,6.25540,2.94360,3.12940,5.20110,0.2288,0.2252
2022-06-30,12.49400,2.92000,9.57400,8.12200,9.73500,-0.16100,,-0.16100,0.04400,-0.20500,-0.20500,-0.20500,1.45200,-0.16100,13.77600,13.77600,-0.01000,-0.01000,11.17220,,,76.62880,-1.28860,-1.28860,-1.28860,-1.64080,0.16740,3.00550,29.94480,-0.29310,-0.58670,-0.27460,-0.29310,5.10670,0.1867,0.1787
2022-03-31,12.72900,3.17000,9.55900,7.74400,9.27800,0.28100,0.00100,0.28200,0.17500,0.10700,0.10700,0.10700,1.81500,0.28100,13.54360,14.04760,0.01000,0.01000,10.04400,,,75.09620,2.20760,2.20760,2.21540,0.84060,0.16590,2.79080,32.24840,0.15020,0.28770,0.13940,0.15020,5.26640,0.17300,0.16490
2021-12-31,11.25800,2.92700,8.33100,8.45200,9.91800,-1.58700,0.00100,-1.58600,,-1.78400,-1.78400,-1.78400,-0.12100,-1.58700,12.59730,13.40300,-0.14000,-0.12000,11.16050,,0.00890,74.00070,-14.09660,-14.09660,-14.08780,-15.84650,0.15140,3.01340,29.86680,-2.56950,-4.95270,-2.39860,-2.56950,5.14710,0.1548,0.1503
2021-09-30,11.66800,2.78700,8.88100,6.28100,7.62600,1.25500,0.00100,1.25600,,1.25600,1.25600,1.25600,2.60000,1.25500,12.74170,13.64520,0.10000,0.09000,5.76750,,,76.11420,10.75590,10.75590,10.76450,10.76450,0.21680,2.88810,31.16220,2.55190,7.84360,2.33430,2.55190,3.82640,0.2523,0.2473
2021-06-30,10.87900,2.72000,8.15900,7.23900,8.56900,-0.41000,2.17100,1.76100,,1.76100,1.76100,1.76100,0.92000,-0.41000,12.26940,13.56070,0.14000,0.13000,5.82010,,,74.99770,-3.76870,-3.76870,16.18720,16.18720,0.20060,3.21290,28.01180,3.56230,10.73980,3.24720,3.56230,4.03580,0.1596,0.1519
2021-03-31,10.21700,2.76100,7.45600,6.77100,8.02900,-0.57300,-0.00500,-0.57800,,-0.57800,-0.57800,-0.57800,0.68500,-0.57300,12.20720,12.20720,-0.05000,-0.05000,3.72880,0.02890,0.04760,72.97640,-5.60830,-5.60830,-5.65720,-5.65720,0.19300,2.85230,31.55330,-1.27980,-4.67180,-1.09160,-1.24270,3.69950,0.10090,0.09720
2020-12-31,8.96300,2.69400,6.26900,6.94200,8.13800,-1.86900,-0.00600,-1.87500,,-1.87500,-1.87500,-1.87500,-0.67300,-1.86900,11.86340,11.86340,-0.14000,-0.14000,3.32250,0.03780,0.04960,69.94310,-20.85240,-20.85240,-20.91930,-20.91930,0.17240,2.80010,32.14220,-4.32580,-17.12640,-3.60620,-4.16220,3.56250,0.1561,0.1513
2020-09-30,9.26700,2.70300,6.56400,6.36400,7.48200,-0.91800,-0.00700,-0.92500,,-0.92500,-0.92500,-0.92500,0.20000,-0.91800,12.07270,12.07270,-0.08000,-0.08000,3.36430,0.02470,0.04980,70.83200,-9.90610,-9.90610,-9.98170,-9.98170,0.18130,3.17360,28.35870,-2.14050,-8.40150,-1.80990,-2.08770,3.55760,0.1349,0.132
2020-06-30,7.05600,2.58700,4.46900,6.00900,7.00100,-2.53200,,-2.53200,,-2.53200,-2.53200,-2.53200,-1.54000,-2.53200,11.61730,11.61730,-0.22000,-0.22000,3.65620,0.03210,0.04930,63.33620,-35.88430,-35.88430,-35.88440,-35.88440,0.13550,2.62210,34.32400,-5.79540,-20.97940,-4.86240,-5.60920,3.76480,0.1507,0.1482
2020-03-31,9.30000,3.29200,6.00800,6.61000,7.52000,-1.51200,0.03100,-1.48100,,-1.48100,-1.48100,-1.48100,-0.60200,-1.51200,11.58300,11.58300,-0.13000,-0.13000,4.15350,,,64.60220,-16.25810,-16.25810,-15.92470,-15.92470,0.18790,3.06020,29.40970,-3.41150,-11.50290,-2.99210,-3.41150,3.74560,0.10780,0.10500
2019-12-31,9.05000,3.41400,5.63600,9.66500,10.50500,-4.86900,0.01300,-4.85600,,-4.85600,-4.85600,-4.85600,-4.02900,-4.86900,10.76300,10.76300,-0.44000,-0.44000,3.70630,,,62.27620,-53.80110,-53.80110,-53.65750,-53.65750,0.18520,2.55430,35.23430,-11.53880,-37.86950,-9.93640,-11.53880,3.64210,0.1132,0.1114
2019-09-30,8.25700,3.12200,5.13500,5.42300,6.17300,-1.03800,0.04600,-0.99200,,-0.99200,-0.99200,-0.99200,-0.28800,-1.03800,10.91800,10.91800,-0.09000,-0.09000,3.51330,,,62.18970,-12.57120,-12.57120,-12.01410,-12.01410,0.16630,2.48330,36.24200,-2.35880,-7.19990,-1.99840,-2.35880,3.64710,0.1456,0.1422
2019-06-30,7.24500,3.05200,4.19300,7.39900,8.08000,-3.88700,0.03700,-3.85000,,-3.85000,-3.85000,-3.85000,-3.20600,-3.88700,10.29900,10.29900,-0.37000,-0.37000,2.78700,,,57.87440,-53.65080,-53.65080,-53.14010,-53.14010,0.17370,1.99810,45.04350,-10.92170,-48.16710,-9.23170,-10.92170,3.42680,0.0097,0.0081
2019-03-31,5.73400,2.66900,3.06500,3.86500,4.48300,-1.41800,0.04000,-1.37800,,-1.37800,-1.37800,-1.37800,-0.80000,-1.41800,10.26800,10.26800,-0.13000,-0.13000,3.06290,,,53.45310,-24.72970,-24.72970,-24.03210,-24.03210,0.13690,2.05670,43.76000,-3.90100,-15.14290,-3.29040,-3.90100,3.43380,-0.11550,-0.11700
2018-12-31,4.70800,2.30400,2.40400,3.94000,4.49900,-2.09500,0.05700,-2.03800,,-2.03800,-2.03800,-2.03800,-1.53600,-2.09500,10.26700,10.26700,-0.20000,-0.20000,3.70500,,,51.06210,-44.49880,-44.49870,-43.28800,-43.28800,0.11820,2.07860,43.29870,-5.61770,-18.39350,-5.11710,-5.61770,3.53350,-0.1211,-0.1248
2018-09-30,4.36000,2.23300,2.12700,3.30800,3.81600,-1.68900,0.43700,-1.25200,,-1.25200,-1.25200,-1.25200,-1.18100,-1.68900,10.26700,10.26700,-0.12000,-0.12000,4.21070,,,48.78440,-38.73850,-38.73850,-28.71560,-28.71560,0.10480,1.99540,45.10320,-3.30190,-9.09880,-3.00850,-3.30190,3.69320,-0.1527,-0.1541
