Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,0.02800,0.95700,-0.15500,-1.14100,-0.45000,-1.59100,-1.59100,-1.59100,,-1.59100,-1.14000,-1.14100,160.54200,160.54200,-0.01000,-0.01000,60.97660,-1.18890,-1.18890,-1.18400,-1.18890,0.83340,-0.0048,-0.0048
2024-05-31,,1.00600,-0.21000,-1.21800,-0.54100,-1.75900,-1.75900,-1.75900,,-1.75900,-1.21600,-1.21800,160.16800,160.16800,-0.01000,-0.01000,30.41690,-1.30420,-1.30420,-1.29970,-1.30420,0.84200,-0.003,-0.003
2024-02-29,,2.60500,-0.21400,-2.82000,-0.78100,-3.60100,-3.60100,-3.60100,,-3.60100,-2.81900,-2.82000,157.66900,157.66900,-0.02000,-0.02000,4.63580,-2.64590,-2.64590,-2.63700,-2.64590,0.85180,-0.00370,-0.00370
2023-11-30,0.02000,0.95400,-0.23900,-1.21500,-1.80900,-3.02400,-3.02400,-3.02400,,-3.02400,-1.21300,-1.21500,152.64700,152.64700,-0.02000,-0.02000,6.19780,-2.19840,-2.19840,-2.19100,-2.19840,0.88220,-0.0034,-0.0034
2023-08-31,0.02200,0.99500,-0.16000,-1.17900,-2.87300,-4.05200,-4.05200,-4.05200,,-4.05200,-1.17700,-1.17900,155.55000,155.55000,-0.03000,-0.03000,6.23400,-2.89400,-2.89400,-2.88240,-2.89400,0.90010,-0.0069,-0.0069
2023-05-31,,1.01200,-0.21300,-1.22700,-1.57600,-2.80300,-2.80300,-2.80300,,-2.80300,-1.22500,-1.22700,151.31500,151.31500,-0.02000,-0.02000,5.82420,-1.95290,-1.95290,-1.94300,-1.95290,0.92440,-0.004,-0.004
2023-02-28,0.00100,3.00700,-0.59600,-3.60600,-1.46600,-5.07200,-5.07200,-5.07200,,-5.07200,-3.60400,-3.60600,147.76900,147.76900,-0.03000,-0.03000,2.21160,-3.55450,-3.55450,-3.53360,-3.55450,0.95940,-0.00600,-0.00600
2022-11-30,0.00700,0.69100,-0.53700,-1.23700,-3.98500,-5.22200,-5.22200,-5.22200,,-5.22200,-1.23500,-1.23700,145.72200,145.72200,-0.04000,-0.04000,5.44940,-3.59080,-3.59080,-3.57680,-3.59080,0.99450,-0.0039,-0.0039
2022-08-31,0.01100,1.01300,-0.13800,-1.16600,-8.77200,-9.93800,-9.93800,-9.93800,,-9.93800,-1.16200,-1.16600,145.86600,145.86600,-0.07000,-0.07000,5.24710,-6.62320,-6.62320,-6.58910,-6.62320,1.02860,-0.0034,-0.0024
2022-05-31,,1.26100,-0.23100,-1.49700,-2.57700,-4.07400,-4.07400,-4.07400,,-4.07400,-1.49200,-1.49700,145.50800,145.50800,-0.03000,-0.03000,5.55030,-2.55560,-2.55560,-2.54150,-2.55560,1.09300,-0.0095,-0.0095
2022-02-28,0.02900,2.73300,-0.34700,-3.11500,-1.90800,-5.02300,-5.02300,-5.02300,,-5.02300,-3.10900,-3.11500,145.28600,145.28600,-0.03000,-0.03000,6.74500,-3.08250,-3.08250,-3.06480,-3.08250,1.12020,-0.01020,-0.01020
2021-11-30,0.01300,1.52700,-0.34500,-1.87900,-4.18800,-6.06700,-6.06700,-6.06700,,-6.06700,-1.87400,-1.87900,144.42900,144.42900,-0.05000,-0.05000,6.41320,-3.65400,-3.65400,-3.62630,-3.65400,1.14500,-0.0057,-0.0049
2021-08-31,0.13000,1.19900,-0.26200,-1.59600,-6.06800,-7.66400,-7.66400,-7.66400,,-7.66400,-1.59100,-1.59600,144.44700,144.44700,-0.05000,-0.05000,13.06240,-4.47120,-4.47120,-4.44920,-4.47120,1.18660,-0.0104,-0.0112
2021-05-31,,1.28200,-0.43100,-1.71800,-1.69500,-3.41300,-3.41300,-3.41300,,-3.41300,-1.72400,-1.71800,144.42900,144.42900,-0.02000,-0.02000,8.44380,-1.91030,-1.91030,-1.89510,-1.91030,1.23690,-0.0089,-0.0089
2021-02-28,,2.98800,-0.41800,-3.42300,-1.09300,-4.51600,-4.51600,-4.51600,,-4.51600,-3.40600,-3.42300,144.16400,144.16400,-0.03000,-0.03000,13.76850,-2.48890,-2.48890,-2.47410,-2.48890,1.25820,-0.01040,-0.01040
2020-11-30,,2.55000,-0.57300,-3.11300,-0.11300,-3.22600,-3.22600,-3.22600,,-3.22600,-3.09700,-3.11300,141.46500,144.60500,-0.04000,0.00000,10.93500,-1.75510,-1.75510,-1.74130,-1.75510,1.27520,-0.0116,-0.0116
2020-08-31,,1.49900,-0.59000,-2.10600,-1.07800,-3.18400,-3.18400,-3.18400,,-3.18400,-2.17500,-2.10600,141.01800,141.01800,-0.02000,-0.02000,9.22860,-1.70920,-1.70920,-1.69210,-1.70920,1.30290,0.0029,0.0029
2020-05-31,,1.40300,-1.02500,-2.47000,-0.53200,-3.00200,-3.00200,-3.00200,,-3.00200,-2.42800,-2.47000,140.78500,140.78500,-0.02000,-0.02000,19.93360,-1.59340,-1.59340,-1.58380,-1.59340,1.33690,-0.0217,-0.0217
2020-02-29,,2.07100,-2.36200,-4.47500,175.65400,171.17900,171.17900,171.17900,,171.17900,-4.37300,-4.47500,140.61700,147.65000,1.22000,1.16000,11.29340,89.79270,89.79270,88.89690,89.79270,1.35530,-0.02670,-0.02670
2019-11-30,,1.79400,-4.71700,-6.61600,0.09100,-6.52500,-6.52500,-6.52500,,-6.52500,-6.51100,-6.61600,135.22500,135.22500,-0.05000,-0.05000,8.56290,-35.72800,-35.72800,-12.64120,-35.72800,0.13010,-0.0587,-0.0599
2019-08-31,,1.10900,-11.53200,-12.67200,0.13700,-12.53500,-12.53500,-12.53500,,-12.53500,-12.64100,-12.67200,136.98100,136.98100,-0.09000,-0.09000,6.14610,-52.80120,-52.80120,-21.15540,-52.80120,0.17090,-0.0592,-0.0628
2019-05-31,,1.38200,-3.23900,-4.65900,0.15000,-4.50900,-4.50900,-4.50900,,-4.50900,-4.62100,-4.65900,132.09600,132.09600,-0.04000,-0.04000,18.56180,-17.36900,-17.36900,-7.71550,-17.36900,0.19650,-0.0313,-0.0313
2019-02-28,,2.71200,-1.70900,-4.45800,0.12200,-4.33600,-4.33600,-4.33600,,-4.33600,-4.42100,-4.45800,131.91700,131.91700,-0.03000,-0.03000,28.94380,-14.54790,-14.54790,-7.00800,-14.54790,0.22570,-0.02450,-0.02450
2018-11-30,,1.25000,-4.14800,-5.43600,-0.14300,-5.57900,-5.57900,-5.31900,,-5.31900,-5.39800,-5.43600,121.77900,121.77900,-0.04000,-0.04000,14.26250,-16.51760,-16.51760,-9.73120,-16.51760,0.24470,-0.0702,-0.0703
2018-08-31,,0.86600,-9.13800,-10.04300,0.12300,-9.92000,-9.92000,-9.92000,,-9.92000,-10.00400,-10.04300,131.47000,131.47000,-0.08000,-0.08000,7.86350,-26.55460,-26.55460,-15.96880,-26.55460,0.28400,-0.0552,-0.055
2018-05-31,,0.82800,-2.74600,-3.61600,0.07700,-3.53900,-3.53900,-3.66400,,-3.66400,-3.57400,-3.61600,117.58300,117.58300,-0.03000,-0.03000,15.04910,-7.78600,-7.78600,-5.26240,-7.78600,0.35830,-0.015,-0.0152
2018-02-28,,1.49600,-1.29100,-2.82800,0.01700,-2.81100,-2.81100,-2.94600,,-2.94600,-2.78700,-2.82800,106.27100,106.27100,-0.03000,-0.03000,9.63770,-12.46140,-12.46140,-6.53200,-12.46140,0.22190,-0.04080,-0.04080
2017-11-30,,0.72900,-5.22600,-5.99600,-0.73000,-6.72600,-6.72600,-6.72600,,-6.72600,-5.95500,-5.99600,105.56300,105.56300,-0.06000,-0.06000,2.14170,-26.20690,-26.20690,-16.69850,-26.20690,0.24280,-0.0601,-0.0609
2017-08-31,,0.59500,-8.07200,-8.69400,-0.29800,-8.99200,-8.99200,-8.99200,,-8.99200,-8.66700,-8.69400,105.58140,105.58140,-0.09000,-0.09000,3.35810,-27.84850,-27.84850,-19.11240,-27.84850,0.30560,-0.0519,-0.0538
2017-05-31,,0.73700,-1.71300,-2.46900,0.08200,-2.38700,-2.38700,-2.39000,,-2.39000,-2.45000,-2.46900,105.54330,105.54330,-0.02000,-0.02000,17.78920,-5.80440,-5.80440,-4.56320,-5.80440,0.39010,-0.0203,-0.0204
2017-02-28,,1.00400,-0.74700,-1.77100,-1.22800,-2.99900,-2.99900,-2.99600,,-2.99600,-1.75100,-1.77100,105.44700,105.44700,-0.03000,-0.03000,30.68880,-6.89320,-6.89320,-6.82710,-6.89320,0.41190,-0.01370,-0.01370
2016-11-30,,0.66100,-1.30000,-1.98100,0.09700,-1.88400,-1.88400,-1.82700,4.56200,2.73500,-1.96100,-1.98100,105.10400,105.10400,0.02000,0.02000,26.38960,-3.95850,-3.95850,-3.90830,-3.95850,0.43840,-0.0189,-0.0189
2016-08-31,,0.70700,-3.19400,-3.91800,0.01600,-3.90200,-3.90200,-3.90200,-0.35300,-4.25500,-3.87000,-3.91800,105.21330,105.21330,-0.04000,-0.04000,15.66860,-9.00160,-9.00160,-8.82770,-9.00160,0.41180,-0.0339,-0.0351
2016-05-31,,0.74600,-0.71200,-1.47800,0.01800,-1.46000,-1.46000,-1.46000,-0.18700,-1.64700,-1.42600,-1.47800,104.98500,104.98500,-0.01000,-0.01000,29.27510,-3.07650,-3.07650,-3.04640,-3.07650,0.45190,-0.0163,-0.0163
2016-02-29,,0.84100,-0.67800,-1.54100,0.01800,-1.52300,-1.52300,-1.52300,-0.17200,-1.69500,-1.48700,-1.54100,104.94100,104.94100,-0.02000,-0.02000,30.66600,-3.10890,-3.10890,-3.07770,-3.10890,0.46660,-0.01360,-0.01360
2015-11-30,,0.87200,-1.00600,-1.90200,0.01200,-1.89000,-1.89000,-1.89000,-0.20000,-2.09000,-1.84600,-1.90200,80.31300,80.31300,-0.02000,-0.02000,22.48340,-3.74780,-3.74780,-3.69280,-3.74780,0.48120,-0.0409,-0.0413
2015-08-31,,0.78900,-3.15100,-3.97200,0.00800,-3.96400,-3.96400,-3.96400,-0.19800,-4.16200,-3.90900,-3.97200,95.10270,95.10270,-0.04000,-0.04000,13.93230,-7.60420,-7.60420,-7.40890,-7.60420,0.49960,-0.0258,-0.0256
2015-05-31,,0.68800,-0.97300,-1.75400,0.00400,-1.75000,-1.75000,-1.75000,,-1.75000,-1.66100,-1.75400,60.63370,60.63370,-0.03000,-0.03000,2.71620,-5.31300,-5.31300,-5.11650,-5.31300,0.54320,-0.0204,-0.0207
2015-02-28,,0.91300,-0.47400,-1.53000,,-1.53000,-1.53000,-1.53000,,-1.53000,-1.38700,-1.53000,60.61500,60.61500,-0.03000,-0.03000,6.14580,-4.42210,-4.42210,-4.33110,-4.42210,0.57060,-0.01790,-0.01790
2014-11-30,,1.19700,-0.74200,-2.02900,,-2.02900,-2.02900,-2.02900,,-2.02900,-1.88800,-2.02900,56.26800,56.26800,-0.03000,-0.03000,5.94990,-5.66020,-5.66020,-5.50970,-5.66020,0.59450,-0.0367,-0.0371
2014-08-31,0.00800,1.89100,-0.87000,-2.91200,0.00100,-2.91100,-2.91100,-2.91100,,-2.91100,-2.76900,-2.91200,57.61600,57.61600,-0.05000,-0.05000,4.41710,-7.84510,-7.84510,-7.49180,-7.84510,0.61540,-0.0345,-0.0344
2014-05-31,0.01200,1.19200,-0.68100,-2.09300,,-2.09300,-2.09300,-2.09300,,-2.09300,-1.88500,-2.09300,53.63800,53.63800,-0.04000,-0.04000,1.95960,-6.39710,-6.39710,-6.11490,-6.39710,0.60920,-0.0424,-0.0425
2014-02-28,0.03100,1.10300,-1.22400,-2.61600,0.00100,-2.61500,-2.61500,-2.61500,,-2.61500,-2.35800,-2.61600,53.50700,53.50700,-0.05000,-0.05000,2.81190,-7.54150,-7.54150,-7.17620,-7.54150,0.64660,-0.03990,-0.03990
2013-11-30,,3.17700,-1.68900,-4.93400,0.00400,-4.93000,-4.93000,-4.93000,,-4.93100,-4.67100,-4.93400,52.34710,52.34710,-0.10000,-0.10000,4.11310,-13.26800,-13.26800,-12.67390,-13.26800,0.70020,-0.0597,-0.0598
2013-08-31,0.05500,1.70800,-4.87400,-6.90300,0.01300,-6.89000,-6.89000,-6.89000,,-6.89000,-6.63700,-6.90300,53.00200,53.00200,-0.13000,-0.13000,5.01020,-17.22070,-17.22070,-16.28770,-17.22070,0.75470,-0.11,-0.1111
2013-05-31,0.03600,3.21800,-2.44800,-5.95600,0.00900,-5.94700,-5.94700,-5.94700,,-5.94700,-5.70200,-5.95600,52.77000,52.77000,-0.11000,-0.11000,6.11060,-12.88820,-12.88820,-12.12490,-12.88820,0.87440,-0.052,-0.055
2013-02-28,0.10400,5.21000,-1.07700,-6.64100,0.01400,-6.62700,-6.62700,-6.62700,,-6.62600,-6.39100,-6.64100,50.57400,50.57400,-0.13000,-0.13000,7.09770,-13.52810,-13.52810,-12.78260,-13.52810,0.92850,-0.06900,-0.06930
2012-11-30,0.06700,7.55100,-3.59700,-7.87400,0.01600,-7.83900,-7.83900,-7.84100,0.00000,-7.84100,-7.62600,-7.87400,46.12400,46.12400,-0.17000,-0.17000,11.74000,-14.59520,-14.59520,-14.07820,-14.59520,1.15120,-0.1488,-0.1524
2012-08-31,0.09300,3.08100,-9.16900,-12.57800,0.01900,-12.55900,-12.55900,-12.55900,,-12.55900,-12.34300,-12.57800,46.66300,46.66300,-0.27000,-0.27000,10.39370,-21.06150,-21.05800,-20.09120,-21.06150,,-0.1992,-0.2055
