Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.38800,3.84100,-13.22900,0.36000,-12.86900,0.01200,-12.88100,-12.88100,-12.88100,-13.66300,-13.22900,59.10870,59.10870,-0.22000,-0.22000,17.77300,0.30900,0.44730,-18.57260,-18.57260,-12.11740,-12.83280,1.17310,-0.1413,-0.1413
2024-06-30,6.55100,4.41200,-10.96300,0.51300,-10.45000,0.01100,-10.46100,-10.46100,-10.46100,-11.30600,-10.96300,59.01830,59.01830,-0.18000,-0.18000,41.10350,0.27640,0.38210,-12.92790,-12.92790,-9.12850,-9.35400,1.48060,-0.0992,-0.0992
2024-03-31,6.01100,3.85800,-9.86900,-0.82700,-10.69600,0.01100,-10.70700,-10.70700,-10.70700,-10.13700,-9.86900,47.37190,47.37190,-0.23000,-0.23000,46.22410,0.28890,0.40640,-14.12200,-14.12200,-9.82650,-10.04160,1.46710,-0.20210,-0.20210
2023-12-31,4.69100,3.25500,-7.94600,0.05600,-7.89000,0.00900,-7.89900,-7.89900,-7.89900,-8.41900,-7.94600,34.07800,34.07800,-0.03000,-0.03000,21.22170,0.35480,0.54990,-14.41190,-14.41190,-8.86620,-9.29880,1.29200,-0.7093,-0.7093
2023-09-30,7.42200,3.49800,-10.92000,0.29500,-10.62500,0.01100,-10.63600,-10.63600,-10.63600,-11.11500,-10.92000,46.84250,46.84250,-0.23000,-0.23000,12.98760,0.32430,0.47990,-17.04050,-17.04050,-10.63870,-11.51480,1.47160,0.1395,0.1395
2023-06-30,6.02900,3.80500,-9.83400,-0.27100,-10.10500,0.00500,-10.11000,-10.11000,-10.11000,-9.84600,-9.83400,28.40510,28.40510,-0.36000,-0.36000,13.00050,0.29200,0.41250,-14.00650,-14.00650,-9.16010,-9.91630,1.70310,-0.3662,-0.3662
2023-03-31,7.29200,4.34600,-16.74500,-0.30900,-17.05400,0.00500,-17.05900,-17.05900,-17.05900,-16.88800,-16.74500,23.61860,23.61860,-0.72000,-0.72000,5.60330,0.46710,0.87670,-50.52420,-50.52420,-22.18390,-26.92220,1.41950,-0.71260,-0.71260
2022-12-31,14.50200,4.03500,-18.53700,-0.48000,-19.01700,,-19.04200,-19.04200,-19.04200,-18.70400,-18.53700,23.26700,23.26700,-0.82000,-0.82000,5.92510,0.37510,0.60030,-38.83590,-38.83590,-20.22280,-24.26750,2.10320,-0.77,-0.77
2022-09-30,34.34000,4.19100,-38.53100,-0.30600,-38.83700,,-38.83700,-38.83700,-38.83700,-38.56700,-38.53100,23.29030,23.29030,-1.67000,-1.67000,7.28970,0.30360,0.43600,-57.86120,-57.86120,-34.83390,-40.29190,2.88060,-1.8957,-1.8994
2022-06-30,16.30000,3.81300,-20.11300,0.18700,-19.92600,,-19.92600,-19.92600,-19.92600,-20.11100,-20.11300,23.25900,23.25900,-0.86000,-0.86000,6.47770,,,-19.03460,-19.03460,-16.09770,-19.03460,4.49500,-0.4042,-0.4042
2022-03-31,13.57500,3.79300,-17.36800,0.09300,-17.27500,,-17.27500,-17.27500,-17.27500,-17.35100,-17.36800,23.21600,23.21600,-0.74000,-0.74000,12.86530,,,-13.94650,-13.94650,-12.86220,-13.94650,5.32670,-0.60410,-0.60410
2021-12-31,6.24900,3.37500,-9.62400,0.00200,-9.62200,,-9.62200,-9.62200,-9.62200,-9.61900,-9.62400,12.13300,12.13300,9.09000,9.09000,17.00130,,,-6.83880,-6.83880,-6.43640,-6.83880,6.06300,-1.567,-1.567
2021-09-30,9.29800,2.97900,-12.27700,0.01000,-12.26700,,-12.26700,-12.26700,-12.26700,-12.27400,-12.27700,23.11500,23.11500,-0.53000,-0.53000,17.84180,,,-8.19830,-8.19830,-7.73860,-8.19830,6.44890,11.8426,11.8426
2021-06-30,3.91400,1.14500,-5.05900,,-5.05900,,-5.05900,-5.05900,-5.05900,-5.05300,-5.05900,1.04600,1.04600,-4.84000,-4.84000,42.80910,,,-3.25680,-3.25680,-3.18050,-3.25680,6.81450,-0.9305,-0.9305
2021-03-31,4.13400,0.95200,-5.08600,-0.00500,-5.09100,,-5.09100,-5.09100,-5.09100,-5.08200,-5.08600,0.80100,0.80100,-6.36000,-6.36000,,,,,,,,,-11.83150,-11.83150
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,11.2421,11.2421
2020-09-30,2.55000,0.46200,-3.01200,0.00100,-3.01100,,-3.01100,-3.01100,-3.01100,-3.01200,-3.01200,0.79300,0.79300,-3.80000,-3.80000,,,,,,,,,-5.9341,-5.9341
2020-06-30,3.00400,0.41400,-3.41800,0.01200,-3.40600,,-3.40600,-3.40600,-3.40600,-3.41800,-3.41800,0.78900,0.78900,-4.32000,-4.32000,,,,,,,,,-5.308,-5.308
