Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,68.29370,31.10090,37.19290,2.73130,19.10470,18.08810,-14.36490,3.72330,3.72330,3.72330,,3.72330,34.91350,18.08810,0.12000,0.12000,30.99000,30.99000,1.17050,-6.86440,26.48580,26.48580,51.12260,5.45180,5.45190,0.17430,-6.21900,-6.21900,0.95020,1.06050,-503.10390,50.1276,27.477
2021-12-31,62.63850,29.24830,33.39020,2.47660,19.14770,14.24250,-16.94270,-2.70020,-2.70020,-2.70020,,-2.70020,31.22590,14.24250,0.12200,0.12200,-22.19000,-22.19000,1.15350,-7.51600,22.73760,22.73760,49.85100,-4.31070,-4.31070,0.17550,5.47780,5.47780,-0.75660,-0.84070,-404.03780,-13.6816,-14.313
2020-12-31,62.10270,26.51310,35.58960,2.20980,20.62060,14.96900,-13.54450,1.42450,1.42450,1.42450,,1.42450,33.61960,14.96900,0.12200,0.12200,11.70000,11.70000,1.17140,-7.24500,24.10370,24.10370,54.13550,2.29380,2.29380,0.21290,-3.43520,-3.43520,0.48840,0.58870,-339.91020,-40.9556,200.3935
2019-12-31,60.47730,26.02600,34.45130,2.49530,17.17960,17.27180,-10.72450,6.54730,6.54730,6.54730,,6.54730,32.29420,17.27180,0.12200,0.12200,53.48000,53.48000,1.15500,-7.92550,28.55910,28.55910,53.39890,10.82600,10.82600,0.20550,-17.30990,-17.30990,2.22470,2.68390,-310.03100,-22.6987,-150.8419
2018-12-31,58.01410,25.32180,32.69230,2.20490,17.77390,14.91840,-10.74930,4.16910,4.16910,4.16910,,4.16910,30.70340,14.91840,0.12400,0.12400,33.52000,33.52000,1.16440,-7.14040,25.71510,25.71510,52.92410,7.18640,7.18630,0.23480,-11.70310,-11.70300,1.68770,1.92350,-287.29040,16.9682,285.4632
2017-12-31,52.82740,23.21190,29.61550,2.00810,15.47050,14.14500,-7.20700,6.93790,6.93790,6.93790,,6.93790,27.80030,14.14500,0.12440,0.12440,55.77000,55.77000,1.17840,-7.08540,26.77580,26.77580,52.62480,13.13320,13.13320,0.23290,-19.64580,-19.64580,3.05900,3.50570,-284.79980,38.8792,-334.2616
2016-12-31,49.55510,22.01090,27.54420,2.10280,14.28420,13.26000,-8.30910,4.95090,4.95090,4.95090,,4.95090,25.62960,13.26000,0.12500,0.12500,39.62000,39.62000,1.19180,-6.21510,26.75800,26.75800,51.71940,9.99060,9.99060,0.26000,-14.46570,-14.46570,2.59800,2.77380,-276.00590,41.2862,108.514
2015-12-31,45.48070,19.93900,25.54180,2.09630,12.65900,12.88280,-9.11020,3.77260,3.77260,3.77260,,3.77260,23.61650,12.88280,0.12600,0.12600,29.86000,29.86000,1.18820,-7.12410,28.32570,28.32570,51.92650,8.29490,8.29490,0.22660,-12.24420,-12.24420,1.87940,2.30470,-246.48760,17.7845,-41.1161
2014-12-31,42.63230,18.97170,23.66060,2.20650,12.57410,11.08660,-10.06170,1.02490,1.02490,1.02490,,1.02490,21.63810,11.08660,0.12900,0.12900,7.96000,7.96000,1.16220,-7.16430,26.00510,26.00510,50.75520,2.40390,2.40390,0.23980,-3.74480,-3.74480,0.57650,0.60750,-213.81000,-11.5901,136.9559
2013-12-31,38.36460,16.73870,21.62590,2.11650,10.49440,11.13140,-9.17390,1.95750,1.95750,1.95750,3.69790,5.65540,19.51140,11.13140,0.13000,0.13000,43.55000,43.55000,1.12370,-9.08620,29.01490,29.01490,50.85800,5.10240,14.74120,0.20700,-8.95940,-8.95940,1.05610,1.10800,-169.36870,12.1424,-161.8333
2012-12-31,35.16920,14.56350,20.60570,1.81320,7.82590,12.77970,-9.17930,3.60050,3.60050,3.60050,0.03330,3.63380,18.87250,12.77970,0.13100,0.13100,27.69000,27.69000,1.19490,-6.13150,36.33790,36.33790,53.66200,10.23750,10.33230,0.28940,-15.99090,-15.99090,2.96240,3.11620,-173.19750,21.8377,37.1221
2011-12-31,33.58480,14.80450,18.78030,1.69520,7.53450,11.24580,-9.76790,1.47790,1.47790,1.47790,7.81340,9.29130,17.18660,11.24580,0.13100,0.13100,70.66000,70.66000,1.18080,-6.60840,33.48470,33.48470,51.17390,4.40040,27.66520,0.26790,-6.93480,-6.93480,1.17870,1.25400,-162.67830,6.4161,-9.7045
2010-12-31,32.25600,14.61260,17.64340,1.77260,7.30410,10.33930,-11.91840,-1.57910,-1.57910,-1.57910,0.21990,-1.35920,15.96170,10.33930,0.13200,0.13200,-10.32000,-10.32000,,-0.17310,32.05390,32.05390,49.48450,-4.89550,-4.21390,0.26600,5.86590,5.86590,-1.30210,5.86590,,38.9968,21.8147
2009-12-31,33.23000,5.34000,27.89000,10.88000,16.71000,11.18000,-9.55000,1.61000,1.61000,1.61300,0.00000,1.61000,17.01000,11.18000,0.39900,0.39900,4.04330,4.04330,,-0.33570,33.64430,33.64430,51.18870,4.84500,4.84500,0.25740,-7.56210,-7.56210,1.24950,-7.56210,,23.985,23.985
