Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,0.46400,0.46400,1.50280,-0.32660,-1.44910,-1.73460,-3.18370,0.00310,-3.18680,-3.10970,-3.10970,-1.44890,-1.44910,10.28730,10.28730,-0.27000,-0.27000,14.84170,,,100.00000,-312.33930,-312.33920,-686.21560,-670.25240,0.00620,1.59660,56.36930,-4.30370,-4.30370,-4.16720,-4.30370,7.01490,0.6867,0.6867
2016-09-30,0.56620,0.56620,1.06030,-0.27600,-0.85680,-5.08230,-5.93900,0.00010,-5.93910,-6.02200,-6.02200,-0.97930,-0.85680,10.29260,10.29260,-0.60010,-0.60010,16.62350,0.06220,0.06640,100.00000,-151.33130,-151.33130,-1049.01400,-1063.67900,0.00690,2.10660,42.72340,-7.99500,-7.99500,-7.30630,-7.49730,7.31810,0.1506,0.1505
2016-06-30,0.46000,0.46000,1.16420,-0.27560,-1.04830,-0.09420,-1.14250,-0.00130,-1.14110,-1.18500,-1.18500,-1.17030,-1.04830,10.28260,10.28260,-0.12000,-0.12000,14.54620,0.05790,0.06150,100.00000,-227.87180,-227.87180,-248.33970,-257.59500,0.00520,0.66400,135.54970,-1.45790,-1.45790,-1.34010,-1.37340,7.89730,-0.2379,-0.2379
2016-03-31,0.30200,0.30200,1.12770,-0.26760,-1.16190,-4.84620,-6.00810,,-6.00810,-6.04960,-6.04960,-1.27080,-1.16190,10.28100,10.28100,-0.60010,-0.60010,19.62950,0.05710,0.06060,100.00000,-384.69020,-384.69020,-1989.17100,-2002.90500,0.00340,1.64180,54.81910,-7.33240,-7.33240,-6.75680,-6.91340,8.02500,-0.35130,-0.35130
2015-12-31,0.24160,0.24160,1.81740,-0.28240,-1.95310,4.12600,2.17290,0.00020,2.17280,2.11030,2.11030,-2.04110,-1.95310,10.39060,10.39060,0.21000,0.21000,12.47740,0.05340,0.05640,100.00000,-808.49540,-808.49540,899.52310,873.60330,0.00250,10.33880,8.70510,2.37890,2.37890,2.18770,2.25190,8.62870,-0.2896,-0.2898
2015-09-30,0.24440,0.24440,1.45360,-0.28360,-1.58780,-15.25640,-16.84420,0.00040,-16.84460,-16.90460,-16.90460,-1.68900,-1.58780,10.41630,10.41630,-1.62020,-1.62020,25.90040,0.05440,0.05750,100.00000,-649.67060,-649.67060,-6892.02000,-6916.72900,0.00260,22.17800,4.05810,-19.43640,-19.43640,-17.95350,-18.37980,8.41150,-0.0787,-0.0788
2015-06-30,0.28820,0.28820,1.51190,-0.28180,-1.58530,0.11570,-1.46960,0.00160,-1.47120,-1.52950,-1.52950,-1.79900,-1.58530,10.42760,10.42760,-0.15000,-0.15000,24.91480,0.04570,0.04790,100.00000,-550.08140,-550.08140,-509.92070,-530.71560,0.00260,3.19060,28.20780,-1.46390,-1.46390,-1.36860,-1.39700,10.00830,0.1897,0.1898
2015-03-31,0.14280,0.14280,1.88750,-0.21130,-2.03630,-1.75420,-3.79050,,-3.79050,-3.92200,-3.92200,-2.10270,-2.03630,10.42600,10.42600,-0.39000,-0.39000,26.65680,0.04510,0.04720,100.00000,-1425.69200,-1425.69200,-2653.84000,-2745.91000,0.00130,0.65120,138.21100,-3.70380,-3.70380,-3.47020,-3.53680,10.15660,-0.44980,-0.45050
2014-12-31,0.14430,0.14430,1.84830,-0.16460,-1.96390,-8.54780,-10.51170,0.00020,-10.51200,-10.51200,-10.51200,-1.92830,-1.96390,10.40660,10.40660,-0.99010,-0.99010,19.03960,,,100.00000,-1360.97300,-1360.97300,-7284.57600,-7284.73700,0.00130,0.64600,139.30820,-9.58640,-9.58640,-9.37770,-9.58640,10.51740,-0.1551,-0.1571
2014-09-30,0.09340,0.09340,1.70960,-0.17880,-1.87760,0.96840,-0.90920,0.00170,-0.91090,-0.91090,-0.91090,-1.88220,-1.87760,10.41430,10.41430,-0.09000,-0.09000,21.10120,,,100.00000,-2010.86300,-2010.86300,-973.70330,-975.49830,0.00080,2.25020,39.99700,-0.75800,-0.75800,-0.74380,-0.75800,11.53790,-0.2156,-0.216
2014-06-30,0.13380,0.13380,1.94710,-0.17830,-2.08490,6.41290,4.32810,0.00000,4.32810,4.32810,4.32810,-2.15040,-2.08490,10.39960,10.39960,0.42000,0.42000,20.29180,,,100.00000,-1557.78000,-1557.78000,3233.87400,3233.87400,0.00110,1.75900,51.16620,3.58050,3.58050,3.50810,3.58050,11.60700,1.8121,1.812
2014-03-31,0.14630,0.14630,1.86280,-0.17770,-1.97540,-4.48430,-6.45970,0.01600,-6.47570,-6.47570,-6.47570,-2.05070,-1.97540,10.39800,10.39800,-0.63010,-0.63010,7.42160,,,100.00000,-1350.30300,-1350.30300,-4415.64500,-4426.57200,0.00120,1.50060,59.97700,-5.55930,-5.55930,-5.45710,-5.55930,11.20210,-0.25360,-0.25360
