Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.00000,3.00000,29.45700,7.91900,-34.37600,2.10500,-32.27100,-32.27100,-32.27100,-32.27100,-34.78600,-34.37600,75.85600,75.85600,-0.43000,-0.43000,7.03690,0.00230,100.00000,-1145.86700,-1145.86700,-1075.70000,-1075.70000,0.01520,-20.62950,-20.62950,-16.36290,-20.62950,2.84280,-0.3589,-0.3598
2024-06-30,,,29.50900,7.65500,-37.16400,2.42400,-34.74000,-34.74000,-34.74000,-34.74000,-38.04400,-37.16400,75.76200,75.76200,-0.46000,-0.46000,7.83000,0.00280,,,,,,,-19.05900,-19.05900,-15.48880,-19.05900,3.31360,-0.3042,-0.3089
2024-03-31,,,27.40900,6.93400,-34.34300,2.91200,-31.43100,-31.43100,-31.43100,-31.43100,-35.45800,-34.34300,75.73600,75.73600,-0.42000,-0.42000,11.64010,,,,,,,,-14.91500,-14.91500,-12.71960,-14.91500,3.83700,-0.41980,-0.42360
2023-12-31,,,30.33200,7.04700,-37.37900,4.30400,-33.07500,-33.07500,-33.07500,-33.07500,-38.11900,-37.37900,60.35700,60.35700,-0.45000,-0.45000,10.79250,,,,,,,,-13.95040,-13.95040,-11.91180,-13.95040,4.31750,-0.5395,-0.5625
2023-09-30,,,26.26100,7.12400,-33.38500,2.77700,-30.60800,-30.60800,-30.60800,-30.60800,-34.70300,-33.38500,67.64000,67.64000,-0.45000,-0.45000,13.90610,,,,,,,,-12.84660,-12.84660,-11.84010,-12.84660,4.34660,-0.2065,-0.2098
2023-06-30,,,24.96600,7.43200,-32.39800,1.96700,-30.43100,-30.43100,-30.43100,-30.43100,-32.47600,-32.39800,56.24000,56.24000,-0.54000,-0.54000,17.13040,,,,,,,,-11.61220,-11.61220,-10.84460,-11.61220,4.78140,-0.3965,-0.4115
2023-03-31,,,21.83400,7.28100,-29.11500,1.39700,-27.71800,-27.71800,-27.71800,-27.71800,-29.28300,-29.11500,47.73700,47.73700,-0.58000,-0.58000,8.91380,,,,,,,,-15.81200,-15.81200,-13.97640,-15.81200,3.65840,-0.63130,-0.64820
2022-12-31,,,25.86900,7.51600,-33.38500,4.74400,-28.64100,-28.64100,-28.64100,-28.64100,-33.20200,-33.38500,47.37200,47.37200,-0.60000,-0.60000,9.41760,,,,,,,,-14.65490,-14.65490,-12.98910,-14.65490,4.08020,-0.4861,-0.4945
2022-09-30,,,22.88900,7.51700,-30.40600,0.44800,-29.95800,-29.95800,-29.95800,-29.95800,-29.08300,-30.40600,47.45000,47.45000,-0.63000,-0.63000,10.52380,,,,,,,,-13.77970,-13.77970,-12.36260,-13.77970,4.54380,-0.4276,-0.4468
2022-06-30,,,21.31000,8.15100,-29.46100,2.08700,-27.37400,-27.37400,-27.37400,-27.37400,-28.10700,-29.46100,47.27700,47.27700,-0.58000,-0.58000,15.72480,,,,,,,,-11.36590,-11.36590,-10.56690,-11.36590,5.04160,-0.3886,-0.4045
2022-03-31,,,22.82100,7.46700,-30.28800,0.82300,-29.46500,-29.46500,-29.46500,-29.46500,-29.23300,-30.28800,47.06600,47.06600,-0.63000,-0.63000,16.80080,,,,,,,,-11.25430,-11.25430,-10.49810,-11.25430,5.48930,-0.46520,-0.48540
2021-12-31,,,25.17800,7.83200,-33.01000,0.16800,-32.84200,-32.84200,-32.84200,-32.84200,-31.71200,-33.01000,46.05000,46.05000,-0.72000,-0.72000,15.36980,,,,,,,,-11.48740,-11.48740,-10.76440,-11.48740,6.00600,-0.5657,-0.5725
2021-09-30,,,22.72100,8.11500,-30.83600,0.14900,-30.68700,-30.68700,-30.68700,-30.68700,-30.21400,-30.83600,46.33100,46.33100,-0.66000,-0.66000,16.57410,,,,,,,,-9.85950,-9.85950,-9.26490,-9.85950,6.59520,-0.4654,-0.4794
