Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1724.00000,1117.00000,607.00000,,10.00000,192.00000,415.00000,-53.00000,362.00000,77.00000,285.00000,,277.00000,24.00000,301.00000,617.00000,415.00000,449.88700,450.45900,0.67000,0.67000,0.94300,0.13460,0.24280,35.20880,24.07190,24.07190,20.99770,17.45940,0.09350,1.70520,52.77840,2.33300,-432.81250,1.50290,2.01900,,1.6808,1.3494
2024-06-30,1740.00000,1090.00000,650.00000,,-29.00000,235.00000,415.00000,-34.00000,381.00000,-402.00000,783.00000,,844.00000,-3.00000,841.00000,621.00000,415.00000,450.36400,450.91200,1.86000,1.86000,0.87610,0.13710,0.26770,37.35630,23.85060,23.85060,21.89660,48.33330,0.09470,1.59190,56.53450,7.26580,-248.96760,4.59240,6.26950,,1.5676,1.2291
2024-03-31,1885.00000,1081.00000,804.00000,,-41.00000,247.00000,557.00000,-18.00000,539.00000,67.00000,472.00000,,464.00000,14.00000,481.00000,763.00000,557.00000,452.12600,452.82700,1.06000,1.06000,0.96830,0.20690,0.34620,42.65250,29.54910,29.54910,28.59420,25.51720,0.10020,1.81250,49.65520,4.20480,-48.89360,2.46600,3.33480,,0.95400,0.63380
2023-12-31,1815.00000,1112.00000,703.00000,,44.00000,145.00000,558.00000,-148.00000,410.00000,20.00000,390.00000,,650.00000,28.00000,678.00000,747.00000,558.00000,463.17500,463.97000,1.51000,1.51000,0.90350,0.20800,0.29620,38.73280,30.74380,30.74380,22.58950,37.35540,0.09710,1.61760,55.63640,5.87490,-1160.71400,3.47890,4.65320,,1.4584,1.1893
2023-09-30,1594.00000,958.00000,636.00000,,-11.00000,195.00000,441.00000,85.00000,526.00000,-18.00000,544.00000,,370.00000,-3.00000,367.00000,625.00000,441.00000,455.45900,456.06200,0.80000,0.80000,1.05380,0.20450,0.38940,39.89960,27.66630,27.66630,32.99870,23.02380,0.08240,1.62320,55.44540,3.30590,393.61700,1.91220,2.62970,,1.5421,1.2063
2023-06-30,1647.00000,990.00000,657.00000,,347.00000,-168.00000,825.00000,-136.00000,689.00000,219.00000,470.00000,,889.00000,5.00000,894.00000,1004.00000,825.00000,469.75700,470.38300,1.90000,1.90000,0.90160,0.21900,0.49830,39.89070,50.09110,50.09110,41.83360,54.28050,0.07880,1.64700,54.64480,7.93680,117.74830,4.25580,6.19860,,1.482,1.2097
2023-03-31,1738.00000,1074.00000,664.00000,,17.00000,156.00000,508.00000,-145.00000,363.00000,196.00000,167.00000,,737.00000,19.00000,756.00000,681.00000,508.00000,473.26900,474.16300,1.60000,1.59000,0.90540,0.19980,0.35380,38.20480,29.22900,29.22900,20.88610,43.49830,0.08260,1.84700,48.72840,5.90590,36.05680,3.50370,4.72590,,0.56310,0.26780
2022-12-31,1765.00000,1135.00000,630.00000,,185.00000,-1.00000,631.00000,-469.00000,162.00000,103.00000,59.00000,,179.00000,39.00000,218.00000,815.00000,631.00000,483.88550,484.92960,0.38270,0.38310,0.57470,0.20760,0.40060,35.69410,35.75070,35.75070,9.17850,12.35130,0.08130,1.65110,54.50990,1.50610,9.61330,0.82450,1.19340,24.96540,1.3885,1.1121
2022-09-30,1574.00000,1023.00000,551.00000,,25.00000,153.00000,398.00000,400.00000,798.00000,8.00000,790.00000,,265.00000,-37.00000,228.00000,576.00000,398.00000,483.10300,483.88800,0.47000,0.47000,0.68450,0.23160,0.33150,35.00640,25.28590,25.28590,50.69890,14.48540,0.07440,1.65860,54.26300,2.15830,11.36360,1.25220,1.65850,,1.1072,0.7888
2022-06-30,1614.00000,1041.00000,573.00000,,2.00000,182.00000,391.00000,271.00000,662.00000,-92.00000,754.00000,,-71.00000,-44.00000,-115.00000,575.00000,391.00000,487.17100,487.17100,-0.24000,-0.24000,0.82190,0.22000,0.28580,35.50190,24.22550,24.22550,41.01610,-7.12520,0.07400,1.64020,54.86990,-0.53170,-2.14960,-0.32570,-0.41470,,0.8681,0.5998
