,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-05-02,2024-03-31,--,$-1.20
1,2024-02-13,2023-12-31,--,$-0.90
2,2023-11-09,2023-09-30,--,$-0.80
3,2023-10-12,2023-06-30,--,$-3.00
4,2023-05-04,2023-03-31,--,$-2.80
5,2023-02-02,2022-12-31,$-0.10,$-0.30
6,2022-11-03,2022-09-30,$-0.20,$-0.30
7,2022-09-01,2022-06-30,$-0.10,$0.00
8,2022-05-05,2022-03-31,$0.10,$0.10
9,2022-02-03,2021-12-31,$0.50,$0.40
10,2021-11-04,2021-09-30,$0.20,$0.30
11,2021-09-02,2021-06-30,$2.70,$2.70
12,2021-05-06,2021-03-31,$0.10,$0.30
13,2021-02-04,2020-12-31,$0.30,$0.90
14,2020-11-05,2020-09-30,$-0.30,$0.30
15,2020-09-03,2020-06-30,$-0.70,$-0.40
16,2020-05-21,2020-03-31,$-0.20,$-0.30
17,2020-02-06,2019-12-31,$0.40,$0.30
18,2019-11-07,2019-09-30,$0.00,$0.10
19,2019-09-05,2019-06-30,$0.00,$0.10
20,2019-05-09,2019-03-31,--,$0.40
21,2019-02-07,2018-12-31,--,$0.50
22,2018-11-01,2018-09-30,--,$0.10
23,2018-09-06,2018-06-30,--,$-0.30
24,2018-05-08,2018-03-31,--,$-0.30
25,2018-03-08,2017-12-31,--,$0.30
26,2017-11-02,2017-09-30,--,$-0.10
27,2017-08-03,2017-06-30,--,$-0.20
28,2017-05-04,2017-03-31,--,$-0.30
29,2017-03-09,2016-12-31,--,$-0.50
30,2016-11-03,2016-09-30,--,$-0.60
31,2016-08-03,2016-06-30,--,$-0.50
32,2016-04-28,2016-03-31,--,$-0.40
33,2016-03-08,2015-12-31,$0.00,$-0.90
34,2015-11-12,2015-09-30,$-0.50,$-1.00
35,2015-08-06,2015-06-30,$-0.40,$-2.00
36,2015-04-30,2015-03-31,$-0.50,$-0.80
37,2015-03-12,2014-12-31,$-0.20,$-1.40
