Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,59.90000,44.88200,15.01800,10.14400,24.72000,34.86400,-19.84600,0.75800,-19.08800,-0.00800,-19.08000,-19.08000,-18.63900,-19.84600,-19.84600,5.39500,5.39500,-3.54000,-3.44000,1.95530,,25.07180,-33.13180,-33.13180,-31.86640,-31.11690,0.75060,273.51600,0.32900,-46.71210,-46.93730,-23.90980,-46.71200,7.63330,-3.056,-3.1633
2023-09-30,58.26500,43.49000,14.77500,11.48100,11.53700,23.01800,-8.24300,-0.25100,-8.49400,0.00500,-8.49900,-8.49900,-8.20900,-8.24300,-8.24300,5.44000,5.44000,-1.51000,-1.51000,2.37920,0.01710,25.35830,-14.14740,-14.14740,-14.57820,-14.08910,0.60640,189.78830,0.47420,-14.72940,-14.78400,-8.84520,-14.72940,10.90340,0,0
2023-06-30,81.75900,57.70600,24.05300,10.36800,12.61300,22.98100,1.07200,0.58200,1.65400,0.05800,1.59600,1.59600,1.82300,1.07200,1.07200,5.37030,5.39810,0.34000,0.34000,2.57810,0.01520,29.41940,1.31120,1.31120,2.02300,2.22970,0.77470,243.33040,0.36990,2.42820,2.43630,1.51220,2.42820,12.55180,0,0
2023-03-31,91.87900,63.27700,28.60200,10.47100,11.91300,22.38400,6.21800,0.82400,7.04200,0.00600,7.03600,7.03600,7.18600,6.21800,6.21800,5.29440,5.33860,1.40000,1.30000,2.19080,0.13140,31.13010,6.76760,6.76760,7.66440,7.82120,0.78230,210.73170,0.42710,10.74510,10.77520,5.99070,10.74510,12.53970,0.00000,
2022-12-31,78.87500,54.33000,24.54500,8.36700,12.67400,21.04100,3.50400,0.86300,4.36700,0.01400,4.35300,4.35300,4.35400,3.50400,3.50400,5.18240,5.19310,0.90000,0.90000,1.94740,0.18780,31.11890,4.44250,4.44250,5.53660,5.52010,0.70070,168.17700,0.53520,7.64600,7.66910,3.86730,7.64600,11.00330,3.8049,3.4785
2022-09-30,79.45800,52.88000,26.57800,11.01000,13.81300,24.82300,1.75500,1.03000,2.78500,,2.78500,2.78500,2.78500,1.75500,1.75500,5.20300,5.22930,0.50000,0.50000,1.93190,0.11670,33.44910,2.20870,2.20870,3.50500,3.50500,0.79200,169.42000,0.53120,5.50290,5.52360,2.77590,5.50290,9.83160,0,0
2022-06-30,76.99200,50.77000,26.22200,10.49000,13.63200,24.12200,2.10000,0.72500,2.82500,0.00900,2.81600,2.81600,2.81500,2.10000,2.10000,5.15520,5.17570,0.50000,0.50000,1.80090,0.14420,34.05810,2.72760,2.72760,3.66920,3.65620,0.76040,182.44550,0.49330,5.91870,5.94630,2.78110,5.91870,9.32740,0,0
2022-03-31,81.50900,54.99400,26.51500,11.21500,12.99600,24.21100,2.30400,0.29100,2.59500,0.00700,2.58800,2.58800,2.59000,2.30400,2.30400,5.11370,5.13780,0.50000,0.50000,1.73210,0.17960,32.53020,2.82670,2.82670,3.18370,3.17760,0.83850,145.55180,0.61830,5.89370,5.93200,2.66240,5.89370,8.64300,0.00000,
2021-12-31,92.06500,62.39600,29.66900,12.03200,17.24200,29.27400,0.39500,0.63900,1.03400,,0.97500,0.97500,0.97500,0.39500,0.39500,4.95860,4.95860,0.30000,0.30000,1.57580,0.27070,32.22620,0.42910,0.42900,1.12310,1.05900,0.91260,90.88350,0.99030,2.43790,2.45960,0.96650,2.43790,7.88540,-1.2792,-1.9143
2021-09-30,78.35100,54.87400,23.47700,11.38800,18.30800,29.69600,-6.21900,0.46200,-5.75700,,-5.75700,-5.75700,-5.75700,-6.21900,-6.21900,5.07380,5.07380,-1.10000,-1.10000,1.56890,0.23800,29.96390,-7.93740,-7.93740,-7.34770,-7.34770,0.82070,68.30950,1.31750,-15.32830,-15.49080,-6.03050,-15.32830,7.42180,0,0
2021-06-30,86.62200,62.03400,24.58800,9.43800,20.04100,29.47900,-4.89100,0.39400,-4.49700,,-4.49700,-4.49700,-4.49700,-4.89100,-4.89100,4.98760,4.98760,-0.90000,-0.90000,1.71650,0.13290,28.38540,-5.64640,-5.64640,-5.19150,-5.19150,0.93370,76.38630,1.17820,-10.88520,-10.99830,-4.84740,-10.88520,8.21680,0,0
2021-03-31,75.56000,56.47200,19.08800,8.68000,21.43000,30.11000,-11.02200,0.33200,-10.69000,,-10.69000,-10.69000,-10.69000,-11.02200,-11.02200,4.65420,4.65420,-2.30000,-2.30000,1.24690,0.32490,25.26200,-14.58710,-14.58710,-14.14770,-14.14770,1.21870,55.15330,1.63180,-64.63510,-66.22890,-17.24140,-64.63510,3.56400,0.00000,
2020-12-31,75.13100,54.47100,20.66000,10.32700,12.23800,22.56500,-1.90500,0.28800,-1.61700,,-1.77000,-1.77000,-3.62400,-1.90500,-1.90500,4.41600,4.41600,0.20000,0.20000,1.45480,0.23350,27.49860,-2.53560,-2.53560,-2.15220,-4.82360,1.05700,58.65030,1.53450,-6.82630,-6.94660,-2.49010,-6.82630,5.61040,1.3881,0.6508
2020-09-30,53.23700,39.89200,13.34500,8.19300,6.56000,14.75300,-1.40800,0.51300,-0.89500,,-0.89500,-0.89500,-0.89500,-1.40800,-1.40800,4.61140,4.61140,-0.20000,-0.20000,1.51710,0.25100,25.06720,-2.64480,-2.64480,-1.68120,-1.68120,0.84400,40.48440,2.22310,-3.55030,-3.58590,-1.41890,-3.55030,5.46420,0,0
2020-06-30,49.67000,37.53500,12.13500,7.75900,7.92000,15.67900,-3.54400,0.42400,-3.12000,,-3.12000,-3.12000,-3.12000,-3.54400,-3.54400,4.60730,4.60730,-0.70000,-0.70000,1.56490,0.26710,24.43130,-7.13510,-7.13510,-6.28150,-6.28150,0.82140,49.67000,1.81200,-12.49500,-12.63670,-5.15980,-12.49500,5.44450,0,0
2020-03-31,52.29300,41.99900,10.29400,8.25400,8.77500,17.02900,-6.73500,-0.07500,-6.81000,,-6.81000,-6.81000,-28.56800,-6.73500,-6.73500,3.79360,3.79360,-7.50000,-7.50000,1.62650,0.11100,19.68520,-12.87940,-12.87940,-13.02280,-54.63060,0.91980,87.44650,1.02920,-26.59950,-26.89570,-11.97850,-26.59950,5.59810,0.00000,
2019-12-31,52.46900,,52.46900,,,,52.46900,,52.46900,,52.46900,-4.15900,-4.15900,53.07800,52.46900,26.00000,26.00000,-1.70000,-1.70000,0.54370,,100.00000,100.00000,100.00000,100.00000,-7.92660,2.59660,122.59110,0.73410,1.44880,1.44760,-20.58200,1.44880,,-0.529,-0.683
2019-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
