Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-12-31,,,,1.61100,0.98600,,-2.59700,0.07200,-2.52500,-2.52500,-2.52500,-2.52500,-2.55100,-2.59700,2.58700,2.58700,-0.65000,-0.65000,1.76320,,,,,,,,,,,-90.59910,-90.59920,-42.64480,-90.59920,0.92960,-1.1944,-1.2052
2023-09-30,0.14200,0.06100,0.08100,1.85200,1.05000,2.90200,-2.82100,0.03300,-2.78800,-2.78800,-2.78800,-2.78800,-2.77600,-2.82100,2.99830,2.99830,-0.93000,-0.93000,3.13080,,57.04230,-1986.62000,-1986.62000,-1963.38000,-1963.38000,0.01810,0.06410,5.07140,17.74650,-53.01390,-53.08450,-35.51590,-53.01390,1.75420,-0.5808,-0.5708
2023-06-30,,,,1.83800,1.12500,,-2.96300,0.01100,-2.95200,-2.95200,-2.95200,-2.95200,-2.92200,-2.96300,2.36150,2.36150,-1.28000,-1.28000,4.21390,,,,,,,,,,,-36.94620,-36.94620,-27.26520,-36.94620,2.66490,-1.0206,-1.0377
2023-03-31,,,,1.84400,1.17800,,-3.02200,0.13900,-2.88300,-2.88300,-2.88300,-2.88300,-2.98300,-3.02200,2.00490,2.00490,-1.44000,-1.44000,3.54510,,,,,,,,,,,-52.97680,-52.96710,-36.50290,-52.97680,2.70560,-1.26990,-1.31080
2022-12-31,,,,1.47300,1.08700,,-2.56000,0.10200,-2.45800,-2.45800,-2.45800,-2.45800,-2.52500,-2.56000,1.77200,1.77200,-0.92000,-0.92000,6.45140,,,,,,,,,,,-29.73990,-29.73990,-23.56210,-29.73990,4.15950,-1.691,-1.6998
2022-09-30,0.20200,0.30300,-0.10100,1.65100,1.05000,2.70100,-2.80200,0.03300,-2.76900,-2.76900,-2.76900,-2.76900,-2.76300,-2.80200,1.98700,1.98700,-1.39000,-1.39000,7.66140,,-50.00000,-1387.12900,-1387.12900,-1370.79200,-1370.79200,0.01570,,1.90570,47.22770,-26.12760,-26.12760,-21.47180,-26.12760,5.33370,-1.2079,-1.2155
2022-06-30,,,,1.68300,1.31500,,-2.99800,0.09600,-2.90200,-2.90200,-2.90200,-2.90200,-2.96100,-2.99800,1.95890,1.95890,-1.52000,-1.52000,9.16890,,,,,,,,,,,-21.85900,-21.85900,-18.43360,-21.85900,6.68140,-0.5909,-0.5909
2022-03-31,0.21900,0.35800,-0.13900,1.42300,0.81300,2.23600,-2.37500,0.02900,-2.34600,-2.34600,-2.34600,-2.34600,-2.33600,-2.37500,1.14480,1.14480,-2.08000,-2.08000,1.22410,0.70220,-63.47030,-1084.47500,-1084.47500,-1071.23300,-1071.23300,0.04210,,1.67180,53.83560,22.25600,-164.74720,-45.08070,-164.74720,1.24380,-2.14280,-2.14280
2021-12-31,0.47100,0.54400,-0.07300,1.68700,0.88600,2.57300,-2.64600,0.19200,-2.45400,-2.45400,-2.45400,-2.45400,-2.60500,-2.64600,1.14350,1.14350,-2.24000,-2.24000,1.55150,,-15.49890,-561.78340,-561.78340,-521.01910,-521.01910,0.10680,,5.41380,16.62420,29.47040,-149.81690,-55.63370,-149.81680,1.43100,-2.0756,-2.0915
2021-09-30,,,,1.68300,0.70300,,-2.38600,-0.25200,-2.63800,-2.63800,-2.63800,-2.63800,-2.34500,-2.38600,1.14460,1.14460,-2.24000,-2.24000,,,,,,,,,,,,,,,,,-2.3102,-2.4779
2021-06-30,0.41700,0.11300,0.30400,1.74400,0.84200,2.58600,-2.28200,0.12200,-2.16000,-2.16000,-2.16000,-2.16000,-2.25400,-2.28200,1.14260,1.14260,-1.92000,-1.92000,,,72.90170,-547.24220,-547.24220,-517.98570,-517.98570,,,,,,,,,,-1.927,-1.9401
2021-03-31,,,,2.09400,0.88500,,-2.97900,0.01100,-2.96800,-2.96800,-2.96800,-2.96800,-2.94700,-2.97900,1.14210,1.14210,-2.56000,-2.56000,,,,,,,,,,,,,,,,,-2.38680,-2.42880
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
