Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,0.60400,-0.03800,-0.64200,0.08300,-0.55900,,-0.59000,-0.59000,-0.59000,-0.62400,-0.64200,102.34500,102.34500,0.00000,0.00000,4.67290,,,-1.18590,-1.18590,-1.13260,-1.18590,0.48550,-0.0062,-0.0128
2024-05-31,1.77000,0.01700,-1.75300,0.10700,-1.64600,,-1.64600,-1.64600,-1.64600,-1.73500,-1.75300,102.48000,102.48000,-0.02000,-0.02000,21.11020,,,-3.45140,-3.45140,-3.30190,-3.45140,0.46540,-0.0043,-0.0125
2024-02-29,0.86100,-0.06300,-0.92400,0.11100,-0.81300,,-0.81300,-0.81300,-0.81300,-0.90600,-0.92400,102.46000,102.46000,-0.01000,-0.01000,15.43720,,,-1.69580,-1.69580,-1.64260,-1.69580,0.46780,-0.0043,-0.0229
2023-11-30,1.54900,-0.14400,-1.69300,0.13500,-1.55800,,-1.55800,-1.55800,-1.55800,-1.67500,-1.69300,101.95800,101.95800,-0.02000,-0.02000,11.37220,,,-3.17970,-3.17970,-3.05850,-3.17970,0.47860,-0.00900,-0.00900
2023-08-31,1.36700,-0.32400,-1.69100,0.11900,-1.57200,,-1.61400,-1.61400,-1.61400,-1.67200,-1.69100,99.93900,99.93900,-0.02000,-0.02000,5.52450,,,-3.40690,-3.40690,-3.22660,-3.40690,0.47250,-0.0071,-0.0232
2023-05-31,1.36800,-0.01200,-1.38000,0.14400,-1.23600,,-1.23600,-1.23600,-1.23600,-1.35900,-1.38000,100.22600,100.22600,-0.01000,-0.01000,14.12860,,,-2.67710,-2.67710,-2.56600,-2.67710,0.46050,-0.0058,-0.0144
2023-02-28,1.13700,-0.24500,-1.38200,0.18300,-1.19900,,-1.19900,-1.19900,-1.19900,-1.36100,-1.38200,100.14900,100.14900,-0.01000,-0.01000,11.89570,,,-2.43490,-2.43490,-2.34410,-2.43490,0.49140,-0.0058,-0.0256
2022-11-30,2.00300,0.25100,-1.75200,0.13800,-1.61400,,-1.61400,-1.61400,-1.61400,-1.73000,-1.75200,99.13000,99.13000,-0.02000,-0.02000,10.47440,,,-3.09600,-3.09600,-2.95900,-3.09600,0.52300,-0.01920,-0.01920
2022-08-31,1.51800,0.44300,-2.72500,1.73500,-0.99000,,-0.98300,-0.98300,-0.98300,-2.70300,-1.07500,89.58600,89.58600,-0.01000,-0.01000,11.38630,,,-1.90670,-1.90670,-1.83130,-1.90670,0.52100,-0.0113,0.021
2022-05-31,1.26300,-0.05600,-1.31900,0.00900,-1.31000,,-1.31000,-1.31000,-1.31000,-1.29600,-1.31900,98.42600,98.42600,-0.01000,-0.01000,18.62160,,,-2.32510,-2.32510,-2.24910,-2.32510,0.57030,-0.008,-0.0095
2022-02-28,1.74000,-0.16800,-1.90800,-0.72600,-2.63400,,-2.63400,-2.63400,-2.63400,-1.88500,-1.90800,83.95300,83.95300,-0.03000,-0.03000,10.95220,,,-5.09370,-5.09370,-4.89050,-5.09370,0.53730,-0.0066,-0.0131
2021-11-30,1.98400,-0.14400,-2.12800,-1.18800,-3.31600,,-3.31600,-3.31600,-3.31600,-2.10500,-2.12800,76.87300,76.87300,-0.04000,-0.04000,0.37230,,0.90100,-12.99330,-12.99320,-6.50270,-12.99320,0.31960,-0.02400,-0.04830
2021-08-31,2.62200,-0.95600,-3.57800,-0.59500,-8.73700,,-8.79200,-8.79200,-8.79200,-3.55400,-3.57800,71.91200,71.91200,-0.05000,-0.05000,0.21830,,1.42780,-45.14970,-45.14970,-17.17220,-45.14970,0.25870,-0.0603,-0.0603
2021-05-31,2.13400,0.98100,-1.15300,-1.12900,2.28200,,2.28200,2.28200,2.28200,-1.11600,-1.15300,74.01400,74.01400,-0.03000,-0.03000,3.44850,0.57490,1.41340,10.75100,10.75100,4.18740,4.57080,0.28550,0.0046,0.0046
2021-02-28,2.27600,0.23100,-2.04500,-1.94400,-3.98900,,-3.98900,-3.98900,-3.98900,-2.01400,-2.04500,71.51800,71.51800,-0.06000,-0.06000,8.71320,0.60730,1.54670,-21.16630,-21.16630,-7.85680,-8.31110,0.25480,0.0111,0.0268
2020-11-30,1.27300,0.09900,-1.17400,-1.39000,-2.56400,,-2.56400,-2.56400,-2.56400,-1.14400,-1.17400,65.54900,65.54900,-0.04000,-0.04000,9.15570,0.75960,3.15960,-23.90660,-23.90680,-5.54310,-5.74730,0.15160,-0.06740,-0.08310
2020-08-31,1.43900,1.57500,0.13600,-1.29400,-1.15800,,-1.23000,-1.23000,-1.23000,0.16700,0.13600,61.53700,61.53700,-0.02000,-0.02000,0.44420,1.12780,-8.82190,29.68900,29.68870,-3.28750,-3.79560,-0.06460,0.0033,-0.0051
2020-05-31,1.21100,-0.84200,-2.05300,-1.29900,-3.35200,,-3.35200,-3.35200,-3.35200,-2.02500,-2.05300,62.34700,62.34700,-0.05000,-0.05000,0.47110,1.13190,-8.58330,78.77790,78.77800,-9.23670,-10.38830,-0.06820,-0.0084,-0.0805
2020-02-29,1.34700,-0.36900,-1.71600,-1.38400,-3.10000,,-3.10000,-3.10000,-3.10000,-1.64300,-1.71600,61.48590,61.48590,-0.05000,-0.05000,0.85000,0.96660,28.89810,-250.60140,-250.60640,-7.53520,-8.38200,0.01980,-0.0276,0.0205
2019-11-30,1.29800,0.00700,-1.29100,1.84500,0.55400,,0.55400,0.55400,0.55400,-1.24600,-1.29100,58.59620,58.59620,0.01000,0.01000,0.38270,0.96640,28.75590,44.78590,44.78580,1.33380,1.50510,0.02110,-0.01800,-0.06610
2019-08-31,1.15000,0.50800,-0.64200,-2.88600,-3.53300,,-3.63900,-3.63900,-3.63900,-0.59400,-0.64200,32.53500,32.53500,-0.08600,-0.08600,0.93500,1.03430,-30.12970,314.52420,314.52000,-8.33430,-10.79730,-0.01980,-0.0321,-0.0636
2019-05-31,1.38900,-1.55100,-2.94000,-0.74200,-3.68200,,-3.68200,-3.68200,-3.68200,-2.88700,-2.94000,33.48100,33.48100,-0.11000,-0.11000,0.03830,-1.53020,-2.31020,13.82240,13.82240,-9.60830,34.97340,-0.78950,-0.0341,-0.11
2019-02-28,1.58400,0.64200,-0.94200,-2.87300,-3.81500,,-3.81500,-3.81500,-3.81500,-0.89200,-0.94200,30.30500,30.30500,-0.13000,-0.13000,0.07410,-1.56660,-2.29790,14.70530,14.70530,-9.52840,37.74240,-0.79100,-0.0394,-0.0991
2018-11-30,1.34100,-0.69100,-2.03200,-3.61300,-5.64000,,-5.64000,-5.64000,-5.64000,-1.94800,-2.03200,29.12000,29.12000,-0.19400,-0.19400,0.20010,-1.49900,-2.50060,21.49060,21.49060,-12.20120,53.70410,-0.90110,-0.04660,-0.09440
2018-08-31,1.45500,-0.34900,-1.80400,-1.61500,-3.41900,,-3.41900,-3.41900,-3.44200,-1.70800,-1.80400,19.05300,19.05300,0.23300,0.23300,3.16800,1.51920,-2.92600,17.50640,17.50640,-8.16980,-9.08970,-0.67110,0.0412,-0.1168
2018-05-31,1.52300,-2.02900,-3.55200,-7.16900,-10.72100,,-10.72100,-10.72100,-10.57200,-3.48600,-3.55200,17.39600,17.39600,-0.61000,-0.61000,5.43440,1.36820,-3.71580,72.45900,72.45880,-24.22830,-26.68040,-0.52200,-0.1852,-0.2405
2018-02-28,1.73800,-7.08100,-8.81900,-5.62100,-14.44000,,-14.44000,-14.44000,-13.19900,-8.72700,-8.81900,15.00700,15.00700,-0.88000,-0.88000,0.68600,-1.94670,-4.98730,60.83590,60.83590,-13.69590,179.26750,-1.57290,-0.0687,-0.3583
2017-11-30,1.44500,-9.04600,-10.49100,-1.95300,-12.44400,,-12.44400,-12.44400,-11.46900,-10.39800,-10.49100,14.84600,14.84600,-0.77300,-0.77300,0.77920,-44.95440,-6.71390,77.36870,77.36880,-12.49080,3555.43400,-1.08330,-1.01320,-0.88350
2017-08-31,1.60100,-302.47400,-304.07500,1.94700,-302.12800,,-303.78300,-303.78300,-303.77400,-303.90100,-304.07500,12.60190,12.60190,-25.10000,-25.10000,1.21130,1.61580,-4.61410,1305.69300,1305.69500,-302.18750,-804.08420,-1.56710,0.4521,-3.0898
2017-05-31,1.61700,-226.41300,-228.03000,0.18000,-227.85000,,-227.85000,-227.85000,-189.76700,-227.86700,-228.03000,13.89210,13.89210,-13.70000,-13.70000,0.57460,0.20330,0.31850,-86.71350,-86.71350,-62.44660,-69.08800,17.69970,-0.0561,-1.152
2017-02-28,2.46800,-54.16900,-56.63700,0.34900,-56.28800,,-56.28800,-56.28800,-46.41700,-56.54500,-56.63700,11.91770,11.91770,-3.90000,-3.90000,1.27440,0.13360,0.17310,-11.66130,-11.66130,-9.58380,-10.10310,36.27450,-0.05,-1.9505
2016-11-30,1.20700,-1.54300,-2.75000,0.30000,-2.45000,,-2.45000,-2.45000,-2.45700,-2.64400,-2.75000,9.70580,9.70580,-0.30000,-0.30000,1.77460,0.14350,0.17190,-0.51490,-0.51490,-0.42470,-0.44100,42.18160,-0.13800,-2.95380
2016-08-31,0.95800,-41.87300,-42.83100,0.31600,-42.51500,,-35.02100,-35.02100,-19.03900,-42.72800,-42.83100,8.04380,8.04380,-2.40000,-2.40000,0.52550,0.11520,0.19370,-8.34930,-8.34930,-6.73660,-7.38790,47.20480,0.1532,-4.234
2016-05-31,1.49600,2.09400,0.59800,0.29400,0.89200,,0.89200,0.89200,0.89300,0.69500,0.59800,7.82660,7.82660,0.10000,0.10000,2.24020,0.12610,0.18360,0.21010,0.21010,0.17230,0.18360,47.78960,-0.3806,-3.9162
2016-02-29,1.72300,-0.32700,-2.05000,0.24000,-1.81000,,-1.81000,-1.81000,-1.89500,-1.93900,-2.05000,7.75910,7.75910,-0.20000,-0.20000,4.62840,0.15130,0.19520,-0.46020,-0.46020,-0.37530,-0.39060,50.69160,-0.4562,-3.3445
2015-11-30,1.39400,0.39900,-0.99500,0.28300,-0.71200,,-0.71200,-0.71200,-0.63400,-0.86000,-0.99500,7.69710,7.69710,-0.10000,-0.10000,6.23730,0.14050,0.17230,-0.16430,-0.16430,-0.13540,-0.14120,55.84470,0.33580,-4.60500
2015-08-31,-0.13000,1.49000,0.13000,0.78000,0.90000,1.08000,-0.18000,-0.22700,-0.22700,0.27700,0.13000,6.95840,6.95840,,0.00000,3.02280,,,-0.04800,-0.04800,-0.04560,-0.04800,61.55830,-0.661,-7.161
2015-05-31,1.33600,-2.39900,-3.73500,1.07400,-2.66100,,-2.66100,-2.66100,-2.68100,-3.59100,-3.73500,7.68940,7.68940,-0.30000,-0.30000,11.73270,,,-0.51930,-0.51930,-0.50040,-0.51930,,1.0762,-1.7
2015-02-28,3.72100,6.78100,3.06000,0.85600,3.91600,,3.91600,3.91600,4.83500,3.17500,3.06000,6.92500,6.92500,0.70000,0.70000,15.95840,,,0.71080,0.71080,0.68530,0.71080,,-0.0526,-4.6293
2014-11-30,1.62900,-4.49500,-6.12400,1.08800,-5.03600,,-5.03600,-5.03600,-5.03600,-6.02000,-6.12400,5.51310,5.51310,-1.00000,-1.00000,2.74910,,,-1.11490,-1.11490,-1.03240,-1.11490,,-0.38420,-7.15380
2014-08-31,1.95000,,-1.95000,-3.80000,-5.76000,-0.19000,-5.57000,-2.54600,-2.54600,-1.84000,-1.95000,5.01640,5.01640,-1.00000,-1.00000,4.29580,,,-0.53660,-0.54450,-0.50310,-0.54450,84.81800,-0.6732,-9.9554
2014-05-31,1.22000,,-1.22000,-2.70000,-3.92000,0.00000,-3.92000,-4.04900,-4.04900,-1.11000,-1.22000,5.51280,5.51280,-1.00000,-1.00000,9.57740,,,-0.86910,-0.86910,-0.81910,-0.86910,,-0.0712,-4.4566
2014-02-28,4.91000,,-4.91000,1.47000,-3.44000,0.00000,-3.44000,-4.15800,-4.15800,-4.81000,-4.91000,5.00120,5.00120,-1.00000,-1.00000,18.74520,,,-0.86940,-0.86940,-0.83000,-0.86940,,-0.3338,-4.5337
2013-11-30,1.34000,,-1.34000,4.56000,3.22000,0.00000,3.22000,0.41200,0.41200,-1.23000,-1.34000,4.02760,4.02760,0.00000,0.00000,4.60760,,,0.12070,0.12070,0.11080,0.12070,,-0.05210,-10.85260
2013-08-31,1.92000,,-1.92000,1.41000,-0.51000,0.17000,-0.68000,-1.28500,-1.28500,-1.81000,-1.92000,1.35500,1.35500,-1.00000,-1.00000,4.75890,,,-0.36910,-0.36910,-0.33280,-0.36910,,-0.4574,-47.8297
2013-05-31,0.69000,,-0.69000,-9.12000,-9.81000,0.00000,-9.81000,-9.69400,-9.69400,-0.60000,-0.69000,4.02720,4.02720,-3.00000,-3.00000,15.97170,,,-2.80680,-2.80680,-2.63830,-2.80680,,1.3241,0.9969
2013-02-28,3.45000,,-3.45000,3.73000,0.28000,0.00000,0.28000,0.19100,0.19100,-3.33000,-3.45000,2.45960,2.45960,0.00000,0.00000,21.64850,,,0.04930,0.04930,0.04660,0.04930,,-2.5318,-8.8566
2012-11-30,1.96000,,-1.96000,0.23000,-1.73000,0.00000,-1.73000,-1.85100,-1.85100,-1.90000,-1.96000,1.77580,1.77580,-1.00000,-1.00000,1.67190,,,-0.86870,-0.86870,-0.79100,-0.86880,,1.45850,-4.89360
2012-08-31,0.52000,,-0.90000,-0.27000,-1.16000,2.30000,-3.46000,-3.57200,-3.57200,-0.81000,-0.90000,1.78600,1.78600,-2.00000,-2.00000,2.91690,,,-1.63020,-1.63020,-1.47870,-1.63020,,-0.2021,-11.7663
2012-05-31,1.10000,,-1.10000,-0.93000,-2.04000,0.00000,-2.04000,-2.15800,-2.15800,-1.00000,-1.10000,2.20810,2.20810,-1.00000,-1.00000,4.35690,,,-0.93380,-0.93380,-0.85980,-0.93380,,-1.4005,-4.5837
2012-02-29,2.13000,,-2.13000,2.77000,0.63000,0.00000,0.63000,0.49800,0.49800,-2.03000,-2.13000,1.77590,1.77590,0.00000,0.00000,7.50150,,,0.20210,0.20210,0.18700,0.20210,,-0.6475,-4.9158
2011-11-30,3.17000,,-3.17000,-2.06000,-5.23000,0.00000,-5.23000,-5.25000,-5.25000,-3.08000,-3.17000,1.77590,1.77590,-3.00000,-3.00000,9.24670,,,-2.22670,-2.22670,-2.06870,-2.22680,,0.86150,-3.89660
2011-08-31,2.29000,,-2.45000,-0.85000,-3.28000,-1.59000,-1.69000,-1.75600,-1.75600,-2.30000,-2.45000,1.82380,1.82380,-1.00000,-1.00000,11.05960,,,-0.67160,-0.67160,-0.60580,-0.67160,,-2.3568,-13.8722
2011-05-31,4.26000,,-4.30000,2.34000,-1.96000,0.00000,-1.96000,-2.13300,-2.13300,-4.26000,-4.30000,4.13800,4.13800,-1.00000,-1.00000,28.50730,,,-0.79440,-0.87130,-0.72060,-0.79440,,0.977,1.0998
2011-02-28,2.32000,,-2.37000,-1.45000,-3.83000,0.07000,-3.90000,-4.13900,-4.13900,-2.31000,-2.37000,1.72130,1.72130,-2.00000,-2.00000,34.55370,,,-1.60440,-1.76130,-1.46580,-1.60440,,-1.634,-1.8683
2010-11-30,4.71000,,-4.72000,0.41000,-4.32000,-0.07000,-4.25000,-4.33900,-4.33900,-4.71000,-4.72000,1.25940,1.25940,-3.00000,-3.00000,78.19670,,,-1.80290,-1.84660,-1.64440,-1.80290,,-0.25410,-0.33350
2010-08-31,1.84000,,-1.88000,-0.66000,-2.54000,13.70000,-16.24000,-4.05400,-4.05400,-1.85000,-1.88000,0.93500,0.95450,-4.00000,-4.00000,2.05070,,,-4.11740,-4.36380,-3.33580,-4.11700,,-1.8794,-1.2195
2010-05-31,1.99000,,-2.01000,44.15000,42.13000,0.01000,42.12000,30.56700,30.56700,-1.99000,-2.01000,0.93930,0.97800,45.00000,31.00000,5.44530,,,26.33040,27.23120,26.01890,26.32820,,-4.8466,-32.0859
2010-02-28,1.54000,,-1.56000,0.71000,-0.84000,0.07000,-0.91000,-0.38300,-0.38300,-1.53000,-1.56000,,,0.00000,0.00000,27.98350,,,-0.61870,-0.65110,-0.60690,-0.61870,,0.8941,0.9372
2009-11-30,1.24000,,-1.26000,1.99000,0.72000,0.17000,0.55000,0.61400,0.61400,-1.24000,-1.26000,0.92830,0.92830,1.00000,1.00000,27.12600,,,0.98980,1.04070,0.97000,0.99000,,-0.89410,-0.93720
2009-08-31,2.00000,,-2.01000,0.30000,-1.72000,-0.18870,-1.53130,-1.61800,-1.61800,-2.00000,-2.01000,0.72470,0.72470,-2.00000,-2.00000,42.87670,,,-2.86570,-3.01300,-2.82920,-2.86630,,-1.1385,-1.1065
2009-05-31,1.26000,,-1.29000,0.01000,-1.27000,-0.05000,-1.22000,-4.57300,-4.57300,-1.26000,-1.29000,0.65500,0.65500,-7.00000,-7.00000,5.60270,,,-16.52690,-18.29930,-16.10780,-16.53290,,-1.6049,-1.6188
