Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,36.09920,26.79100,9.30820,0.45200,8.92210,9.37400,-0.06580,-0.36490,-0.43070,0.26750,-0.69820,-0.69820,-0.55010,0.61240,-0.06580,9.56400,9.56400,-0.06000,-0.06000,1.31980,0.54510,25.78510,-0.18230,-0.18230,-1.19310,-1.52400,0.48350,1.94340,1.09460,82.22150,-3.04860,-3.32880,-0.93520,-3.04860,2.39480,-0.106,-0.1272
2024-06-30,29.37100,20.40770,8.96330,0.53080,8.88290,9.41360,-0.45040,0.12850,-0.32180,-0.29840,-0.02340,-0.02340,0.16360,0.42880,-0.45040,9.56480,9.69960,0.02000,0.02000,1.39700,0.41520,30.51760,-1.53340,-1.53340,-1.09570,0.55690,0.42030,1.59380,0.93930,95.82070,-0.10030,-0.10960,-0.03350,-0.10030,2.44100,0.1336,0.0748
2024-03-31,30.75350,22.34000,8.41350,0.32070,8.41370,8.73450,-0.32090,-0.19460,-0.51560,0.02230,-0.53790,-0.53790,-0.41220,0.26470,-0.32090,9.54800,9.54800,-0.04000,-0.04000,1.52660,0.48510,27.35780,-1.04360,-1.04360,-1.67650,-1.34030,0.44810,1.93400,1.07070,84.05760,-2.28040,-2.29040,-0.78360,-2.28040,2.47020,-0.86850,-0.93230
2023-12-31,30.95680,21.92140,9.03540,0.22430,7.56570,7.79000,1.24540,-0.38280,0.86260,0.41160,0.45100,0.45100,0.53900,1.88060,1.24540,9.52500,9.82100,0.06000,0.05000,1.64440,0.28960,29.18720,4.02300,4.02300,2.78650,1.74100,0.47090,2.20900,1.30090,69.18100,1.87690,1.88500,0.68590,1.87690,2.51640,0.3445,0.287
2023-09-30,29.93260,22.10330,7.82930,0.42370,6.92390,7.34760,0.48170,0.03430,0.51600,0.17250,0.34350,0.34350,0.40950,1.01840,0.48170,9.50000,9.78700,0.04000,0.04000,1.57700,0.34340,26.15640,1.60920,1.60920,1.72390,1.36820,0.44710,2.29430,1.08420,83.00810,1.48150,1.48150,0.51310,1.48150,2.44060,-0.1503,-0.154
2023-06-30,29.18990,21.17950,8.01040,0.37710,7.05300,7.43010,0.58030,-0.30030,0.27990,0.19140,0.08850,0.08850,0.08850,1.00490,0.58030,9.50000,9.69250,0.01000,0.01000,1.60600,0.34450,27.44240,1.98790,1.98790,0.95900,0.30310,0.45280,2.15360,1.27200,70.75640,0.38760,0.38760,0.13730,0.38760,2.40280,0.0768,0.0602
2023-03-31,27.16230,19.96010,7.20220,0.35180,6.85330,7.20510,-0.00290,-0.26780,-0.27070,0.03260,-0.30340,-0.30340,-0.30340,0.41810,-0.00290,9.50000,9.50000,-0.03000,-0.03000,1.74760,0.37320,26.51530,-0.01080,-0.01080,-0.99680,-1.11690,0.46270,2.02100,1.56010,57.69000,-1.34350,-1.34350,-0.51680,-1.34350,2.37690,-0.12950,-0.13730
2022-12-31,31.79020,24.26740,7.52280,0.26590,6.25330,6.51920,1.00360,-0.25820,0.74540,0.03840,0.70710,0.70710,0.70710,3.59250,1.00360,9.33600,9.34200,0.07000,0.11000,1.54110,0.43070,23.66410,3.15690,3.15690,2.34480,2.22410,0.52660,1.82560,1.59430,56.44990,3.10870,3.10870,1.17130,3.10870,2.39410,0.7708,0.7991
2022-09-30,38.54410,30.50350,8.04060,0.23860,6.13370,6.37230,1.66830,-0.08700,1.58130,0.30920,1.27210,1.27210,1.27210,-0.84020,1.66830,9.50000,9.50900,0.13000,0.13000,1.47900,0.58730,20.86080,4.32830,4.32830,4.10260,3.30050,0.60750,1.90790,1.61280,55.80320,5.74390,5.74390,2.00520,5.74390,2.33130,0.448,0.3096
2022-06-30,47.80900,39.38810,8.42100,0.23570,6.45590,6.69160,1.72930,-0.17340,1.55590,0.38540,1.17050,1.17050,1.17050,1.79860,1.72930,9.16900,11.66200,0.13000,0.10000,1.37100,0.67890,17.61370,3.61720,3.61720,3.25450,2.44830,0.67850,2.10840,1.41840,63.45340,5.40930,5.40930,1.66120,5.40930,2.27780,-0.2853,-0.2868
