Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.99700,2.99700,16.31300,4.60400,-17.92000,1.24500,-16.67500,-16.67500,-16.67500,-16.67500,-17.70900,-17.92000,50.83400,50.83400,-0.33000,-0.33000,7.96230,100.00000,-597.93130,-597.93130,-556.38970,-556.38970,0.02680,-17.26600,-17.26600,-14.92570,-17.26600,2.02300,-0.3156,-0.3164
2024-06-30,1.60900,1.60900,19.23900,5.33200,-22.96200,1.41000,-21.55200,-21.55200,-21.55200,-21.55200,-22.61700,-22.96200,50.79100,50.79100,-0.42000,-0.42000,7.61510,100.00000,-1427.09800,-1427.09800,-1339.46600,-1339.46600,0.01250,-19.48360,-19.48360,-16.75710,-19.48360,2.31770,-0.2135,-0.2139
2024-03-31,1.11500,1.11500,16.26400,4.89500,-20.04400,1.54000,-18.50400,-18.50400,-18.50400,-18.50400,-19.44100,-20.04400,50.56600,50.56600,-0.37000,-0.37000,9.14760,100.00000,-1797.66800,-1797.66800,-1659.55200,-1659.55200,0.00760,-14.36500,-14.36500,-12.64500,-14.36500,2.71080,-0.31960,-0.31960
2023-12-31,0.71400,0.71400,15.22700,4.43800,-18.95100,1.26400,-17.68700,-17.68700,-17.68700,-17.68700,-18.39800,-18.95100,42.60000,42.60000,-0.41000,-0.41000,12.50500,100.00000,-2654.20200,-2654.20100,-2477.17100,-2477.17000,0.00450,-12.22280,-12.22280,-11.08460,-12.22280,3.06190,-0.4517,-0.452
2023-09-30,0.68600,0.68600,24.21100,5.07300,-28.59800,1.05700,-27.54100,-27.54100,-27.54100,-27.54100,-28.12900,-28.59800,42.47800,42.47800,-0.65000,-0.65000,8.03670,100.00000,-4168.80500,-4168.80500,-4014.72300,-4014.72300,0.00530,-24.41950,-24.41950,-21.11120,-24.41950,2.65470,-0.3937,-0.3941
2023-06-30,0.20000,0.20000,18.20500,4.74200,-22.74700,1.40100,-21.34600,-21.34600,-21.34600,-21.34600,-22.01100,-22.74700,42.46800,42.46800,-0.50000,-0.50000,10.50100,100.00000,-11373.50000,-11373.50000,-10673.00000,-10673.00000,0.00130,-15.41700,-15.41700,-13.74770,-15.41700,3.26010,-0.4379,-0.4449
2023-03-31,0.05700,0.05700,16.66700,5.05100,-21.66100,0.93700,-20.72400,-20.72400,-20.72400,-20.72400,-20.86000,-21.66100,42.43900,42.43900,-0.49000,-0.49000,9.85930,100.00000,-38001.76000,-38001.76000,-36357.89000,-36357.89000,0.00030,-13.14520,-13.14520,-11.66390,-13.14520,3.71300,-0.62350,-0.62530
2022-12-31,0.39000,0.39000,21.88700,4.77900,-26.27600,0.86500,-25.41100,-25.41100,-25.41100,-25.41100,-25.41000,-26.27600,42.37900,42.37900,-0.60000,-0.60000,7.39370,100.00000,-6737.43700,-6737.43800,-6515.64000,-6515.64000,0.00190,-14.42520,-14.42520,-12.37610,-14.42520,4.15550,-0.5628,-0.5768
2022-09-30,0.21200,0.21200,18.86200,6.57900,-25.22900,0.59400,-24.63500,-24.63500,-24.63500,-24.63500,-24.18200,-25.22900,42.38600,42.38600,-0.58000,-0.58000,10.52910,100.00000,-11900.47000,-11900.47000,-11620.28000,-11620.28000,0.00100,-12.35350,-12.35350,-11.04990,-12.35350,4.70430,-0.662,-0.6796
2022-06-30,0.05000,0.05000,22.96300,4.74500,-27.65800,0.28700,-27.37100,-27.37100,-27.37100,-27.37100,-26.58100,-27.65800,42.38000,42.38000,-0.65000,-0.65000,9.46240,100.00000,-55316.00000,-55316.00000,-54742.00000,-54742.00000,0.00020,-12.30000,-12.30000,-10.89000,-12.30000,5.25060,-0.3846,-0.5659
