Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.91900,12.44500,9.47400,13.51500,13.51500,-4.04100,-4.04100,,-4.04100,-4.04100,-4.04100,21.26300,21.26300,-0.19000,-0.19000,1.02710,-43.80010,-43.80010,0.00450,-1.19100,-1.19100,-0.19660,-1.19100,14.75790,-0.1643,-0.1676
2024-06-30,21.82800,11.71900,10.10900,12.45300,12.45300,-2.34400,-2.34400,,-2.34400,-2.34400,-2.34400,21.73500,21.73500,-0.11000,-0.11000,0.99100,-21.56200,-21.56200,0.00530,-0.67820,-0.67820,-0.11460,-0.67820,14.70310,0.6462,0.6817
2024-03-31,21.29300,11.42500,9.86800,12.70700,12.70700,-2.83900,-2.83900,,-2.83900,-2.83900,-2.83900,22.09530,22.09530,-0.13000,-0.13000,0.97810,-27.29020,-27.29020,0.00510,-0.81080,-0.81080,-0.14000,-0.81080,14.61480,-0.21970,-0.22010
2023-12-31,20.90700,11.13900,9.76800,12.69900,12.69900,-2.93100,-2.93100,,-2.93100,-2.93100,-2.93100,23.92570,23.92570,-0.12000,-0.12000,1.11770,-30.49310,-30.49310,0.00470,-0.82410,-0.82410,-0.14330,-0.82410,14.51000,-0.2954,-0.3423
2023-09-30,20.54200,10.29700,10.24500,11.67700,11.67700,-1.43200,-1.43200,,-1.43200,-1.43200,-1.43200,23.27800,23.27800,-0.06000,-0.06000,1.12070,-13.06330,-13.06330,0.00530,-0.39870,-0.39870,-0.06950,-0.39870,14.26670,0.0235,-0.0346
2023-06-30,20.14500,8.85900,11.28600,13.11100,13.11100,-1.82500,-1.82500,,-1.82500,-1.82500,-1.82500,24.24970,24.24970,-0.08000,-0.08000,1.08990,-16.37800,-16.37800,0.00540,-0.49790,-0.49790,-0.08770,-0.49790,14.37780,-0.0603,-0.1204
2023-03-31,19.31600,6.89100,12.42500,13.63400,13.63400,-1.20900,-1.20900,,-1.20900,-1.20900,-1.20900,25.37410,25.37410,-0.05000,-0.05000,1.09540,-9.71240,-9.71240,0.00590,-0.31350,-0.31350,-0.05750,-0.31350,14.08410,-0.17430,-0.24040
2022-12-31,18.01300,4.64200,13.37100,12.64600,12.64600,0.72500,0.72500,0.16300,0.56200,0.56200,0.56200,26.16580,26.27090,0.01850,0.01850,0.78860,5.33280,4.13390,0.00670,0.14270,0.14270,0.02750,0.14270,14.30510,0.0499,0.0302
2022-09-30,17.17100,2.55700,14.61400,13.25000,13.25000,1.36400,1.36400,0.12300,1.24100,1.24100,1.24100,26.12890,26.24600,0.05000,0.05000,0.74370,9.07340,8.25520,0.00750,0.31230,0.31230,0.06170,0.31230,14.11250,0.1486,0.1097
2022-06-30,15.37200,1.71600,13.65600,13.61300,13.61300,0.04300,0.04300,0.00300,0.04000,0.04000,0.04000,26.36630,26.36630,0.00150,0.00150,0.49840,0.32920,0.30620,0.00670,0.00970,0.00970,0.00200,0.00970,14.45480,-0.0788,-0.2003
2022-03-31,14.52100,1.65500,12.86600,12.26400,12.26400,0.60200,0.60200,0.04900,0.55300,0.55300,0.55300,26.34350,26.34350,0.02000,0.02000,0.44140,4.35660,4.00200,0.00710,0.13160,0.13160,0.02850,0.13160,14.73250,-0.01390,-0.03800
2021-12-31,14.94000,1.89800,13.04200,16.56300,16.56300,-3.52100,-3.52100,16.10300,-19.62400,-19.62400,-19.62400,12.17110,12.17110,-2.31000,-2.31000,0.43190,-25.40220,-141.57710,0.00720,-4.56930,-4.56930,-1.02520,-4.56930,15.05700,-0.9949,-1.481
2021-09-30,14.56200,2.96900,11.59300,32.78000,32.78000,-21.18700,-21.18700,-6.21700,-14.97000,-14.97000,-14.97000,21.97990,21.97990,-0.68000,-0.68000,0.55240,-177.57940,-125.47150,0.00590,-3.33980,-3.33980,-0.73950,-3.33980,15.71490,-0.167,-0.6081
2021-06-30,14.42200,3.89400,10.52800,11.24800,11.24800,-0.72000,-0.72000,0.28300,-1.00300,-1.00300,-1.00300,,,,0.00000,1.53920,-6.49760,-9.05150,0.00430,-0.48950,-0.48950,-0.03890,-0.48950,2049.12000,0,0
2021-03-31,14.60800,4.34300,10.26500,11.56100,11.56100,-1.29600,-1.29600,-0.55100,-0.74500,-0.74500,-0.74500,,,,0.00000,,-11.70420,-6.72810,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2020-09-30,15.74800,5.50800,10.24000,13.00300,13.00300,-2.76300,-2.76300,-1.09800,-1.66500,-1.66500,-1.66500,,,,0.00000,,-26.98510,-16.26140,,,,,,,0,0
2020-06-30,16.70100,5.93100,10.77000,12.76000,28.22000,-17.45000,-17.45000,-0.70600,-16.74400,-16.74400,-16.74400,,,,0.00000,,-183.33680,-175.91930,,,,,,,0,0
